Rank,Driver_Number,Team,Country,Driver,Hours,Minutes,Seconds,Variation_Hours,Variation_Minutes,Variation_Seconds,Penalty_Hours,Penalty_Minutes,Penalty_Seconds,Stage
27,73,HT RALLY RAID HUSQVARNA RACING,South Africa,CHARAN MOORE,16,15,20,1,42,29,0,0,0,3
28,29,KOVE,France,NEELS THERIC,16,16,59,1,44,8,0,0,0,3
29,57,FANTIC RACING RALLY TEAM,Italy,TOMMASO MONTANARI,16,18,43,1,45,52,0,0,0,3
30,33,STROJRENT RACING,Czech Republic,JAN BRABEC,16,20,51,1,48,0,0,0,0,3
31,70,ORION - MOTO RACING GROUP,Czech Republic,DUSAN DRDAJ,16,25,23,1,52,32,0,0,0,3
32,34,AUTONET MOTORCYCLE TEAM,Romania,EMANUEL GYENES,16,30,16,1,57,25,0,0,0,3
33,31,ORLEN TEAM,Poland,MACIEJ GIEMZA,16,35,48,2,2,57,0,0,0,3
34,62,FANTIC RACING,France,JEREMY MIROIR,16,39,6,2,6,15,0,0,0,3
35,37,ANQUETY MOTORSPORT,Belgium,JEROME MARTINY,16,48,21,2,15,30,0,0,0,3
36,36,CRÉDITO AGRÍCOLA - MARIOPATRAO.COM,Portugal,MARIO PATRAO,17,9,8,2,36,17,0,0,0,3
37,82,PEDREGA TEAM,Spain,ALBERT MARTIN GARCIA,17,20,2,2,47,11,0,0,0,3
38,140,XRAIDS EXPERIENCE,Portugal,BRUNO SANTOS,17,32,58,3,0,7,0,2,0,3
39,39,TEAM ESPRIT KTM,France,BENJAMIN MELOT,17,47,41,3,14,50,0,0,0,3
40,103,HT RALLY RAID HUSQVARNA RACING,Zimbabwe,ASHLEY THIXTON,17,53,51,3,21,0,0,7,0,3
41,115,ALL1 TEAM,Spain,JOSEP PEDRO SUBIRATS,18,2,46,3,29,55,0,2,0,3
42,147,NOMADE RACING,France,MATHIEU GIRARD,18,12,32,3,39,41,0,0,0,3
43,171,VARGA MOTORSPORT TEAM,Slovakia,JURAJ VARGA,18,15,21,3,42,30,0,0,0,3
44,174,7240 TEAM / DRAGON RALLY SERVICE,Argentina,MANUEL ANDUJAR,18,16,42,3,43,51,0,0,0,3
45,53,JOYRIDE RACE SERVICE,Denamrk,THOMAS KONGSHOJ,18,28,15,3,55,24,0,0,0,3
