Rank,Driver_Number,Team,Country,Driver,Hours,Minutes,Seconds,Variation_Hours,Variation_Minutes,Variation_Seconds,Penalty_Hours,Penalty_Minutes,Penalty_Seconds,Stage
78,40,Pont Grup - Yamaha,Spain,JAVI VEGA,25,27,9,7,59,56,0,43,10,4
79,74,MÔLEAGRIFOREST / COMAS MOTOS,France,MICHAEL JACOBI,25,29,1,8,1,48,0,42,0,4
80,84,Rally POV,Italy,TIZIANO INTERNO,25,38,33,8,11,20,0,0,0,4
81,64,TEAM GP MOTORS,France,ROMAIN DUCHENE,25,42,49,8,15,36,0,15,0,4
82,119,ALL1 TEAM ,Spain,JAVIER AMAT DE CARALT,25,46,0,8,18,47,0,8,0,4
83,65,GUILLAUME CHOLLET,France,GUILLAUME CHOLLET,25,51,58,8,24,45,0,15,0,4
84,79,HORIZON MOTO 95,France,AMAURY BARATIN,25,53,20,8,26,7,0,0,0,4
85,66,BAS WORLD KTM RACING TEAM,Japan,YOSHIO IKEMACHI,26,0,17,8,33,4,0,16,0,4
86,129,TEAM DUMONTIER RACING,France,SÉBASTIEN HERBET,26,13,8,8,45,55,0,36,0,4
87,176,VISIT SANT ANTONI - IBIZA,Spain,TONI VINGUT,26,21,40,8,54,27,0,0,0,4
88,128,Max BIANUCCI Nomade Racing,France,MAX BIANUCCI,26,27,20,9,0,7,0,0,0,4
89,136,HT RALLY RAID HUSQVARNA RACING,United States,WESTON CARR,26,33,57,9,6,44,0,18,0,4
90,32,AMERICAN RALLY ORIGINALS,United States,KYLE MC COY,26,34,40,9,7,27,0,0,0,4
91,38,TEAM BENERGY MONFORTE RALLY - GALICIA CA,Spain,EDUARDO IGLESIAS SANCHEZ,26,38,33,9,11,20,0,15,0,4
92,138,HT RALLY RAID HUSQVARNA RACING,Belgium,PIERRE SAEYS,26,41,30,9,14,17,0,39,0,4
93,67,XRAIDS EXPERIENCE,Chile,JOHN WILLIAM MEDINA SALAZAR,26,48,15,9,21,2,0,45,0,4
94,71,TUTTOGRU,Italy,FRANCESCO CATANESE,26,49,17,9,22,4,0,4,10,4
95,146,CLUB AVENTURA TOUAREG,Portugal,GAD NACHMANI,26,51,30,9,24,17,0,0,0,4
96,175,CFMOTO THUNDER RACING TEAM,Lithuania,ANTANAS KANOPKINAS,27,1,8,9,33,55,0,46,0,4
97,113,XRAIDS EXPERIENCE,Argentina,SEBASTIAN ALBERTO URQUIA,27,8,24,9,41,11,0,1,0,4
98,51,MELILLA CIUDAD DEL DEPORTE,Spain,RACHID AL-LAL LAHADIL,27,21,41,9,54,28,0,0,0,4
99,90,NOMADE RACING,France,LOIS D'ABBADIE,27,23,28,9,56,15,0,15,0,4
100,132,TEAM RAF,France,ANDY BEAUCOUD,27,34,12,10,6,59,0,30,0,4
101,131,TEAM RAF,France,ANTHONY FABRE,27,34,39,10,7,26,0,31,10,4
102,145,HT RALLY RAID HUSQVARNA RACING,Mongolia,GANZORIG CHULUUN,27,45,9,10,17,56,0,15,10,4
103,144,HT RALLY RAID HUSQVARNA RACING,Uruguay,FABIAN VON THUENGEN,27,45,59,10,18,46,0,15,0,4
104,114,ALL1 TEAM,Spain,CARLOS LLIBRE BELTRI,27,46,44,10,19,31,0,32,40,4
105,89,HT RALLY RAID HUSQVARNA RACING,Austria,ARDIT KURTAJ,27,47,58,10,20,45,0,2,10,4
106,126,PEDREGA TEAM,Spain,MARIO GARRIDO,28,16,24,10,49,11,0,31,0,4
107,141,VB X KRAY&CO,France,VINCENT BIAU,28,22,53,10,55,40,0,45,0,4
108,98,KORR OFFROAD RACING,United States,MASON KLEIN,28,33,10,11,5,57,0,23,0,4
109,130,JOYRACE / ACAMPOS,Spain,JAVIER CAMPOS DONO,28,39,13,11,12,0,0,31,10,4
110,116,ALL1 TEAM,Spain,XAVIER PES BOSCK,28,50,4,11,22,51,0,31,0,4
111,143,PEDREGA TEAM,Mexico,HECTOR GUERRERO,29,55,32,12,28,19,0,38,0,4
112,122,HALEEM,Saudi Arabia,ABDULHALIM ALMOGHEERA,30,13,55,12,46,42,0,59,0,4
113,85,TBRACING,France,THIERRY BETHYS,30,30,18,13,3,5,0,30,0,4
114,121,NOMADE RACING,France,JAMES SIMONIN,31,22,33,13,55,20,0,35,10,4
115,78,ZERO MILEAGE RALLY TEAM,China,ZHAO HONGYI,33,56,32,16,29,19,0,45,0,4
116,179,HANI ALNOUMESI,Saudi Arabia,ALNOUMESI HANI,34,56,47,17,29,34,0,10,0,4
117,95,XRAIDS EXPERIENCE,Spain,DOMINIQUE CIZEAU GIRAULT,35,43,17,18,16,4,0,0,0,4
118,59,BAS WORLD KTM RACING TEAM,Guatemala,FRANCISCO ARREDONDO,48,1,49,30,34,36,0,45,0,4
119,72,NOMADE RACING,France,PHILIPPE GENDRON,52,29,10,35,1,57,0,2,0,4
120,178,DRAG'ON RALLY TEAM,France,SAMUEL DESBUISSON,52,39,49,35,12,36,0,40,0,4
121,137,HT RALLY RAID HUSQVARNA RACING,Belgium,GWEN BACKX,53,55,28,36,28,15,0,30,0,4
122,45,KOVE,China,SUNIER SUNIER,60,50,16,43,23,3,0,0,10,4
123,21,DUUST RALLY TEAM,United States,JACOB ARGUBRIGHT,66,31,16,49,4,3,0,20,0,4
124,56,TEAM MARCIC,Slovenia,SIMON MARCIC,79,6,10,61,38,57,0,0,0,4
125,109,CLUB AVENTURA TOUAREG,Morocco,MOHAMED SAID AOULAD ALI,81,44,17,64,17,4,0,24,0,4
126,63,ORION - MOTO RACING GROUP,Czech Republic,JAROMIR ROMANCIK,93,40,22,76,13,9,0,34,0,4
127,69,BAS WORLD KTM RACING TEAM,Spain,CESAR ROJO,97,26,41,79,59,28,0,32,0,4
128,173,DRAGON,Argentina,FRANCISCO MORENO FLORES,11,1,5,93,49,38,0,45,0,4
129,92,VENDETTA RACING UAE,United Kingom,DAVID MABBS,11,1,5,97,44,38,0,0,0,4
130,125,ZERANTA,Italy,IADER GIRALDI,11,1,5,10,49,43,0,0,0,4
131,118,ALL1 TEAM,Spain,FERNANDO CONDE TARGA,14,0,4,12,37,31,100,0,0,4
1,46,HERO MOTOSPORTS TEAM RALLY,Botswana,ROSS BRANCH,19,5,3,0,0,0,0,1,0,5
2,11,MONSTER ENERGY HONDA TEAM,Chile,JOSE IGNACIO CORNEJO FLORIMO,19,6,17,0,1,14,0,0,0,5
3,9,MONSTER ENERGY HONDA TEAM,United States,RICKY BRABEC,19,8,50,0,3,47,0,1,0,5
4,42,MONSTER ENERGY HONDA TEAM,France,ADRIEN VAN BEVEREN,19,23,13,0,18,10,0,0,0,5
5,47,RED BULL KTM FACTORY RACING,Argentina,KEVIN BENAVIDES,19,26,20,0,21,17,0,0,0,5
6,7,MONSTER ENERGY HONDA TEAM,Chile,PABLO QUINTANILLA,19,31,50,0,26,47,0,6,0,5
7,2,RED BULL KTM FACTORY RACING,Australia,TOBY PRICE,19,36,39,0,31,36,0,0,0,5
8,5,RED BULL GASGAS FACTORY RACING,Australia,DANIEL SANDERS,19,42,47,0,37,44,0,0,0,5
9,16,TEAM DUMONTIER RACING,France,ROMAIN DUMONTIER,19,43,55,0,38,52,0,0,0,5
10,23,ORION - MOTO RACING GROUP,Czech Republic,MARTIN MICHEK,19,44,55,0,39,52,0,0,0,5
11,1,HUSQVARNA FACTORY RACING,Argentina,LUCIANO BENAVIDES,19,50,39,0,45,36,0,15,0,5
12,88,HERO MOTOSPORTS TEAM RALLY,Spain,JOAN BARREDA BORT,19,53,5,0,48,2,0,21,0,5
13,10,MONSTER ENERGY HONDA TEAM,United States,SKYLER HOWES,19,53,40,0,48,37,0,0,0,5
14,142,SLOVNAFT RALLY TEAM,Slovakia,STEFAN SVITKO,20,0,15,0,55,12,0,0,0,5
15,19,SHERCO RALLY FACTORY,Portugal,RUI GONÇALVES,20,2,3,0,57,0,0,0,0,5
16,76,DUUST RALLY TEAM,France,JEANLOUP LEPAN,20,19,10,1,14,7,0,0,0,5
17,28,BAS WORLD KTM RACING TEAM,France,MATHIEU DOVEZE,20,28,23,1,23,20,0,0,0,5
18,20,SHERCO TVS RALLY FACTORY,India,HARITH NOAH,20,29,9,1,24,6,0,0,0,5
19,24,BAS WORLD KTM RACING TEAM,Slovenia,TONI MULEC,20,32,31,1,27,28,0,0,0,5
20,17,BAS WORLD KTM RACING TEAM,Italy,PAOLO LUCCI,20,33,4,1,28,1,0,0,0,5
21,18,BAS WORLD KTM RACING TEAM,South Africa,BRADLEY COX,20,35,7,1,30,4,0,2,0,5
22,41,XRAIDS EXPERIENCE,Argentina,DIEGO GAMALIEL LLANOS,20,53,13,1,48,10,0,2,0,5
23,43,ORION - MOTO RACING GROUP,Czech Republic,MILAN ENGEL,20,56,27,1,51,24,0,0,0,5
24,30,DRAG'ON RALLY TEAM,Portugal,ANTONIO MAIO,21,2,26,1,57,23,0,13,20,5
25,73,HT RALLY RAID HUSQVARNA RACING,South Africa,CHARAN MOORE,21,27,9,2,22,6,0,0,0,5
26,96,KINI RALLY RACING TEAM,Austria,TOBIAS EBSTER,21,28,38,2,23,35,0,16,0,5
27,33,STROJRENT RACING,Czech Republic,JAN BRABEC,21,33,0,2,27,57,0,0,0,5
28,29,KOVE,France,NEELS THERIC,21,34,22,2,29,19,0,15,0,5
29,31,ORLEN TEAM,Poland,MACIEJ GIEMZA,21,37,45,2,32,42,0,0,0,5
30,70,ORION - MOTO RACING GROUP,Czech Republic,DUSAN DRDAJ,21,40,54,2,35,51,0,0,0,5
31,57,FANTIC RACING RALLY TEAM,Italy,TOMMASO MONTANARI,21,44,20,2,39,17,0,0,0,5
32,34,AUTONET MOTORCYCLE TEAM,Romania,EMANUEL GYENES,21,44,42,2,39,39,0,0,0,5
33,62,FANTIC RACING,France,JEREMY MIROIR,22,12,6,3,7,3,0,15,0,5
34,37,ANQUETY MOTORSPORT,Belgium,JEROME MARTINY,22,43,23,3,38,20,0,15,0,5
35,82,PEDREGA TEAM,Spain,ALBERT MARTIN GARCIA,22,52,7,3,47,4,0,0,0,5
36,140,XRAIDS EXPERIENCE,Portugal,BRUNO SANTOS,23,1,22,3,56,19,0,19,0,5
37,36,CRÉDITO AGRÍCOLA - MARIOPATRAO.COM,Portugal,MARIO PATRAO,23,2,23,3,57,20,0,17,0,5
38,39,TEAM ESPRIT KTM,France,BENJAMIN MELOT,23,2,39,3,57,36,0,0,0,5
39,103,HT RALLY RAID HUSQVARNA RACING,Zimbabwe,ASHLEY THIXTON,23,13,29,4,8,26,0,7,0,5
40,174,7240 TEAM / DRAGON RALLY SERVICE,Argentina,MANUEL ANDUJAR,23,45,23,4,40,20,0,0,0,5
41,106,UNIVERSAL RIDE,France,JEROME BAS,23,52,44,4,47,41,0,27,10,5
42,86,TEAM ALL TRACKS,France,CHARLIE HERBST,23,53,43,4,48,40,0,0,0,5
43,115,ALL1 TEAM,Spain,JOSEP PEDRO SUBIRATS,23,55,35,4,50,32,0,17,0,5
44,172,YAMAHA RACING - SMX - DRAG'ON,France,ALEXANDRE GIROUD,24,5,42,5,0,39,0,15,0,5
45,177,TAGUATUR RACING TEAM,Brazil,MARCELO MEDEIROS,24,7,4,5,2,1,0,0,0,5
46,99,XRAIDS EXPERIENCE,Argentina,JUAN SANTIAGO ROSTAN,24,7,38,5,2,35,0,0,0,5
47,147,NOMADE RACING,France,MATHIEU GIRARD,24,15,49,5,10,46,0,15,0,5
48,53,JOYRIDE RACE SERVICE,Denamrk,THOMAS KONGSHOJ,24,15,58,5,10,55,0,0,0,5
49,81,KOVE,China,FANG XIANGLIANG,24,23,28,5,18,25,0,1,0,5
50,26,DUUST RALLY TEAM,Poland,KONRAD DABROWSKI,24,23,46,5,18,43,0,0,0,5
51,148,BAS WORLD KTM RACING TEAM,Chile,TOMAS DE GAVARDO,24,24,46,5,19,43,0,1,0,5
52,101,ORION - MOTO RACING GROUP,Czech Republic,MARTIN PROKES,24,26,22,5,21,19,0,2,10,5
53,61,SP MOTO BOHEMIA,Czech Republic,DAVID PABISKA,24,37,26,5,32,23,0,7,10,5
54,171,VARGA MOTORSPORT TEAM,Slovakia,JURAJ VARGA,24,39,6,5,34,3,0,1,0,5
55,110,FANTIC RACING,United Kingom,JANE DANIELS,24,55,46,5,50,43,0,0,0,5
56,105,NOMADE RACING,France,JULIEN DALBEC,25,11,18,6,6,15,0,17,0,5
57,112,DAKAR 4 DAKAR,Italy,GIOELE MEONI,25,23,52,6,18,49,0,6,0,5
58,117,ALL1 TEAM,Spain,JOSEP MARTI SUÑER,25,30,21,6,25,18,0,0,20,5
59,170,STORY Racing,Lithuania,LAISVYDAS KANCIUS,25,32,17,6,27,14,0,2,0,5
60,97,JP1 KEWS DAKAR RALLY TEAM,Ecuador,JUAN PUGA,25,52,58,6,47,55,0,2,0,5
61,107,DNA AIR FILTERS- ENDURO GREECE,Greece,VASILEIOS BOUDROS,25,54,21,6,49,18,0,0,0,5
62,87,PODMOL DAKAR TEAM,Czech Republic,LIBOR PODMOL,25,56,51,6,51,48,0,0,30,5
63,93,VENDETTA RACING UAE,United Kingom,DAVID MCBRIDE,26,11,47,7,6,44,0,5,0,5
64,139,FlexitGO Dakar Team,Lithuania,MODESTAS SILIUNAS,26,25,55,7,20,52,0,32,0,5
65,111,NOMADE RACING,Germany,YAEL KADSHAI,26,28,35,7,23,32,0,15,0,5
66,102,ORION - MOTO RACING GROUP,Poland,BARTLOMIEJ TABIN,26,33,28,7,28,25,0,15,0,5
67,94,VENDETTA RACING UAE,Ireland,ORAN O'KELLY,26,36,18,7,31,15,0,2,0,5
68,75,ZERO MILEAGE RALLY TEAM,China,ZHANG MIN,26,36,52,7,31,49,0,0,0,5
69,104,TLDRACING,France,JEREMIE GERBER,26,40,42,7,35,39,0,15,0,5
70,127,Nomade Expert Mining Solution ,South Africa,RONALD VENTER,26,55,43,7,50,40,0,0,0,5
71,120,HT RALLY RAID HUSQVARNA RACING,Belgium,JORIS VAN DYCK,27,10,33,8,5,30,0,0,0,5
72,83,NOMADE RACING,France,FABIEN DOMAS,27,15,44,8,10,41,0,8,0,5
73,123,TOUAREG IBIZA - EIVISSA ESPORTS,Italy,FABIO LOTTERO,27,26,10,8,21,7,0,0,0,5
74,49,KOVE ITALIA,Italy,CESARE ZACCHETTI,27,27,32,8,22,29,0,0,0,5
75,74,MÔLEAGRIFOREST / COMAS MOTOS,France,MICHAEL JACOBI,27,28,3,8,23,0,0,42,0,5
76,100,STUART GREGORY,South Africa,STUART GREGORY,27,32,4,8,27,1,0,9,0,5
77,80,CLUB AVENTURA TOUAREG,Portugal,ALEXANDRE AZINHAIS,27,38,16,8,33,13,0,0,0,5
78,40,Pont Grup - Yamaha,Spain,JAVI VEGA,27,41,20,8,36,17,0,43,10,5
79,64,TEAM GP MOTORS,France,ROMAIN DUCHENE,27,55,27,8,50,24,0,15,0,5
80,84,Rally POV,Italy,TIZIANO INTERNO,28,0,3,8,55,0,0,0,0,5
81,133,#UNDAKARPOURDELESPOIR,France,BRUNO LEBLANC,28,1,39,8,56,36,0,2,0,5
82,119,ALL1 TEAM ,Spain,JAVIER AMAT DE CARALT,28,3,24,8,58,21,0,8,0,5
83,65,GUILLAUME CHOLLET,France,GUILLAUME CHOLLET,28,10,55,9,5,52,0,16,0,5
84,66,BAS WORLD KTM RACING TEAM,Japan,YOSHIO IKEMACHI,28,12,30,9,7,27,0,16,0,5
85,79,HORIZON MOTO 95,France,AMAURY BARATIN,28,17,37,9,12,34,0,0,0,5
86,129,TEAM DUMONTIER RACING,France,SÉBASTIEN HERBET,28,22,59,9,17,56,0,36,0,5
87,32,AMERICAN RALLY ORIGINALS,United States,KYLE MC COY,28,49,18,9,44,15,0,0,0,5
88,138,HT RALLY RAID HUSQVARNA RACING,Belgium,PIERRE SAEYS,28,51,32,9,46,29,0,39,0,5
89,136,HT RALLY RAID HUSQVARNA RACING,United States,WESTON CARR,28,54,5,9,49,2,0,18,0,5
90,128,Max BIANUCCI Nomade Racing,France,MAX BIANUCCI,28,56,22,9,51,19,0,0,0,5
91,38,TEAM BENERGY MONFORTE RALLY - GALICIA CA,Spain,EDUARDO IGLESIAS SANCHEZ,28,59,4,9,54,1,0,15,0,5
92,67,XRAIDS EXPERIENCE,Chile,JOHN WILLIAM MEDINA SALAZAR,29,3,32,9,58,29,0,45,0,5
93,71,TUTTOGRU,Italy,FRANCESCO CATANESE,29,18,5,10,13,2,0,4,10,5
94,146,CLUB AVENTURA TOUAREG,Portugal,GAD NACHMANI,29,25,0,10,19,57,0,0,0,5
95,113,XRAIDS EXPERIENCE,Argentina,SEBASTIAN ALBERTO URQUIA,29,28,37,10,23,34,0,1,0,5
96,90,NOMADE RACING,France,LOIS D'ABBADIE,29,35,11,10,30,8,0,15,0,5
97,131,TEAM RAF,France,ANTHONY FABRE,29,44,42,10,39,39,0,31,10,5
98,132,TEAM RAF,France,ANDY BEAUCOUD,29,44,47,10,39,44,0,30,0,5
99,51,MELILLA CIUDAD DEL DEPORTE,Spain,RACHID AL-LAL LAHADIL,29,48,46,10,43,43,0,0,0,5
100,145,HT RALLY RAID HUSQVARNA RACING,Mongolia,GANZORIG CHULUUN,30,5,14,11,0,11,0,17,10,5
101,144,HT RALLY RAID HUSQVARNA RACING,Uruguay,FABIAN VON THUENGEN,30,6,29,11,1,26,0,15,0,5
102,98,KORR OFFROAD RACING,United States,MASON KLEIN,30,9,4,11,4,1,0,23,0,5
103,114,ALL1 TEAM,Spain,CARLOS LLIBRE BELTRI,30,10,19,11,5,16,0,39,40,5
104,89,HT RALLY RAID HUSQVARNA RACING,Austria,ARDIT KURTAJ,30,23,48,11,18,45,0,2,10,5
105,141,VB X KRAY&CO,France,VINCENT BIAU,30,33,30,11,28,27,0,45,0,5
106,175,CFMOTO THUNDER RACING TEAM,Lithuania,ANTANAS KANOPKINAS,30,39,51,11,34,48,0,46,0,5
107,126,PEDREGA TEAM,Spain,MARIO GARRIDO,30,50,15,11,45,12,0,31,0,5
108,116,ALL1 TEAM,Spain,XAVIER PES BOSCK,31,31,38,12,26,35,0,39,10,5
109,130,JOYRACE / ACAMPOS,Spain,JAVIER CAMPOS DONO,31,33,19,12,28,16,0,46,10,5
110,143,PEDREGA TEAM,Mexico,HECTOR GUERRERO,32,28,2,13,22,59,0,38,0,5
111,122,HALEEM,Saudi Arabia,ABDULHALIM ALMOGHEERA,32,46,58,13,41,55,0,59,0,5
112,85,TBRACING,France,THIERRY BETHYS,33,17,15,14,12,12,0,30,0,5
113,121,NOMADE RACING,France,JAMES SIMONIN,34,10,51,15,5,48,0,35,10,5
114,179,HANI ALNOUMESI,Saudi Arabia,ALNOUMESI HANI,38,32,14,19,27,11,0,24,0,5
115,95,XRAIDS EXPERIENCE,Spain,DOMINIQUE CIZEAU GIRAULT,38,39,53,19,34,50,0,0,0,5
116,176,VISIT SANT ANTONI - IBIZA,Spain,TONI VINGUT,56,6,40,37,1,37,0,15,0,5
117,45,KOVE,China,SUNIER SUNIER,62,38,38,43,33,35,0,0,10,5
118,78,ZERO MILEAGE RALLY TEAM,China,ZHAO HONGYI,68,26,32,49,21,29,0,45,0,5
119,21,DUUST RALLY TEAM,United States,JACOB ARGUBRIGHT,70,46,3,51,41,0,0,20,0,5
120,56,TEAM MARCIC,Slovenia,SIMON MARCIC,81,0,8,61,55,5,0,0,0,5
121,59,BAS WORLD KTM RACING TEAM,Guatemala,FRANCISCO ARREDONDO,82,31,49,63,26,46,0,45,0,5
122,109,CLUB AVENTURA TOUAREG,Morocco,MOHAMED SAID AOULAD ALI,84,30,14,65,25,11,0,41,0,5
123,72,NOMADE RACING,France,PHILIPPE GENDRON,86,59,10,67,54,7,0,2,0,5
124,178,DRAG'ON RALLY TEAM,France,SAMUEL DESBUISSON,87,9,49,68,4,46,0,40,0,5
125,137,HT RALLY RAID HUSQVARNA RACING,Belgium,GWEN BACKX,88,25,28,69,20,25,0,30,0,5
126,63,ORION - MOTO RACING GROUP,Czech Republic,JAROMIR ROMANCIK,95,26,26,76,21,23,0,34,0,5
127,69,BAS WORLD KTM RACING TEAM,Spain,CESAR ROJO,13,5,4,11,51,38,0,32,0,5
1,9,MONSTER ENERGY HONDA TEAM,United States,RICKY BRABEC,27,11,21,0,0,0,0,1,0,6
2,46,HERO MOTOSPORTS TEAM RALLY,Botswana,ROSS BRANCH,27,12,12,0,0,51,0,1,0,6
3,42,MONSTER ENERGY HONDA TEAM,France,ADRIEN VAN BEVEREN,27,20,42,0,9,21,0,0,0,6
4,11,MONSTER ENERGY HONDA TEAM,Chile,JOSE IGNACIO CORNEJO FLORIMO,27,25,35,0,14,14,0,6,0,6
5,2,RED BULL KTM FACTORY RACING,Australia,TOBY PRICE,27,38,21,0,27,0,0,0,0,6
6,47,RED BULL KTM FACTORY RACING,Argentina,KEVIN BENAVIDES,27,39,54,0,28,33,0,0,0,6
7,5,RED BULL GASGAS FACTORY RACING,Australia,DANIEL SANDERS,27,47,11,0,35,50,0,0,0,6
8,1,HUSQVARNA FACTORY RACING,Argentina,LUCIANO BENAVIDES,27,58,47,0,47,26,0,15,0,6
9,142,SLOVNAFT RALLY TEAM,Slovakia,STEFAN SVITKO,28,19,3,1,7,42,0,0,0,6
10,76,DUUST RALLY TEAM,France,JEANLOUP LEPAN,28,43,3,1,31,42,0,0,0,6
11,23,ORION - MOTO RACING GROUP,Czech Republic,MARTIN MICHEK,28,45,45,1,34,24,0,1,0,6
12,16,TEAM DUMONTIER RACING,France,ROMAIN DUMONTIER,28,58,34,1,47,13,0,0,0,6
13,20,SHERCO TVS RALLY FACTORY,India,HARITH NOAH,29,9,3,1,57,42,0,0,0,6
14,17,BAS WORLD KTM RACING TEAM,Italy,PAOLO LUCCI,29,12,27,2,1,6,0,0,0,6
15,18,BAS WORLD KTM RACING TEAM,South Africa,BRADLEY COX,29,15,28,2,4,7,0,2,0,6
16,24,BAS WORLD KTM RACING TEAM,Slovenia,TONI MULEC,29,16,30,2,5,9,0,6,0,6
17,7,MONSTER ENERGY HONDA TEAM,Chile,PABLO QUINTANILLA,29,26,2,2,14,41,0,13,0,6
18,28,BAS WORLD KTM RACING TEAM,France,MATHIEU DOVEZE,29,35,50,2,24,29,0,0,10,6
19,43,ORION - MOTO RACING GROUP,Czech Republic,MILAN ENGEL,30,2,45,2,51,24,0,0,0,6
20,30,DRAG'ON RALLY TEAM,Portugal,ANTONIO MAIO,30,12,5,3,0,44,0,13,20,6
21,96,KINI RALLY RACING TEAM,Austria,TOBIAS EBSTER,30,42,43,3,31,22,0,22,0,6
22,73,HT RALLY RAID HUSQVARNA RACING,South Africa,CHARAN MOORE,30,43,33,3,32,12,0,0,0,6
23,33,STROJRENT RACING,Czech Republic,JAN BRABEC,30,56,55,3,45,34,0,0,0,6
24,29,KOVE,France,NEELS THERIC,30,57,48,3,46,27,0,21,0,6
25,34,AUTONET MOTORCYCLE TEAM,Romania,EMANUEL GYENES,31,7,26,3,56,5,0,0,0,6
26,41,XRAIDS EXPERIENCE,Argentina,DIEGO GAMALIEL LLANOS,31,53,41,4,42,20,0,8,0,6
27,37,ANQUETY MOTORSPORT,Belgium,JEROME MARTINY,31,57,36,4,46,15,0,15,0,6
28,62,FANTIC RACING,France,JEREMY MIROIR,32,16,3,5,4,42,0,31,0,6
29,39,TEAM ESPRIT KTM,France,BENJAMIN MELOT,32,20,28,5,9,7,0,0,0,6
30,36,CRÉDITO AGRÍCOLA - MARIOPATRAO.COM,Portugal,MARIO PATRAO,32,24,38,5,13,17,0,17,0,6
31,140,XRAIDS EXPERIENCE,Portugal,BRUNO SANTOS,32,55,56,5,44,35,0,25,0,6
32,26,DUUST RALLY TEAM,Poland,KONRAD DABROWSKI,33,9,31,5,58,10,0,0,0,6
33,19,SHERCO RALLY FACTORY,Portugal,RUI GONÇALVES,33,12,10,6,0,49,0,0,0,6
34,103,HT RALLY RAID HUSQVARNA RACING,Zimbabwe,ASHLEY THIXTON,33,19,14,6,7,53,0,7,10,6
35,86,TEAM ALL TRACKS,France,CHARLIE HERBST,33,35,12,6,23,51,0,0,0,6
36,174,7240 TEAM / DRAGON RALLY SERVICE,Argentina,MANUEL ANDUJAR,33,42,44,6,31,23,0,3,0,6
37,106,UNIVERSAL RIDE,France,JEROME BAS,34,1,2,6,49,41,0,39,10,6
38,172,YAMAHA RACING - SMX - DRAG'ON,France,ALEXANDRE GIROUD,34,2,54,6,51,33,0,17,0,6
39,82,PEDREGA TEAM,Spain,ALBERT MARTIN GARCIA,34,17,46,7,6,25,0,16,10,6
40,177,TAGUATUR RACING TEAM,Brazil,MARCELO MEDEIROS,34,28,20,7,16,59,0,0,10,6
41,105,NOMADE RACING,France,JULIEN DALBEC,35,6,0,7,54,39,0,17,10,6
42,148,BAS WORLD KTM RACING TEAM,Chile,TOMAS DE GAVARDO,35,9,42,7,58,21,0,16,0,6
43,53,JOYRIDE RACE SERVICE,Denamrk,THOMAS KONGSHOJ,35,18,31,8,7,10,0,1,0,6
44,99,XRAIDS EXPERIENCE,Argentina,JUAN SANTIAGO ROSTAN,35,20,21,8,9,0,0,1,0,6
45,101,ORION - MOTO RACING GROUP,Czech Republic,MARTIN PROKES,35,40,45,8,29,24,0,2,10,6
46,112,DAKAR 4 DAKAR,Italy,GIOELE MEONI,35,42,18,8,30,57,0,7,0,6
47,61,SP MOTO BOHEMIA,Czech Republic,DAVID PABISKA,35,47,21,8,36,0,0,7,10,6
48,81,KOVE,China,FANG XIANGLIANG,35,52,4,8,40,43,0,7,0,6
49,171,VARGA MOTORSPORT TEAM,Slovakia,JURAJ VARGA,35,55,4,8,43,43,0,1,0,6
50,115,ALL1 TEAM,Spain,JOSEP PEDRO SUBIRATS,35,55,58,8,44,37,0,17,0,6
51,117,ALL1 TEAM,Spain,JOSEP MARTI SUÑER,36,15,30,9,4,9,0,30,20,6
52,97,JP1 KEWS DAKAR RALLY TEAM,Ecuador,JUAN PUGA,36,20,53,9,9,32,0,21,0,6
53,110,FANTIC RACING,United Kingom,JANE DANIELS,36,23,57,9,12,36,0,12,0,6
54,147,NOMADE RACING,France,MATHIEU GIRARD,36,37,30,9,26,9,0,15,0,6
55,93,VENDETTA RACING UAE,United Kingom,DAVID MCBRIDE,37,17,13,10,5,52,0,5,0,6
56,170,STORY Racing,Lithuania,LAISVYDAS KANCIUS,37,18,46,10,7,25,0,2,0,6
57,104,TLDRACING,France,JEREMIE GERBER,38,3,25,10,52,4,0,15,10,6
58,94,VENDETTA RACING UAE,Ireland,ORAN O'KELLY,38,22,59,11,11,38,0,2,0,6
59,87,PODMOL DAKAR TEAM,Czech Republic,LIBOR PODMOL,38,25,25,11,14,4,0,0,30,6
60,102,ORION - MOTO RACING GROUP,Poland,BARTLOMIEJ TABIN,38,25,47,11,14,26,0,30,10,6
61,75,ZERO MILEAGE RALLY TEAM,China,ZHANG MIN,38,29,46,11,18,25,0,0,0,6
62,74,MÔLEAGRIFOREST / COMAS MOTOS,France,MICHAEL JACOBI,38,36,50,11,25,29,0,47,20,6
63,120,HT RALLY RAID HUSQVARNA RACING,Belgium,JORIS VAN DYCK,39,6,7,11,54,46,0,1,0,6
64,111,NOMADE RACING,Germany,YAEL KADSHAI,39,47,7,12,35,46,0,15,0,6
65,66,BAS WORLD KTM RACING TEAM,Japan,YOSHIO IKEMACHI,40,29,56,13,18,35,0,31,0,6
66,100,STUART GREGORY,South Africa,STUART GREGORY,40,42,14,13,30,53,0,9,0,6
67,119,ALL1 TEAM ,Spain,JAVIER AMAT DE CARALT,40,46,15,13,34,54,0,8,0,6
68,65,GUILLAUME CHOLLET,France,GUILLAUME CHOLLET,40,47,39,13,36,18,0,16,0,6
69,80,CLUB AVENTURA TOUAREG,Portugal,ALEXANDRE AZINHAIS,41,0,57,13,49,36,0,0,0,6
