"","Year","Team Name","overall_minutes","canoe_minutes","xcski_minutes","downhill_minutes","kayak_minutes","roadbike_minutes","run_minutes","xcbike_minutes"
"1",2009,"TEAM ISLAGIATT",438.366666666667,133.6,16.8333333333333,28.75,48.6333333333333,90.9333333333333,48.5833333333333,71.0333333333333
"2",2009,"Moore Heckrodts On the Way",462.166666666667,141.983333333333,17.1666666666667,23.3666666666667,61.9833333333333,104.3,51.1166666666667,62.25
"3",2009,"Boomer's Drive-In",440.516666666667,186.55,17.5,24.2333333333333,45.9833333333333,77.3,39.1833333333333,49.7666666666667
"4",2009,"Boss Construction 4 Western Football",356.366666666667,114.25,17.7833333333333,25.1166666666667,38.95,77.7333333333333,39.6666666666667,42.8666666666667
"5",2009,"Samuel's Furniture",373.316666666667,108.383333333333,18,26.4,42.9666666666667,82.5833333333333,50.8,44.1833333333333
"6",2009,"Barron Heating",347.166666666667,108.466666666667,18.0166666666667,20.6,41.05,75,37.95,46.0833333333333
"7",2009,"clippercanoes.com",349.65,111.533333333333,18.0333333333333,22.4666666666667,39.05,79.7666666666667,36.65,42.15
"8",2009,"BAGELRY",345.716666666667,110.333333333333,18.1833333333333,20.7666666666667,40.2666666666667,74.5666666666667,38.0833333333333,43.5166666666667
"9",2009,"XCEL WETSUITS",352.733333333333,111.616666666667,18.7666666666667,22.4333333333333,41.3,78.2,38.2666666666667,42.15
"10",2009,"Pape Rents",388.4,113.133333333333,19.4166666666667,28.6166666666667,43.95,92.3833333333333,44.6333333333333,46.2666666666667
"11",2009,"Banditos Burritos",368.633333333333,111.6,19.7166666666667,25.1666666666667,41.0833333333333,84.5166666666667,41.7333333333333,44.8166666666667
"12",2009,"RunningShoes.com",364.8,111.966666666667,20.1666666666667,26.2,41.1833333333333,82.05,36.75,46.4833333333333
"13",2009,"BEAVERS TREE SERVICE",370.85,113,20.1666666666667,21.3666666666667,41.7833333333333,80.8833333333333,43.8,49.85
"14",2009,"POS-X",385.25,115.3,20.2833333333333,30.2,43.3666666666667,85.4666666666667,41.8666666666667,48.7666666666667
"15",2009,"Nomad Technologies",377.05,114.066666666667,20.4,23.9666666666667,43.2333333333333,82.7333333333333,38.05,54.6
"16",2009,"ThorAppliances.com",390.55,119.95,20.4166666666667,25.8166666666667,46.2833333333333,83.5,43.85,50.7333333333333
"17",2009,"Black Stallions",439.116666666667,126.916666666667,20.7166666666667,25.1333333333333,41.4166666666667,95.8833333333333,65.5166666666667,63.5333333333333
"18",2009,"Win or Die",383.933333333333,118.833333333333,20.7333333333333,25.3833333333333,41,81.5333333333333,46.0666666666667,50.3833333333333
"19",2009,"Ross and Sons Farms",480.15,143.533333333333,20.75,32.15,64.4333333333333,106.1,48.5833333333333,64.6
"20",2009,"Cordata Dental",400.016666666667,121.316666666667,20.85,26.2333333333333,50.3166666666667,85.15,41.3833333333333,54.7666666666667
"21",2009,"BOUNDARY BAY BREWERY",392.483333333333,117.383333333333,21.0833333333333,24.5333333333333,44.6833333333333,82.7333333333333,45.2833333333333,56.7833333333333
"22",2009,"@tdcurran",393.366666666667,120.716666666667,21.3333333333333,24.5833333333333,44.4666666666667,81.7166666666667,45.9166666666667,54.6333333333333
"23",2009,"Made in the Methow",453.133333333333,143.583333333333,22.0666666666667,27.5666666666667,51.1666666666667,100.966666666667,46.3666666666667,61.4166666666667
"24",2009,"MRSAnaries",379.983333333333,113.616666666667,22.5,24.8666666666667,41.1333333333333,83.05,40.45,54.3666666666667
"25",2009,"Aven Construction",425.7,125.583333333333,22.5833333333333,43.6333333333333,54.1833333333333,88.2333333333333,44.2166666666667,47.2666666666667
"26",2009,"A Nooksack in the Hand Is Worth Two in the Bush",544.65,179.2,22.7666666666667,26.4833333333333,84.6166666666667,120.05,51.0166666666667,60.5166666666667
"27",2009,"The Monkey Wrench Gang",431.55,131.366666666667,22.85,32.7833333333333,56.05,88.3333333333333,47.7833333333333,52.3833333333333
"28",2009,"SSC You Call, We Haul",438.266666666667,122.883333333333,22.9833333333333,32.8333333333333,48.4,103.933333333333,51.45,55.7833333333333
"29",2009,"Team Manzier",448.116666666667,145.25,23.05,25.55,55.4166666666667,97.3,47.1333333333333,54.4166666666667
"30",2009,"Boss Construction 4 Western Football II",369.616666666667,110.816666666667,23.25,25.9833333333333,40.1833333333333,81.4666666666667,40.4833333333333,47.4333333333333
"31",2009,"High Country Hoodlums",436.383333333333,128.133333333333,23.3333333333333,29.9,58.05,90.0833333333333,51.5,55.3833333333333
"32",2009,"Bank of the Pacific",385.983333333333,113.216666666667,23.8833333333333,25.1333333333333,41.8833333333333,83.2,45.5666666666667,53.1
"33",2009,"Bare On Heating",481.916666666667,142.316666666667,24.2333333333333,33.1833333333333,66.15,90.7833333333333,54.5666666666667,70.6833333333333
"34",2009,"Awesome Dawson Descending Masters",424.483333333333,129.683333333333,24.75,28.75,48.9833333333333,93.75,45.7833333333333,52.7833333333333
"35",2009,"Mini Sirloin Burglars",467.416666666667,148.6,24.8333333333333,27.2333333333333,65.2,86.7,55.9166666666667,58.9333333333333
"36",2009,"Love Train",474.233333333333,158.4,24.9166666666667,26.5833333333333,68.6666666666667,87.1,56.9833333333333,51.5833333333333
"37",2009,"Team Janicki",500.533333333333,152.1,25,36.6833333333333,57.2166666666667,101.983333333333,50.9333333333333,76.6166666666667
"38",2009,"Lexilicious",526.116666666667,164.25,25.1666666666667,32.9166666666667,63.5166666666667,110.066666666667,59.85,70.35
