"","Form"
"1","24-type Taijiquan "
"2","Double-weapon routines "
"3","Double-weapon routines_Other routines "
"4","Double-weapon routines_Shuangbishou (Double Daggers) "
"5","Double-weapon routines_Shuangdao (Double Broadsword) "
"6","Double-weapon routines_Shuangjian (Double Straight Sword) "
"7","Fifth-type bare-hand routines_Shaolinquan "
"8","First-type bare-hand routines "
"9","First-type bare-hand routines _Other routines "
"10","First-type bare-hand routines_Baguazhang "
"11","First-type bare-hand routines_Bajiquan "
"12","Flexible/Soft-weapon routines "
"13","Flexible/Soft-weapon routines_Jiujiebian "
"14","Flexible/Soft-weapon routines_Jiujiebian (Nine Section Whip Chain) "
"15","Flexible/Soft-weapon routines_Other routines "
"16","Fourth-type bare-hand routine_Chaquan "
"17","Fourth-type bare-hand routine_Huaquan "
"18","Nanquan-type routines "
"19","Nanquan-type routines_Cailifoquan (Choy Lay Fut) "
"20","Nanquan-type routines_Hongjiaquan (Hung Gar)"
"21","Nanquan-type routines_Huquan "
"22","Nanquan-type routines_Other routines "
"23","Nanquan-type routines_Yongchunquan (Wing Chun) "
"24","Other bare-hand routines_"
"25","Second-type bare-hand routine "
"26","Second-type bare-hand routine_Fanziqua "
"27","Single-weapon routines -Other routines "
"28","Single-weapon routines -Taiji weapon "
"29","Single-weapon routines_ Chen Style Taijijian "
"30","Single-weapon routines_ Other Taiji weapon "
"31","Single-weapon routines_ Taiji weapon "
"32","Single-weapon routines_32 Style Taijijian "
"33","Single-weapon routines_42-posture Taijijian "
"34","Single-weapon routines_Chen Style Taijijian "
"35","Single-weapon routines_Dao (Broadsword) "
"36","Single-weapon routines_Guandao (Kwan Dao)"
"37","Single-weapon routines_Guandao /Pudao "
"38","Single-weapon routines_Gun (Cudgel/Staff)"
"39","Single-weapon routines_Gun (Cudgel/Staff) "
"40","Single-weapon routines_Jian (Straight Sword) "
"41","Single-weapon routines_Nandao (Southern Broadsword) "
"42","Single-weapon routines_Nangun (Southern Staff/Cudgel) "
"43","Single-weapon routines_Other Taiji weapon "
"44","Single-weapon routines_Other Taijijian "
"45","Single-weapon routines_Other routines "
"46","Single-weapon routines_Other taiji weapon "
"47","Single-weapon routines_Pudao "
"48","Single-weapon routines_Pudao/Dadao "
"49","Single-weapon routines_Pudao/Guandao (Kwan Dao)"
"50","Single-weapon routines_Qiang (Spear) "
"51","Single-weapon routines_Shanzi (Fan) "
"52","Single-weapon routines_Taiji weapon "
"53","Single-weapon routines_Taijidao "
"54","Single-weapon routines_Taijishan "
"55","Single-weapon routines_Yang Style Taijijian "
"56","Single-weapon routines_shanzi "
"57","Single/Soft-weapon routines_Others "
"58","Taijiquan-type routines "
"59","Taijiquan-type routines_42-posture Taijiquan "
"60","Taijiquan-type routines_Chen Style "
"61","Taijiquan-type routines_Other Taijiquan "
"62","Taijiquan-type routines_Other routines "
"63","Taijiquan-type routines_Yang Style "
"64","Third-type bare-hand routines "
"65","Third-type bare-hand routines _Other routines "
"66","Third-type bare-hand routines_Drunken Fist "
"67","Third-type bare-hand routines_Other routines "
"68","Third-type bare-hand routines_Tanglangquan (Mantis Style) "
"69","Third-type bare-hand routines_Yingzhaoquan (Eagle Style) "
"70","bare-hand routines -Other routines "
"71","bare-hand routines-Other routines "
"72","bare-hand routines_Other routines "
"73","weapon -Other routines "
"74","weapon routines-Other routines "
