"","Form"
"1","Baguazhang"
"2","Bajiquan"
"3","Cailifoquan (Choy Lay Fut)"
"4","Chaquan"
"5","Chen Style"
"6","Dao (Broadsword)"
"7","Fanziquan"
"8","Guandao (Kwan Dao)"
"9","Gun (Cudgel/Sta?)"
"10","Hongjiaquan (Hung Gar)"
"11","Huaquan"
"12","Jian (Straight Sword)"
"13","Jiujiebian (Nine Section Whip Chain)"
"14","Nandao (Southern Broadsword)"
"15","Nangun (Southern Sta?/Cudgel)"
"16","Other Barehand Routines"
"17","Other Double Weapon Routines"
"18","Other Nanquan Routines"
"19","Other Single Weapon Routines"
"20","Other Single weapon Routines"
"21","Other Single/Soft Weapon Routines"
"22","Other Soft Weapon"
"23","Other Soft Weapon Routines"
"24","Other Southern Routines"
"25","Other Taiji Weapon Routines"
"26","Other Taijijian Routines"
"27","Other Taijijian/Taijidao/Taijishan"
"28","Other Taijiquan Routines"
"29","Pudao"
"30","Qiang (Spear)"
"31","Shanzi (Fan)"
"32","Shaolinquan"
"33","Shuangbishou (Double Daggers)"
"34","Shuangdao (Double Broadsword)"
"35","Shuangjian"
"36","Taijidao"
"37","Taijijian"
"38","Taijishan"
"39","Taijishan/Taijidao Routines"
"40","Tanglangquan (Mantis Style)"
"41","Xingyiquan"
"42","Yang Style"
"43","Yingzhaoquan (Eagle Style)"
"44","Yongchunquan (Wing Chun)"
"45","other Taijiquan Routines"
"46","posture Taijijian"
