Score,Form,Group
8.5,Other Barehand Routines,D
8.48,Other Barehand Routines,D
8.47,Other Barehand Routines,D
(DNS),Nandao (Southern Broadsword),D
8.44,Other Barehand Routines,D
8.39,Other Barehand Routines,D
8.32,Other Barehand Routines,D
8.07,Other Barehand Routines,D
7.7,Other Barehand Routines,D
8.9,Other Double Weapon Routines,D
8.89,Other Double Weapon Routines,D
(DNS),Dao (Broadsword),E
8.87,Other Double Weapon Routines,D
8.84,Other Double Weapon Routines,D
8.81,Other Double Weapon Routines,D
8.8,Other Double Weapon Routines,D
8.79,Other Double Weapon Routines,D
8.76,Other Double Weapon Routines,D
8.76,Other Double Weapon Routines,D
8.63,Other Double Weapon Routines,D
8.6,Other Double Weapon Routines,D
8.55,Other Double Weapon Routines,D
8.54,Other Double Weapon Routines,D
8.98,Other Double Weapon Routines,D
8.88,Other Double Weapon Routines,D
8.7,Other Double Weapon Routines,D
8.61,Other Double Weapon Routines,D
8.6,Other Double Weapon Routines,D
8.59,Other Double Weapon Routines,D
8.54,Other Double Weapon Routines,D
8.53,Other Double Weapon Routines,D
8.52,Other Double Weapon Routines,D
8.47,Other Double Weapon Routines,D
(DNS),Other Single Weapon Routines,E
(DNS),Other Single Weapon Routines,E
8.45,Other Double Weapon Routines,D
8.44,Other Double Weapon Routines,D
8.42,Other Double Weapon Routines,D
8.41,Other Double Weapon Routines,D
8.3,Other Double Weapon Routines,D
9.02,Other Nanquan Routines,D
9.01,Other Nanquan Routines,D
8.92,Other Nanquan Routines,D
8.88,Other Nanquan Routines,D
8.84,Other Nanquan Routines,D
8.8,Other Nanquan Routines,D
(DNS),Bajiquan,D
8.79,Other Nanquan Routines,D
8.79,Other Nanquan Routines,D
8.77,Other Nanquan Routines,D
8.77,Other Nanquan Routines,D
8.74,Other Nanquan Routines,D
8.7,Other Nanquan Routines,D
8.7,Other Nanquan Routines,D
8.68,Other Nanquan Routines,D
8.68,Other Nanquan Routines,D
8.67,Other Nanquan Routines,D
8.65,Other Nanquan Routines,D
8.63,Other Nanquan Routines,D
8.62,Other Nanquan Routines,D
8.6,Other Nanquan Routines,D
8.6,Other Nanquan Routines,D
8.57,Other Nanquan Routines,D
8.55,Other Nanquan Routines,D
8.54,Other Nanquan Routines,D
7.77,Other Nanquan Routines,D
8.64,Other Single Weapon Routines,D
8.62,Other Single Weapon Routines,D
8.61,Other Single Weapon Routines,D
8.6,Other Single Weapon Routines,D
8.59,Other Single Weapon Routines,D
8.54,Other Single Weapon Routines,D
8.53,Other Single Weapon Routines,D
8.52,Other Single Weapon Routines,D
8.72,Other Single Weapon Routines,D
8.7,Other Single Weapon Routines,D
8.66,Other Single Weapon Routines,D
8.58,Other Single Weapon Routines,D
8.56,Other Single Weapon Routines,D
8.55,Other Single Weapon Routines,D
8.54,Other Single Weapon Routines,D
8.53,Other Single Weapon Routines,D
8.52,Other Single Weapon Routines,D
8.52,Other Single Weapon Routines,D
8.51,Other Single Weapon Routines,D
8.5,Other Single Weapon Routines,D
8.48,Other Single Weapon Routines,D
8.45,Other Single Weapon Routines,D
8.44,Other Single Weapon Routines,D
8.26,Other Single Weapon Routines,D
8.73,Other Southern Routines,D
8.61,Other Southern Routines,D
8.59,Other Southern Routines,D
8.58,Other Southern Routines,D
8.58,Other Southern Routines,D
8.57,Other Southern Routines,D
(DNS),Shaolinquan,D
(DNS),Shaolinquan,D
(DNS),Shaolinquan,D
8.57,Other Southern Routines,D
8.57,Other Southern Routines,D
8.57,Other Southern Routines,D
8.56,Other Southern Routines,D
8.55,Other Southern Routines,D
8.53,Other Southern Routines,D
8.53,Other Southern Routines,D
8.52,Other Southern Routines,D
8.5,Other Southern Routines,D
8.5,Other Southern Routines,D
8.49,Other Southern Routines,D
8.45,Other Southern Routines,D
(DNS),Yingzhaoquan (Eagle Style),D
8.45,Other Southern Routines,D
8.86,Other Taijijian Routines,D
8.81,Other Taijijian Routines,D
8.77,Other Taijijian Routines,D
8.76,Other Taijijian Routines,D
8.74,Other Taijijian Routines,D
8.74,Other Taijijian Routines,D
8.69,Other Taijijian Routines,D
(DNS),Xingyiquan,D
8.66,Other Taijijian Routines,D
8.63,Other Taijijian Routines,D
8.62,Other Taijijian Routines,D
8.61,Other Taijijian Routines,D
8.6,Other Taijijian Routines,D
8.58,Other Taijijian Routines,D
8.56,Other Taijijian Routines,D
8.56,Other Taijijian Routines,D
8.51,Other Taijijian Routines,D
8.49,Other Taijijian Routines,D
8.37,Other Taijijian Routines,D
8.31,Other Taijijian Routines,D
8.7,Other Taijiquan Routines,D
8.65,Other Taijiquan Routines,D
8.61,Other Taijiquan Routines,D
8.59,Other Taijiquan Routines,D
8.47,Other Taijiquan Routines,D
8.44,Other Taijiquan Routines,D
8.41,Other Taijiquan Routines,D
8.92,Other Taijiquan Routines,D
8.9,Other Taijiquan Routines,D
8.8,Other Taijiquan Routines,D
8.64,Other Taijiquan Routines,D
8.59,Other Taijiquan Routines,D
8.57,Other Taijiquan Routines,D
8.47,Other Taijiquan Routines,D
8.45,Other Taijiquan Routines,D
7.47,Other Taijiquan Routines,D
8.84,posture Taijijian,D
8.7,posture Taijijian,D
8.66,posture Taijijian,D
(DNS),Other Barehand Routines,D
(DNS),Other Barehand Routines,D
(DNS),Other Barehand Routines,D
(DNS),Other Barehand Routines,D
8.62,posture Taijijian,D
8.53,posture Taijijian,D
8.32,posture Taijijian,D
9.01,Pudao,D
8.85,Pudao,D
8.73,Pudao,D
8.7,Pudao,D
8.65,Pudao,D
8.64,Pudao,D
8.58,Pudao,D
8.5,Pudao,D
7.8,Pudao,D
8.92,Qiang (Spear),D
8.61,Qiang (Spear),D
8.6,Qiang (Spear),D
8.59,Qiang (Spear),D
(DNS),Other Double Weapon Routines,A/B/C
8.22,Qiang (Spear),D
8.8,Shanzi (Fan),D
8.61,Shanzi (Fan),D
8.59,Shanzi (Fan),D
8.57,Shanzi (Fan),D
8.56,Shanzi (Fan),D
8.87,Shaolinquan,D
8.83,Shaolinquan,D
8.82,Shaolinquan,D
8.82,Shaolinquan,D
8.78,Shaolinquan,D
8.74,Shaolinquan,D
8.69,Shaolinquan,D
8.61,Shaolinquan,D
8.6,Shaolinquan,D
8.58,Shaolinquan,D
8.57,Shaolinquan,D
8.53,Shaolinquan,D
8.52,Shaolinquan,D
8.49,Shaolinquan,D
8.49,Shaolinquan,D
8.47,Shaolinquan,D
8.45,Shaolinquan,D
8.38,Shaolinquan,D
(DNS),Other Single/Soft Weapon Routines,A/B
8,Shaolinquan,D
8.9,Shaolinquan,D
8.78,Shaolinquan,D
8.76,Shaolinquan,D
8.7,Shaolinquan,D
8.69,Shaolinquan,D
8.66,Shaolinquan,D
(DNS),Dao (Broadsword),C
8.66,Shaolinquan,D
8.65,Shaolinquan,D
8.63,Shaolinquan,D
8.61,Shaolinquan,D
8.59,Shaolinquan,D
8.59,Shaolinquan,D
8.59,Shaolinquan,D
8.59,Shaolinquan,D
8.58,Shaolinquan,D
8.57,Shaolinquan,D
8.56,Shaolinquan,D
8.55,Shaolinquan,D
8.55,Shaolinquan,D
8.54,Shaolinquan,D
8.54,Shaolinquan,D
8.54,Shaolinquan,D
8.53,Shaolinquan,D
8.53,Shaolinquan,D
8.5,Shaolinquan,D
8.5,Shaolinquan,D
8.49,Shaolinquan,D
8.48,Shaolinquan,D
8.48,Shaolinquan,D
8.46,Shaolinquan,D
8.42,Shaolinquan,D
8.71,Shuangbishou (Double Daggers),D
8.7,Shuangbishou (Double Daggers),D
8.63,Shuangbishou (Double Daggers),D
8.52,Shuangbishou (Double Daggers),D
8.51,Shuangbishou (Double Daggers),D
(DNS),Jian (Straight Sword),C
9.1,Shuangdao (Double Broadsword),D
9.07,Shuangdao (Double Broadsword),D
9,Shuangdao (Double Broadsword),D
8.7,Shuangdao (Double Broadsword),D
8.66,Shuangdao (Double Broadsword),D
8.6,Shuangdao (Double Broadsword),D
8.6,Shuangdao (Double Broadsword),D
8.56,Shuangdao (Double Broadsword),D
8.51,Shuangdao (Double Broadsword),D
8.96,Shuangjian,D
8.79,Shuangjian,D
8.73,Shuangjian,D
(DNS),Shanzi (Fan),C
(DNS),Shanzi (Fan),C
8.7,Shuangjian,D
8.65,Shuangjian,D
8.65,Shuangjian,D
8.59,Shuangjian,D
8.54,Shuangjian,D
8.53,Shuangjian,D
8.51,Shuangjian,D
8.4,Shuangjian,D
8.77,Taijijian,D
8.7,Taijijian,D
8.65,Taijijian,D
8.65,Taijijian,D
8.62,Taijijian,D
8.56,Taijijian,D
8.53,Taijijian,D
8.52,Taijijian,D
8.5,Taijijian,D
8.46,Taijijian,D
8.82,Taijishan,D
8.73,Taijishan,D
8.64,Taijishan,D
8.51,Taijishan,D
8.47,Taijishan,D
8.41,Taijishan,D
8.14,Taijishan,D
8.1,Taijishan,D
8.7,Tanglangquan (Mantis Style),D
8.67,Tanglangquan (Mantis Style),D
8.6,Tanglangquan (Mantis Style),D
8.56,Tanglangquan (Mantis Style),D
8.51,Tanglangquan (Mantis Style),D
8.76,Xingyiquan,D
8.72,Xingyiquan,D
8.7,Xingyiquan,D
8.66,Xingyiquan,D
8.65,Xingyiquan,D
8.54,Xingyiquan,D
8.49,Xingyiquan,D
8.46,Xingyiquan,D
8.9,Yang Style,D
8.69,Yang Style,D
8.67,Yang Style,D
8.51,Yang Style,D
8.5,Yang Style,D
8.41,Yang Style,D
8.41,Yang Style,D
8.79,Yang Style,D
(DNS),Jian (Straight Sword),D
8.76,Yang Style,D
8.75,Yang Style,D
8.73,Yang Style,D
8.71,Yang Style,D
8.59,Yang Style,D
8.53,Yang Style,D
8.49,Yang Style,D
8.46,Yang Style,D
8.73,Yingzhaoquan (Eagle Style),D
8.65,Yingzhaoquan (Eagle Style),D
8.61,Yingzhaoquan (Eagle Style),D
8.6,Yingzhaoquan (Eagle Style),D
8.5,Yingzhaoquan (Eagle Style),D
8.45,Yingzhaoquan (Eagle Style),D
8.39,Yingzhaoquan (Eagle Style),D
9.05,Yongchunquan (Wing Chun),D
8.85,Yongchunquan (Wing Chun),D
8.75,Yongchunquan (Wing Chun),D
8.74,Yongchunquan (Wing Chun),D
8.65,Yongchunquan (Wing Chun),D
8.65,Yongchunquan (Wing Chun),D
8.63,Yongchunquan (Wing Chun),D
8.57,Yongchunquan (Wing Chun),D
8.56,Yongchunquan (Wing Chun),D
8.87,Other Soft Weapon Routines,D/E
8.72,Other Soft Weapon Routines,D/E
8.44,Other Soft Weapon Routines,D/E
8.7,Taijishan/Taijidao Routines,D/E
8.69,Taijishan/Taijidao Routines,D/E
(DNS),Other Taijijian/Taijidao/Taijishan,B/C
(DNS),Other Taijijian/Taijidao/Taijishan,B/C
8.57,Taijishan/Taijidao Routines,D/E
8.55,Taijishan/Taijidao Routines,D/E
8.51,Taijishan/Taijidao Routines,D/E
8.5,Taijishan/Taijidao Routines,D/E
8.67,Other Soft Weapon,D/E/F
8.64,Other Soft Weapon,D/E/F
8.62,Other Soft Weapon,D/E/F
8.58,Other Soft Weapon,D/E/F
8.57,Other Soft Weapon,D/E/F
8.55,Other Soft Weapon,D/E/F
8.53,Other Soft Weapon,D/E/F
8.51,Other Soft Weapon,D/E/F
8.5,Other Soft Weapon,D/E/F
8.4,Other Soft Weapon,D/E/F
8.37,Other Soft Weapon,D/E/F
8.8,Chen Style,E
8.75,Chen Style,E
8.72,Chen Style,E
8.72,Chen Style,E
8.7,Chen Style,E
8.68,Chen Style,E
8.54,Chen Style,E
8.53,Chen Style,E
8.52,Chen Style,E
8.52,Chen Style,E
(DNS),Taijishan/Taijidao Routines,D/E
8.51,Chen Style,E
8.5,Chen Style,E
8.47,Chen Style,E
8.3,Chen Style,E
8.24,Chen Style,E
8.68,Chen Style,E
8.65,Chen Style,E
8.64,Chen Style,E
8.61,Chen Style,E
8.57,Chen Style,E
8.53,Chen Style,E
8.51,Chen Style,E
8.66,Dao (Broadsword),E
8.59,Dao (Broadsword),E
8.56,Dao (Broadsword),E
8.54,Dao (Broadsword),E
8.51,Dao (Broadsword),E
8.5,Dao (Broadsword),E
(DNS),Other Taijijian Routines,E
8.49,Dao (Broadsword),E
8.71,Gun,E
8.54,Gun,E
8.51,Gun,E
8.48,Gun,E
8.48,Gun,E
8.46,Gun,E
8.41,Gun,E
8.81,Hongjiaquan (Hung Gar),E
8.76,Hongjiaquan (Hung Gar),E
8.62,Hongjiaquan (Hung Gar),E
8.61,Hongjiaquan (Hung Gar),E
8.56,Hongjiaquan (Hung Gar),E
8.55,Hongjiaquan (Hung Gar),E
8.58,Jian (Straight Sword),E
8.49,Jian (Straight Sword),E
8.42,Jian (Straight Sword),E
8.4,Jian (Straight Sword),E
8.31,Jian (Straight Sword),E
8.91,Other Barehand Routines,E
8.87,Other Barehand Routines,E
8.74,Other Barehand Routines,E
8.73,Other Barehand Routines,E
8.7,Other Barehand Routines,E
8.69,Other Barehand Routines,E
8.68,Other Barehand Routines,E
8.68,Other Barehand Routines,E
(DNS),Other Single Weapon Routines,B
8.68,Other Barehand Routines,E
8.68,Other Barehand Routines,E
8.67,Other Barehand Routines,E
8.66,Other Barehand Routines,E
8.65,Other Barehand Routines,E
8.57,Other Barehand Routines,E
8.57,Other Barehand Routines,E
8.5,Other Barehand Routines,E
(DNS),Shuangdao (Double Broadsword),C
8.7,Other Nanquan Routines,E
8.69,Other Nanquan Routines,E
8.67,Other Nanquan Routines,E
8.66,Other Nanquan Routines,E
8.65,Other Nanquan Routines,E
8.63,Other Nanquan Routines,E
8.61,Other Nanquan Routines,E
8.58,Other Nanquan Routines,E
8.72,Other Nanquan Routines,E
8.73,Other Single Weapon Routines,E
8.72,Other Single Weapon Routines,E
8.71,Other Single Weapon Routines,E
8.69,Other Single Weapon Routines,E
8.64,Other Single Weapon Routines,E
8.62,Other Single Weapon Routines,E
8.62,Other Single Weapon Routines,E
8.6,Other Single Weapon Routines,E
8.56,Other Single Weapon Routines,E
8.56,Other Single Weapon Routines,E
8.55,Other Single Weapon Routines,E
(DNS),Other Soft Weapon Routines,C
(DNS),Other Soft Weapon Routines,C
(DNS),Other Soft Weapon Routines,C
8.54,Other Single Weapon Routines,E
8.54,Other Single Weapon Routines,E
8.52,Other Single Weapon Routines,E
8.52,Other Single Weapon Routines,E
8.51,Other Single Weapon Routines,E
8.49,Other Single Weapon Routines,E
8.46,Other Single Weapon Routines,E
8.43,Other Single Weapon Routines,E
8.37,Other Single Weapon Routines,E
8.35,Other Single Weapon Routines,E
8.76,Other Taijijian Routines,E
8.7,Other Taijijian Routines,E
8.67,Other Taijijian Routines,E
8.64,Other Taijijian Routines,E
8.63,Other Taijijian Routines,E
8.62,Other Taijijian Routines,E
8.59,Other Taijijian Routines,E
8.58,Other Taijijian Routines,E
8.57,Other Taijijian Routines,E
8.56,Other Taijijian Routines,E
8.51,Other Taijijian Routines,E
8.51,Other Taijijian Routines,E
8.5,Other Taijijian Routines,E
8.48,Other Taijijian Routines,E
8.48,Other Taijijian Routines,E
8.47,Other Taijijian Routines,E
8.45,Other Taijijian Routines,E
0,Other Double Weapon Routines,D
0,Other Double Weapon Routines,D
8.27,Other Taijijian Routines,E
8.7,Other Taijijian Routines,E
8.61,Other Taijijian Routines,E
8.55,Other Taijijian Routines,E
8.54,Other Taijijian Routines,E
8.53,Other Taijijian Routines,E
8.52,Other Taijijian Routines,E
8.5,Other Taijijian Routines,E
8.49,Other Taijijian Routines,E
8.44,Other Taijijian Routines,E
8.43,Other Taijijian Routines,E
8.71,Other Taijiquan Routines,E
8.66,Other Taijiquan Routines,E
8.59,Other Taijiquan Routines,E
(DNS),Taijijian,C
(DNS),Taijijian,C
8.57,Other Taijiquan Routines,E
8.55,Other Taijiquan Routines,E
8.52,Other Taijiquan Routines,E
8.5,Other Taijiquan Routines,E
8.5,Other Taijiquan Routines,E
8.49,Other Taijiquan Routines,E
8.45,Other Taijiquan Routines,E
8.42,Other Taijiquan Routines,E
8.67,Other Taijiquan Routines,E
8.65,Other Taijiquan Routines,E
8.58,Other Taijiquan Routines,E
8.51,Other Taijiquan Routines,E
8.5,Other Taijiquan Routines,E
8.5,Other Taijiquan Routines,E
8.48,Other Taijiquan Routines,E
8.47,Other Taijiquan Routines,E
8.43,Other Taijiquan Routines,E
8.24,Other Taijiquan Routines,E
8.89,Shaolinquan,E
8.84,Shaolinquan,E
8.82,Shaolinquan,E
8.71,Shaolinquan,E
8.71,Shaolinquan,E
8.66,Shaolinquan,E
8.64,Shaolinquan,E
8.61,Shaolinquan,E
8.61,Shaolinquan,E
8.6,Shaolinquan,E
8.55,Shaolinquan,E
8.55,Shaolinquan,E
8.54,Shaolinquan,E
8.79,Taijidao,E
8.66,Taijidao,E
8.51,Taijidao,E
(DNS),Other Taijijian Routines,E
8.5,Taijidao,E
8.29,Taijidao,E
8.25,Taijidao,E
8.75,Xingyiquan,E
8.73,Xingyiquan,E
8.72,Xingyiquan,E
8.66,Xingyiquan,E
8.58,Xingyiquan,E
8.52,Xingyiquan,E
8.85,Other Barehand Routines,E/F
8.79,Other Barehand Routines,E/F
8.76,Other Barehand Routines,E/F
8.7,Other Barehand Routines,E/F
8.66,Other Barehand Routines,E/F
(DNS),Other Taijijian Routines,F
8.62,Other Barehand Routines,E/F
8.61,Other Barehand Routines,E/F
8.6,Other Barehand Routines,E/F
8.6,Other Barehand Routines,E/F
8.59,Other Barehand Routines,E/F
8.57,Other Barehand Routines,E/F
8.5,Other Barehand Routines,E/F
8.48,Other Barehand Routines,E/F
8.47,Other Barehand Routines,E/F
8.45,Other Barehand Routines,E/F
8.41,Other Barehand Routines,E/F
8.4,Other Barehand Routines,E/F
8.35,Other Barehand Routines,E/F
8.3,Other Barehand Routines,E/F
8.27,Other Barehand Routines,E/F
8.63,Other Double Weapon Routines,E/F
8.62,Other Double Weapon Routines,E/F
8.59,Other Double Weapon Routines,E/F
8.54,Other Double Weapon Routines,E/F
8.53,Other Double Weapon Routines,E/F
8.52,Other Double Weapon Routines,E/F
8.45,Other Double Weapon Routines,E/F
8.55,Other Double Weapon Routines,E/F
8.54,Other Double Weapon Routines,E/F
8.52,Other Double Weapon Routines,E/F
8.5,Other Double Weapon Routines,E/F
(DNS),Shuangjian,D
(DNS),Shuangjian,D
8.48,Other Double Weapon Routines,E/F
8.45,Other Double Weapon Routines,E/F
8.79,Other Single Weapon Routines,E/F
8.59,Other Single Weapon Routines,E/F
8.57,Other Single Weapon Routines,E/F
8.56,Other Single Weapon Routines,E/F
8.55,Other Single Weapon Routines,E/F
8.5,Other Single Weapon Routines,E/F
8.49,Other Single Weapon Routines,E/F
8.47,Other Single Weapon Routines,E/F
8.45,Other Single Weapon Routines,E/F
8.44,Other Single Weapon Routines,E/F
8.42,Other Single Weapon Routines,E/F
8.39,Other Single Weapon Routines,E/F
8.36,Other Single Weapon Routines,E/F
8.84,Other Barehand Routines,F
8.7,Other Barehand Routines,F
8.7,Other Barehand Routines,F
8.66,Other Barehand Routines,F
8.62,Other Barehand Routines,F
8.61,Other Barehand Routines,F
(DNS),Other Single Weapon Routines,D
(DNS),Other Single Weapon Routines,D
8.6,Other Barehand Routines,F
8.74,Other Single Weapon Routines,F
8.72,Other Single Weapon Routines,F
8.64,Other Single Weapon Routines,F
8.57,Other Single Weapon Routines,F
8.57,Other Single Weapon Routines,F
8.5,Other Single Weapon Routines,F
8.48,Other Single Weapon Routines,F
8.6,Other Taijijian Routines,F
8.58,Other Taijijian Routines,F
8.56,Other Taijijian Routines,F
8.54,Other Taijijian Routines,F
8.51,Other Taijijian Routines,F
(DNS),Other Single Weapon Routines,E/F
8.45,Other Taijijian Routines,F
8.43,Other Taijijian Routines,F
8.63,Other Taijiquan Routines,F
(DNS),Other Soft Weapon Routines,D/E
(DNS),Other Soft Weapon Routines,D/E
8.58,Other Taijiquan Routines,F
8.51,Other Taijiquan Routines,F
8.51,Other Taijiquan Routines,F
8.5,Other Taijiquan Routines,F
8.5,Other Taijiquan Routines,F
8.46,Other Taijiquan Routines,F
8.44,Other Taijiquan Routines,F
8.8,Other Taijiquan Routines,F
8.75,Other Taijiquan Routines,F
(DNS),Jiujiebian (Nine Section Whip Chain),D
(DNS),Jiujiebian (Nine Section Whip Chain),D
8.66,Other Taijiquan Routines,F
8.62,Other Taijiquan Routines,F
8.6,Other Taijiquan Routines,F
8.52,Other Taijiquan Routines,F
8.49,Other Taijiquan Routines,F
8.48,Other Taijiquan Routines,F
8.45,Other Taijiquan Routines,F
8.43,Other Taijiquan Routines,F
8.35,Other Taijiquan Routines,F
(DNS),Pudao,D
8.61,Taijijian,F
8.55,Taijijian,F
8.51,Taijijian,F
8.46,Taijijian,F
8.38,Taijijian,F
