week,player,qbr,qb_plays,player_id,player_name,position,position_group,season,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks,sack_yards,fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,pct_total,result
1,Justin Fields,76.7,38,00-0036945,J.Fields,QB,QB,2025,REG,2025_01_PIT_NYJ,NYJ,PIT,16,22,218,1,0,1,-6,0,0,169,76,9,10.05393822364579,10.396403358096169,0,1.2899408284023668,12,48,2,0,0,5,3.605799711584015,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,29.520000000000003,29.520000000000003,48.484848484848484,-2
1,Caleb Williams,71.2,49,00-0039918,C.Williams,QB,QB,2025,REG,2025_01_MIN_CHI,CHI,MIN,21,35,210,1,0,2,-12,0,0,263,77,10,-6.988247807139811,-6.66688496575636,0,0.7984790874524715,6,58,1,0,0,4,6.634274187104893,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,24.200000000000003,24.200000000000003,47.05882352941176,-3
1,Matthew Stafford,71.1,37,00-0026498,M.Stafford,QB,QB,2025,REG,2025_01_HOU_LA,LA,HOU,21,29,245,1,0,3,-21,0,0,226,68,13,6.090108856966253,5.381516899381365,0,1.084070796460177,4,-2,0,1,0,1,-6.176066547748633,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,13.600000000000001,13.600000000000001,60.86956521739131,5
1,Geno Smith,71.1,40,00-0030565,G.Smith,QB,QB,2025,REG,2025_01_LV_NE,LV,NE,24,34,362,1,1,4,-29,0,0,350,140,17,14.945327814546477,9.620190027988318,0,1.0342857142857143,2,10,0,0,0,1,0.11908065629540943,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,17.48,17.48,60.60606060606061,7
1,Trevor Lawrence,69.2,34,00-0036971,T.Lawrence,QB,QB,2025,REG,2025_01_CAR_JAX,JAX,CAR,19,31,178,1,1,0,0,0,0,223,80,9,1.3131129483738126,-4.054062428145573,0,0.7982062780269058,4,12,0,0,0,2,0.5615603704936802,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,10.32,10.32,72.22222222222221,16
1,Joe Burrow,62.8,31,00-0036442,J.Burrow,QB,QB,2025,REG,2025_01_CIN_CLE,CIN,CLE,14,23,113,1,0,3,-18,0,0,169,49,7,-0.3315927372285721,-1.9334077835083008,0,0.6686390532544378,2,3,0,0,0,0,-1.6446855349640828,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,8.82,8.82,51.515151515151516,1
1,Dak Prescott,61.4,38,00-0033077,D.Prescott,QB,QB,2025,REG,2025_01_DAL_PHI,DAL,PHI,21,34,188,0,0,0,0,0,0,329,75,9,1.6543752712656965,0.17288182720993506,0,0.5714285714285714,1,3,0,0,0,0,-0.270603415730875,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,7.82,7.82,45.45454545454545,-4
1,Aaron Rodgers,55.8,36,00-0023459,A.Rodgers,QB,QB,2025,REG,2025_01_PIT_NYJ,PIT,NYJ,22,30,244,4,0,4,-26,0,0,139,173,14,10.20475524963341,6.350380901632638,0,1.7553956834532374,1,-1,0,0,0,0,-1.8739020673092455,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,25.659999999999997,25.659999999999997,51.515151515151516,2
1,Sam Darnold,52.6,27,00-0034869,S.Darnold,QB,QB,2025,REG,2025_01_SF_SEA,SEA,SF,16,23,150,0,0,1,-4,1,1,197,47,7,-6.831034911036733,7.339647954160517,0,0.7614213197969543,2,14,0,0,0,1,1.0163279618823369,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,5.4,5.4,43.333333333333336,-4
1,Jayden Daniels,50.5,47,00-0039910,J.Daniels,QB,QB,2025,REG,2025_01_NYG_WAS,WAS,NYG,19,30,233,1,0,3,-21,0,0,279,97,11,1.364757596165873,-1.2890843481853091,0,0.8351254480286738,11,68,0,0,0,3,3.198023238044698,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,20.12,20.12,77.77777777777779,15
