Page,Form,Rank,Team,Athlete,Score,Remark
Wushu Taolu,Women's bare-hand routines_Other routines Group E,1,CHN,WANG Xiufen,9.11,Gold
,Women's bare-hand routines_Other routines Group E,2,CHN,HUANG Yi,9.1,Silver
,Women's bare-hand routines_Other routines Group E,3,BRA,Paula AMIDANI SOARES DE AZEVEDO,8.77,Bronze
,Women's bare-hand routines_Other routines Group E,4,POL,Beata ENGEL,8.68,Second Prize
,Women's bare-hand routines_Other routines Group E,5,AUS,Angela Jia Li MAK,8.59,Second Prize
,Women's bare-hand routines_Other routines Group E,6,KGZ,Liubov SERIAKOVA,8.58,Third Prize
,Women's bare-hand routines_Other routines Group E,7,POR,Irene CANDEIAS,8.56,Third Prize
,Women's bare-hand routines_Other routines Group E,8,HUN,Linda GYURCSó-DEáK,8.52,Third Prize
,Women's bare-hand routines_Other routines Group E,9,AUS,Yu Zhang DONG FANG,8.47,Third Prize
,Women's bare-hand routines_Other routines Group E,10,FRA,Thanh INGLE LAI THI,8.46,Third Prize
,Women's bare-hand routines_Other routines Group E,11,USA,Shaoping WANG,8.44,
,Women's bare-hand routines_Other routines Group E,12,USA,Lin GAO,8.39,
,Women's bare-hand routines_Other routines Group E,13,MEX,Margot MARTINEZ SOLIS,8.36,
,Women's bare-hand routines_Other routines Group E,14,USA,Jessica AMISIAL,8.3,
,Women's bare-hand routines_Other routines Group E,15,LAT,Laura BURAKA,8.23,
Wushu Taolu,Women's bare-hand routines_Other routines Group F,1,JPN,SUETSUGU Masami,8.62,First Prize
,Women's bare-hand routines_Other routines Group F,2,USA,Xiaoan WANG,8.32,Second Prize
,Women's bare-hand routines_Other routines Group F,3,FRA,Consiglia CIABURRI,8.3,Third Prize
,Women's bare-hand routines_Other routines Group F,4,AUS,Cheng Choo Khoo,8.29,Third Prize
Wushu Taolu,Women's Nanquan-type routines Group E,1,GBR,Michele Maki NAKASONE,8.73,First Prize
,Women's Nanquan-type routines Group E,2,BRA,Nina ROMANO CARDOSO SILVESTRE,8.58,Second Prize
,Women's Nanquan-type routines Group E,3,GRE,Anna KOKKINAKI,8.54,Second Prize
,Women's Nanquan-type routines Group E,4,NED,Marielle Brigitte SANCHEZ VAN GINKEL,8.53,Third Prize
,Women's Nanquan-type routines Group E,5,GRE,Eleftheria PANAGOPOULOU,8.47,Third Prize
,Women's Nanquan-type routines Group E,6,ARG,Ana Maria BARROS,8.46,Third Prize
,Women's Nanquan-type routines Group E,7,MAS,LEE Lai Yin,8.37,
,Women's Nanquan-type routines Group E,8,MAS,NG Yuen Yee,8.35,
Wushu Taolu,Men's Taijiquan-type routines_Chen Style Group E,1,SGP,LIM Che How,9.06,Gold
,Men's Taijiquan-type routines_Chen Style Group E,2,USA,Cheng ZHANG,8.95,Silver
,Men's Taijiquan-type routines_Chen Style Group E,3,MAS,WONG Chien Kian,8.84,Bronze
,Men's Taijiquan-type routines_Chen Style Group E,4,SVK,Michal SLAMKA,8.74,Second Prize
,Men's Taijiquan-type routines_Chen Style Group E,5,BUL,Ivo GEORGIEV,8.7,Second Prize
,Men's Taijiquan-type routines_Chen Style Group E,6,GEO,Lasha SUMBULASHVILI,8.69,Third Prize
,Men's Taijiquan-type routines_Chen Style Group E,7,USA,Aleksandr SMIRNOV,8.64,Third Prize
,Men's Taijiquan-type routines_Chen Style Group E,8,CZE,Milan HOREJS,8.61,Third Prize
,Men's Taijiquan-type routines_Chen Style Group E,9,ARG,Diego Javier GONZALEZ,8.55,Third Prize
,Men's Taijiquan-type routines_Chen Style Group E,10,POL,Robert Pawel MAsLANKA,8.53,Third Prize
,Men's Taijiquan-type routines_Chen Style Group E,11,ITA,Antonio PIGNATARO,8.51,
,Men's Taijiquan-type routines_Chen Style Group E,12,POL,Marcin Jacek ZARóD,8.49,
,Men's Taijiquan-type routines_Chen Style Group E,13,GBR,Stanislav BALTSEZAK,8.48,
,Men's Taijiquan-type routines_Chen Style Group E,14,USA,Scott SPENCER,8.46,
,Men's Taijiquan-type routines_Chen Style Group E,15,AUS,Dhimesh Ramesh Patel,8.21,
,Men's Taijiquan-type routines_Chen Style Group E,Default,TJK,Bakhriddin SIRODZHOV,,
Wushu Taolu,Men's Taijiquan-type routines_Yang Style Group E,1,HKG,CHOI Yik Ching,8.74,Gold
,Men's Taijiquan-type routines_Yang Style Group E,2,AUS,Wei Wen RUAN,8.69,Silver
,Men's Taijiquan-type routines_Yang Style Group E,3,CZE,Tomas RIHACEK,8.64,Bronze
,Men's Taijiquan-type routines_Yang Style Group E,4,SUI,Alexandre ORICCHIO,8.59,Second Prize
,Men's Taijiquan-type routines_Yang Style Group E,5,FRA,Norman PRADES,8.5,Second Prize
,Men's Taijiquan-type routines_Yang Style Group E,6,USA,Alan HIRAHARA,8.49,Third Prize
,Men's Taijiquan-type routines_Yang Style Group E,7,AUS,Walter The Khuong LY,8.46,Third Prize
,Men's Taijiquan-type routines_Yang Style Group E,8,ESP,Francisco Javier ARNANZ SOTELO,8.41,Third Prize
,Men's Taijiquan-type routines_Yang Style Group E,9,BUL,Dimitar MIHAYLOV,8.33,Third Prize
,Men's Taijiquan-type routines_Yang Style Group E,10,USA,Wayne BREWER,8.26,
,Men's Taijiquan-type routines_Yang Style Group E,11,HUN,Ferenc DARAB,8.24,
,Men's Taijiquan-type routines_Yang Style Group E,12,MEX,Cesar HERRERA JIMENEZ,7.99,
,Men's Taijiquan-type routines_Yang Style Group E,13,ARG,Humberto De Jesus VEGA ROMO,7.4,
Wushu Taolu,Men's Taijiquan-type routines_Other routines Group E,1,GBR,Barry James PHELAN,8.77,First Prize
,Men's Taijiquan-type routines_Other routines Group E,2,JPN,IWAMOTO Kunishige,8.61,Second Prize
,Men's Taijiquan-type routines_Other routines Group E,3,SGP,ANG Royce Boon Seng,8.57,Second Prize
,Men's Taijiquan-type routines_Other routines Group E,4,POR,Bruno RIBEIRO,8.42,Third Prize
,Men's Taijiquan-type routines_Other routines Group E,5,SGP,WONG Kwai Wah,8.37,Third Prize
,Men's Taijiquan-type routines_Other routines Group E,6,USA,Orvie THUMEL,8.34,Third Prize
,Men's Taijiquan-type routines_Other routines Group E,7,INA,Iwan Setiawan NG,8.33,
,Men's Taijiquan-type routines_Other routines Group E,8,NZL,Owen LOEFFELLECHNER,8.3,
,Men's Taijiquan-type routines_Other routines Group E,9,MEX,Alberto MORALES ROJAS,8.29,
,Men's Taijiquan-type routines_Other routines Group E,Default,SRI,Ananda Kumara HERATH MUDIYANSELAGE,,
,Men's Taijiquan-type routines_Other routines Group E,Default,SRI,Lakshman Karunaratna SUDU DEWAGE,,
Wushu Taolu,Men's Taijiquan-type routines_Yang Style Group F,1,MAC,LAM Chi Meng,8.61,Gold
,Men's Taijiquan-type routines_Yang Style Group F,2,HKG,CHEUNG Kwong Tat,8.58,Silver
,Men's Taijiquan-type routines_Yang Style Group F,3,HKG,MAK Tai Man Peter,8.54,Bronze
,Men's Taijiquan-type routines_Yang Style Group F,4,AUS,Gordon Khing Hooi MAH,8.46,Second Prize
,Men's Taijiquan-type routines_Yang Style Group F,5,JPN,NISHIKAWA Naoki,8.45,Second Prize
,Men's Taijiquan-type routines_Yang Style Group F,6,AUS,Han Yeh CHAN,8.44,Second Prize
,Men's Taijiquan-type routines_Yang Style Group F,7,HKG,CHENG Chung Kit,8.43,Third Prize
,Men's Taijiquan-type routines_Yang Style Group F,8,AUS,Wing Kit Albert LO,8.39,Third Prize
,Men's Taijiquan-type routines_Yang Style Group F,9,JPN,OKAMOTO Kenzo,8.37,Third Prize
,Men's Taijiquan-type routines_Yang Style Group F,10,ESP,Eloy Alberto NInO ORTEGA,8.36,Third Prize
,Men's Taijiquan-type routines_Yang Style Group F,11,AUS,Steven LEE,8.3,
,Men's Taijiquan-type routines_Yang Style Group F,12,AUS,Andy Tat Woo NG,8.27,
,Men's Taijiquan-type routines_Yang Style Group F,13,AUS,Grahame George PRIEST,8.26,
Wushu Taolu,Men's Taijiquan-type routines_Other routines Group F,1,CAN,Raymond Kin Keung MA,8.79,Gold
,Men's Taijiquan-type routines_Other routines Group F,2,SGP,TAY Kiang Meng,8.76,Silver
,Men's Taijiquan-type routines_Other routines Group F,3,SGP,TAY Ah Huat,8.67,Bronze
,Men's Taijiquan-type routines_Other routines Group F,4,MAC,CHAN Io Kuai,8.65,Second Prize
,Men's Taijiquan-type routines_Other routines Group F,5,NZL,Daniel B ZUO,8.6,Second Prize
,Men's Taijiquan-type routines_Other routines Group F,6,JPN,OMIKAWA Masato,8.53,Second Prize
,Men's Taijiquan-type routines_Other routines Group F,7,JPN,ARAI Kazuhiko,8.47,Third Prize
,Men's Taijiquan-type routines_Other routines Group F,8,AUS,Bin Xiong QIAN,8.45,Third Prize
,Men's Taijiquan-type routines_Other routines Group F,9,USA,Kenneth DELLAPENTA,8.35,Third Prize
,Men's Taijiquan-type routines_Other routines Group F,10,CAN,Edmond Man Kong CHEUNG,8.34,Third Prize
,Men's Taijiquan-type routines_Other routines Group F,11,JPN,YAMAGUCHI Tadashi,8.27,
,Men's Taijiquan-type routines_Other routines Group F,12,USA,Peter Wing CHOI,8.25,
,Men's Taijiquan-type routines_Other routines Group F,13,JPN,TAKEDA Anri,8.2,
Wushu Taolu,Women's Taijiquan-type routines_42-posture Taijiquan Group E,1,USA,Jie GU,8.77,First Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group E,2,JPN,KAMBARA Yumi,8.67,Second Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group E,3,AUT,Maryse Suzanne VALIN-LINERT,8.61,Second Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group E,4,KAZ,Gaini KYPSHAKBAY,8.52,Third Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group E,5,FRA,Yue DU QIAN,8.49,Third Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group E,6,FRA,Sophie FOUCHER,8.47,Third Prize
,Women's Taijiquan-type routines_42-posture Taijiquan Group E,7,USA,Annie Laurie CATES,8.46,
,Women's Taijiquan-type routines_42-posture Taijiquan Group E,8,CAN,Li LI,8.39,
Wushu Taolu,Women's Taijiquan-type routines_Chen Style Group E,1,CHN,ZHENG Caixia,9.12,Gold
,Women's Taijiquan-type routines_Chen Style Group E,2,GEO,Maka GABESKIRIA,8.81,Silver
,Women's Taijiquan-type routines_Chen Style Group E,3,SGP,NG Chiew Yen,8.72,Bronze
,Women's Taijiquan-type routines_Chen Style Group E,4,MEX,Miriam Ocotlan MACEDA ROCHA,8.66,Second Prize
,Women's Taijiquan-type routines_Chen Style Group E,5,MEX,Elizabeth GARCIA MARTINEZ,8.61,Second Prize
,Women's Taijiquan-type routines_Chen Style Group E,6,USA,Peikai WANG,8.54,Third Prize
,Women's Taijiquan-type routines_Chen Style Group E,7,SGP,CHEN Shanli,8.53,Third Prize
,Women's Taijiquan-type routines_Chen Style Group E,8,USA,Qiong LI,8.5,Third Prize
,Women's Taijiquan-type routines_Chen Style Group E,9,USA,Michelle BENSI,8.48,Third Prize
,Women's Taijiquan-type routines_Chen Style Group E,10,BUL,Antoniya STOYANOVA,8.38,Third Prize
,Women's Taijiquan-type routines_Chen Style Group E,11,POR,Mariana LOPES,8.28,
,Women's Taijiquan-type routines_Chen Style Group E,12,BUL,Nataliya TRIFONOVA,8.23,
,Women's Taijiquan-type routines_Chen Style Group E,13,KAZ,Tatyana BORTA,8.21,
,Women's Taijiquan-type routines_Chen Style Group E,14,USA,Sally KIDWELL,8.2,
Wushu Taolu,Women's Taijiquan-type routines_Yang Style Group E,1,HKG,WONG Wing Yan Josephine,8.89,Gold
,Women's Taijiquan-type routines_Yang Style Group E,2,HKG,FUJITA Makiko,8.76,Silver
,Women's Taijiquan-type routines_Yang Style Group E,3,HKG,NG Lai Ling Maggie,8.7,Bronze
,Women's Taijiquan-type routines_Yang Style Group E,4,HKG,WONG Yin Ling Elaine,8.61,Second Prize
,Women's Taijiquan-type routines_Yang Style Group E,5,CAN,ZHANG Chunying,8.59,Second Prize
,Women's Taijiquan-type routines_Yang Style Group E,6,HKG,YU Li,8.57,Third Prize
,Women's Taijiquan-type routines_Yang Style Group E,7,KGZ,Natalia NESHCHERET,8.53,Third Prize
,Women's Taijiquan-type routines_Yang Style Group E,8,KAZ,Tatyana ZHIGALKINA,8.52,Third Prize
,Women's Taijiquan-type routines_Yang Style Group E,9,CAN,Siaw Kin Agnes LEE,8.51,Third Prize
,Women's Taijiquan-type routines_Yang Style Group E,10,HKG,WONG Tak Wing Teresa,8.5,Third Prize
,Women's Taijiquan-type routines_Yang Style Group E,11,HKG,CHAN Hung Regina,8.49,
,Women's Taijiquan-type routines_Yang Style Group E,12,AUS,Ling Meng KOO,8.36,
,Women's Taijiquan-type routines_Yang Style Group E,13,HKG,WAN Sin Pui,8.35,
,Women's Taijiquan-type routines_Yang Style Group E,14,MEX,Kitzia Mercedes ARIAS CAMPOS,8.34,
,Women's Taijiquan-type routines_Yang Style Group E,15,HKG,YU Suk Fei,8.32,
Wushu Taolu,Women's Taijiquan-type routines_Other routines Group E,1,JPN,ONO Kimiyo,8.7,First Prize
,Women's Taijiquan-type routines_Other routines Group E,2,USA,Fong ZHANG,8.69,Second Prize
,Women's Taijiquan-type routines_Other routines Group E,3,USA,Xia CHEN,8.5,Second Prize
,Women's Taijiquan-type routines_Other routines Group E,4,MAC,MA Wai Soi,8.42,Third Prize
,Women's Taijiquan-type routines_Other routines Group E,5,MAC,LEI Sut Keng,8.41,Third Prize
,Women's Taijiquan-type routines_Other routines Group E,6,JPN,YANAGIDA Minako,8.37,Third Prize
,Women's Taijiquan-type routines_Other routines Group E,7,JPN,UEDA Mikiko,8.36,
,Women's Taijiquan-type routines_Other routines Group E,8,JPN,IWAMOTO Tamami,8.35,
,Women's Taijiquan-type routines_Other routines Group E,9,USA,Jennifer WEITZ,8.25,
,Women's Taijiquan-type routines_Other routines Group E,10,GRE,Sofia ZISI,8.13,
Wushu Taolu,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group A,1,MAS,TEOH Yik Yang,7.65,First Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group A,2,MAS,TAN Thye Yih,7.57,First Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group A,3,MAS,TAN Khai Yeah,7.53,Second Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group A,4,MAS,LIM Bryan Gao Xuan,7.48,Second Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group A,5,MAS,TEOH Brandon Han Yuan,7.33,Third Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group A,6,MAS,LAU Ryan You Jie,7.31,Third Prize
Wushu Taolu,Men's Nanquan-type routines_Other routines Group A,1,USA,Frank LI,7.74,First Prize
,Men's Nanquan-type routines_Other routines Group A,2,AIN,Artem SHEDKO,7.71,First Prize
,Men's Nanquan-type routines_Other routines Group A,3,SGP,TAN Timothy Sung Kai,7.68,Second Prize
,Men's Nanquan-type routines_Other routines Group A,4,MAC,CHAN Fengze,7.67,Second Prize
,Men's Nanquan-type routines_Other routines Group A,5,SGP,CHEW Alexander,7.66,Third Prize
,Men's Nanquan-type routines_Other routines Group A,6,HKG,LAI Ming Yeung Ethan,7.53,Third Prize
,Men's Nanquan-type routines_Other routines Group A,7,HKG,GONG Xinyu,7.46,Third Prize
,Men's Nanquan-type routines_Other routines Group A,8,AUS,Yiming Ace LI,7.41,
,Men's Nanquan-type routines_Other routines Group A,9,AUS,Ray Yi HO,7.38,
,Men's Nanquan-type routines_Other routines Group A,10,TJK,Muhammadsaid ABDURASHIDOV,7.31,
Wushu Taolu,Men's Nanquan-type routines Group B,1,SGP,WENG Linxu,8.66,Gold
,Men's Nanquan-type routines Group B,2,KAZ,Eldar BALABEKOV,8.61,Silver
,Men's Nanquan-type routines Group B,3,HKG,HO Yau Tong Princeton,8.56,Bronze
,Men's Nanquan-type routines Group B,4,POL,Adam WARGACKI,8.55,Second Prize
,Men's Nanquan-type routines Group B,5,USA,Albert LIU,8.53,Second Prize
,Men's Nanquan-type routines Group B,6,BRA,Leonardo SOARES FONDELLO,8.51,Third Prize
,Men's Nanquan-type routines Group B,7,MAC,LI Pengcheng,8.5,Third Prize
,Men's Nanquan-type routines Group B,8,AUS,Austin Dave SANJO,8.49,Third Prize
,Men's Nanquan-type routines Group B,9,MAS,WONG Yew Shen,8.47,Third Prize
,Men's Nanquan-type routines Group B,10,USA,Theodore WONG,8.4,Third Prize
,Men's Nanquan-type routines Group B,11,AUS,Robin Yubin ZHENG,8.36,
,Men's Nanquan-type routines Group B,12,EGY,Mhamed MOUSTAFA,8.12,
,Men's Nanquan-type routines Group B,13,EGY,Karim GEBRIL,8.06,
,Men's Nanquan-type routines Group B,14,AUS,Ray Yuen HO,8.05,
,Men's Nanquan-type routines Group B,Default,BRU,Quintus Ming Jun YII,,
Wushu Taolu,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,1,HKG,CHEUNG Ching Hei,8.65,First Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,2,ROU,Andrei Eduard MIU,8.61,Second Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,3,TJK,Fazliddin KHOJAEV,8.51,Second Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,4,EGY,Youssef ISMAIL,8.26,Third Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,5,EGY,Mohamed IBRAHIM,8.25,Third Prize
,Men's Nanquan-type routines_Yongchunquan (Wing Chun) Group,6,EGY,Fars IBRAHIM,8.22,
Wushu Taolu,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group C,1,MAC,WONG Hok Weng,8.67,First Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group C,2,BRA,Enzo FANTINATI CALAMARI,8.61,Second Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group C,3,BRA,Matheus VALENTE SANCHEZ,8.6,Second Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group C,4,BRA,Felipe CASTILHIONI DE ANDRADE,8.54,Third Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group C,5,POL,Jakub Marcel OLESZCZUK,8.53,Third Prize
,Men's Nanquan-type routines_Cailifoquan (Choy Lay Fut) Group C,6,USA,Chase WONG,8.47,
Wushu Taolu,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group C,1,AIN,Mikhail MINAKOV,8.66,First Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group C,2,FRA,Lucas HENG,8.61,Second Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group C,3,GRE,Vlasios KINTAKAS,8.58,Second Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group C,4,CZE,Lukas HUSAK,8.57,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group C,5,ITA,Mario Faris BAZZARA,8.56,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group C,6,POL,Mieszko Leszek PRZYGODA,8.5,Third Prize
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group C,7,POR,Miguel SOUSA,8.38,
,Men's Nanquan-type routines_Hongjiaquan (Hung Gar) Group C,8,AUS,Enqi GE,8.34,
Wushu Taolu,Men's Nanquan-type routines_Other routines Group C,1,TUR,Furkan Osman SAYINER,8.69,Gold
,Men's Nanquan-type routines_Other routines Group C,2,ROU,Mihai Daniel DINCU,8.68,Silver
,Men's Nanquan-type routines_Other routines Group C,3,MAC,IP Man Chit,8.65,Bronze
,Men's Nanquan-type routines_Other routines Group C,4,LAT,Nikita KOKINS,8.64,Second Prize
,Men's Nanquan-type routines_Other routines Group C,5,SGP,CHUA Kai Yang Aydan,8.62,Second Prize
,Men's Nanquan-type routines_Other routines Group C,6,GRE,Dimitrios KOTTAS,8.56,Third Prize
,Men's Nanquan-type routines_Other routines Group C,7,GRE,Panagiotis TOUROUTSIKAS,8.53,Third Prize
,Men's Nanquan-type routines_Other routines Group C,8,USA,Sebastian RAMOS CONTRERAS,8.51,Third Prize
,Men's Nanquan-type routines_Other routines Group C,9,BRA,Kaue Kenji GONCALVES MIYASAKA,8.5,Third Prize
,Men's Nanquan-type routines_Other routines Group C,10,GRE,Theodoros Marios PAPATHANASIOU,8.48,Third Prize
,Men's Nanquan-type routines_Other routines Group C,11,HKG,LU Elliot,8.45,
,Men's Nanquan-type routines_Other routines Group C,12,USA,Adam POPP,8.44,
,Men's Nanquan-type routines_Other routines Group C,13,USA,Brandon HORN,8.39,
,Men's Nanquan-type routines_Other routines Group C,14,USA,Atom ELY,8.38,
,Men's Nanquan-type routines_Other routines Group C,15,USA,Ethan CHE,8.28,
Wushu Taolu,Women's Fourth-type bare-hand routine_Chaquan Group,1,AIN,Anna PETUKHOVA,8.63,First Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,2,HKG,CHAN Lois Jo,8.61,Second Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,3,HKG,NAGY Seleney Simone,8.51,Second Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,4,AUS,Larissa Tiffany Yongyan CHOI,8.44,Third Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,5,GEO,Barbare GATCHAVA,8.4,Third Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,6,USA,Sofia ELCHIEVA,8.37,Third Prize
,Women's Fourth-type bare-hand routine_Chaquan Group,7,USA,Ishita KOTRA,8.36,
,Women's Fourth-type bare-hand routine_Chaquan Group,8,USA,Charlee POT,8.26,
,Women's Fourth-type bare-hand routine_Chaquan Group,9,USA,Solange COLASSE,8.21,
Wushu Taolu,Women's Fifth-type bare-hand routines_Shaolinquan Group B,1,ROU,Andrada Maria RADU MIC,8.47,First Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group B,2,AIN,Katsiaryna SHANAIKOVA,8.46,Second Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group B,3,GRE,Vasiliki LABOUSI,8.43,Second Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group B,4,USA,Emma NG,8.42,Third Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group B,5,KAZ,Stanislava BELONOGOVA,8.41,Third Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group B,6,POR,Maria NOGUEIRA,8.4,Third Prize
,Women's Fifth-type bare-hand routines_Shaolinquan Group B,7,MAS,HUE Zi Wei,8.39,
,Women's Fifth-type bare-hand routines_Shaolinquan Group B,8,EGY,Mariam SAKR,8.35,
,Women's Fifth-type bare-hand routines_Shaolinquan Group B,9,USA,Claire TJHIN,8.12,
Wushu Taolu,Women's Third-type bare-hand routines Group B,1,FRA,Annie SCHUR CHEN,8.62,First Prize
,Women's Third-type bare-hand routines Group B,2,CAN,Yanjie LIU,8.58,Second Prize
,Women's Third-type bare-hand routines Group B,3,LAT,Uljana Anastasija LUKJANENKO,8.46,Second Prize
,Women's Third-type bare-hand routines Group B,4,USA,Madeline FARR,8.41,Third Prize
,Women's Third-type bare-hand routines Group B,5,USA,Jordan NGO,8.38,Third Prize
,Women's Third-type bare-hand routines Group B,6,CAN,Ruolan Alysa ZHANG,8.33,
Wushu Taolu,Women's Nanquan-type routines Group B,1,AIN,Aleksandra ROSLIAKOVA,8.62,First Prize
,Women's Nanquan-type routines Group B,2,USA,Amy GUO,8.58,First Prize
,Women's Nanquan-type routines Group B,3,AIN,Sofia PODGORKINA,8.57,Second Prize
,Women's Nanquan-type routines Group B,4,BRU,Sarah Xue Mae TAN,8.54,Second Prize
,Women's Nanquan-type routines Group B,5,HKG,TANG Ching Wan,8.53,Second Prize
,Women's Nanquan-type routines Group B,6,USA,Winifred Zhen Ping LI,8.45,Third Prize
,Women's Nanquan-type routines Group B,7,MAC,LEONG I Tong,8.44,Third Prize
,Women's Nanquan-type routines Group B,8,ARG,Julieta Agustina ALABARCE MIRANDA,8.39,Third Prize
,Women's Nanquan-type routines Group B,9,BRU,Mae Qi LIM,8.38,Third Prize
,Women's Nanquan-type routines Group B,10,GRE,Despoina MICHOU,8.37,
,Women's Nanquan-type routines Group B,11,ITA,Laila PIOVESAN,8.32,
,Women's Nanquan-type routines Group B,Default,HKG,CHOW Tsz Tung Tania,,
Wushu Taolu,Women's bare-hand routines_Other routines Group B,1,USA,Alicia LI,8.51,First Prize
,Women's bare-hand routines_Other routines Group B,2,NZL,Alyson Ziming ZHU,8.5,Second Prize
,Women's bare-hand routines_Other routines Group B,3,NZL,Yihang LI,8.47,Second Prize
,Women's bare-hand routines_Other routines Group B,4,USA,Adriana ZHU,8.45,Third Prize
,Women's bare-hand routines_Other routines Group B,5,MAS,CHOK Xin Hui,8.37,Third Prize
,Women's bare-hand routines_Other routines Group B,6,AUS,Xingyu LI,8.33,Third Prize
,Women's bare-hand routines_Other routines Group B,7,MAC,LEONG Wai Lam,8.28,
,Women's bare-hand routines_Other routines Group B,8,HUN,árven CSORDáS,8.27,
,Women's bare-hand routines_Other routines Group B,9,USA,Natalie SUDIBYO,8.05,
,Women's bare-hand routines_Other routines Group B,10,CAN,YI Litianzhen,7.93,
Wushu Taolu,Women's First-type bare-hand routines Group C,1,TUR,Ayse Sude AKYUZ,8.66,First Prize
,Women's First-type bare-hand routines Group C,2,EGY,Habiba SANAD,8.54,Second Prize
,Women's First-type bare-hand routines Group C,3,CAN,Yanxin LIU,8.5,Second Prize
,Women's First-type bare-hand routines Group C,4,USA,Alaina CHAO,8.49,Third Prize
,Women's First-type bare-hand routines Group C,5,MEX,Zoe Ximena RAMIREZ CORDOVA,8.46,Third Prize
,Women's First-type bare-hand routines Group C,6,MEX,Ximena CARRASCO REZA,8.43,Third Prize
,Women's First-type bare-hand routines Group C,7,USA,Celene JONDROW-QIAN,8.06,
Wushu Taolu,Women's Third-type bare-hand routines_Yingzhaoquan (Eagle Style) Group C,1,HKG,WONG Sofia,8.54,First Prize
,Women's Third-type bare-hand routines_Yingzhaoquan (Eagle Style) Group C,2,AIN,Mariia KALUGINA,8.52,Second Prize
,Women's Third-type bare-hand routines_Yingzhaoquan (Eagle Style) Group C,3,CAN,Amber Summer Jingjing NG,8.49,Third Prize
,Women's Third-type bare-hand routines_Yingzhaoquan (Eagle Style) Group C,4,AIN,Sofia KOSHKINA,8.47,Third Prize
,Women's Third-type bare-hand routines_Yingzhaoquan (Eagle Style) Group C,5,USA,Natalie LEW,8.31,
,Women's Third-type bare-hand routines_Yingzhaoquan (Eagle Style) Group C,Default,GRE,Spyridoula DOUDOUNI,,
,Women's Third-type bare-hand routines_Yingzhaoquan (Eagle Style) Group C,Default,GRE,Elpida TRIGONI,,
,Women's Third-type bare-hand routines_Yingzhaoquan (Eagle Style) Group C,Default,GRE,Maria DOUDONI,,
Wushu Taolu,Women's Third-type bare-hand routines _Other routines Group C,1,USA,Elaine SUDIBYO,8.45,First Prize
,Women's Third-type bare-hand routines _Other routines Group C,2,USA,Jessica JACZYNSKI,8.36,Second Prize
,Women's Third-type bare-hand routines _Other routines Group C,3,USA,Alayna CHIU,8.31,Second Prize
,Women's Third-type bare-hand routines _Other routines Group C,4,USA,Ava HARPER,8.3,Third Prize
,Women's Third-type bare-hand routines _Other routines Group C,5,USA,Arianni SILVA,8.2,Third Prize
,Women's Third-type bare-hand routines _Other routines Group C,6,GRE,Dimitra TAMPAKI,8.16,
,Women's Third-type bare-hand routines _Other routines Group C,Default,AIN,Darina MAZURAK,,
Wushu Taolu,Men's Taijiquan-type routines_Chen Style Group D,1,GEO,Mate KORTKHONJIA,8.88,Gold
,Men's Taijiquan-type routines_Chen Style Group D,2,HKG,LEE Tin Lok,8.87,Silver
