Page,Form,Rank,Team,Athlete,Score,Remark
Wushu Taolu,Men's Third-type bare-hand routines_Other routines Group D,1,CHN,SUI Tianqi,9.26,First Prize
,Men's Third-type bare-hand routines_Other routines Group D,2,AIN,Nikita KOZLOV,9.19,Second Prize
,Men's Third-type bare-hand routines_Other routines Group D,3,AIN,Maksim CHESKIDOV,9.15,Second Prize
,Men's Third-type bare-hand routines_Other routines Group D,4,AUS,Blake Charles Richard BROWN,9.07,Third Prize
,Men's Third-type bare-hand routines_Other routines Group D,5,AIN,Amgalan ZHIGZHITOV,9.06,Third Prize
,Men's Third-type bare-hand routines_Other routines Group D,6,POR,Rodrigo SANTOS,8.54,
Wushu Taolu,Men's Fourth-type bare-hand routine_Chaquan Group D,1,AIN,Pavel MURATOV,9.13,First Prize
,Men's Fourth-type bare-hand routine_Chaquan Group D,2,AIN,Ilias KHUSNUTDINOV,9.07,Second Prize
,Men's Fourth-type bare-hand routine_Chaquan Group D,3,AIN,Kirill-zui BONDARENKO,9.06,Second Prize
,Men's Fourth-type bare-hand routine_Chaquan Group D,4,UKR,Maksym ZHARUN,9.05,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group D,5,AIN,Iaroslav SHELUDIAKOV,8.93,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group D,6,TUR,Ahmet Taha KESKIN,8.92,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group D,7,IND,Bhanu SINGH,8.88,
,Men's Fourth-type bare-hand routine_Chaquan Group D,8,GEO,Giorgi GERMANOZASHVILI,8.69,
,Men's Fourth-type bare-hand routine_Chaquan Group D,9,POR,Salvador GUERREIRO,8.65,
,Men's Fourth-type bare-hand routine_Chaquan Group D,Default,IND,Shreya KUMARI,,
,Men's Fourth-type bare-hand routine_Chaquan Group D,Default,AFG,Omari GOLAB SHAH,,
Wushu Taolu,Men's Fifth-type bare-hand routines_Shaolinquan Group D,1,ITA,Michele GAMBINO,9.14,Gold
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,2,TJK,Mirzodalerkhon KHURSHEDZODA,9.04,Silver
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,3,GRE,Dimitrios Ioannis MATHIOPOULOS,9.03,Bronze
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,4,ITA,Giorgio MARCHESI,9.01,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,5,USA,Jeffrey CHON,9,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,6,CAN,Jiachen PENG,8.96,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,7,GBR,Junayed Ilhan GUVEN,8.88,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,8,FRA,Nicolas GU,8.87,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,9,HUN,Bence Róbert KIS,8.83,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,10,HUN,Domonkos GRóF,8.81,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,11,SUI,Leandro GARCIA,8.73,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,12,POR,Bruno SOUSA,8.71,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,13,ITA,Umberto NACHIRO,8.7,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,14,FRA,Alexandre CORDARO,8.69,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,15,MEX,Diego Armando CORREA IXTEPAN,8.65,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,16,AUS,Timothy James HONDROUDAKIS,8.64,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,17,BRA,Bruno DE AMORIM ARANTES,8.63,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,18,HUN,Dominik Norbert MEIXNER,8.62,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,19,SUI,Ivan SIMIC,8.6,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,20,SGP,SNG Hao Yang Jonas,8.59,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,21,SUI,Igor SIMIC,8.58,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,22,USA,Yaseen GHANEM,8.52,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,23,BEL,Loic HENRIOULLE,8.51,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,24,FRA,Martin MASSON,8.48,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,25,TJK,Khushang RAJABOV,8.43,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,26,USA,Tyrese CARROLL,8.42,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,27,USA,Parke BOWMAN,8.36,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,28,EGY,Fares ELSHOURBAGI,8.32,
,Men's Fifth-type bare-hand routines_Shaolinquan Group D,29,EGY,Mohamed SHATA,8.12,
Wushu Taolu,Men's bare-hand routines_Other routines Group D,1,CHN,WANG Chongkai,9.23,Gold
,Men's bare-hand routines_Other routines Group D,2,CHN,ZHENG Guoqing,9.16,Silver
,Men's bare-hand routines_Other routines Group D,3,HKG,WONG Cho Wai Gabriel,9.1,Bronze
,Men's bare-hand routines_Other routines Group D,4,UKR,Artem HASHCHUK,9.06,Second Prize
,Men's bare-hand routines_Other routines Group D,5,BRA,Lucas MACHADO FRADE GALATI,9.03,Second Prize
,Men's bare-hand routines_Other routines Group D,6,JPN,KOJIMA Ryuhei,9.02,Second Prize
,Men's bare-hand routines_Other routines Group D,7,NED,Jesse KONICKX,9.01,Second Prize
,Men's bare-hand routines_Other routines Group D,8,TUR,Necmettin Erbakan AKYUZ,9.01,Second Prize
,Men's bare-hand routines_Other routines Group D,9,BRA,Bruno PAIXaO FERRARI,9,Third Prize
,Men's bare-hand routines_Other routines Group D,10,SVK,Patrik HATALA,8.95,Third Prize
,Men's bare-hand routines_Other routines Group D,11,NED,Tygo MAAS,8.93,Third Prize
,Men's bare-hand routines_Other routines Group D,12,AUS,Alexander Ha TERREY,8.88,Third Prize
,Men's bare-hand routines_Other routines Group D,13,MAS,TUNG Ho Yen,8.83,Third Prize
,Men's bare-hand routines_Other routines Group D,14,TUR,Osman YALKIN,8.82,Third Prize
,Men's bare-hand routines_Other routines Group D,15,GEO,Saba EDILASHVILI,8.8,Third Prize
,Men's bare-hand routines_Other routines Group D,16,USA,Aaron KEYS,8.77,
,Men's bare-hand routines_Other routines Group D,17,NED,Hill Fung IP,8.76,
,Men's bare-hand routines_Other routines Group D,18,EGY,Moustafa EMISH,8.74,
,Men's bare-hand routines_Other routines Group D,19,GRE,Ioannis TASOPOULOS,8.72,
,Men's bare-hand routines_Other routines Group D,20,USA,Andrew TAN,8.7,
,Men's bare-hand routines_Other routines Group D,21,IND,Arkeshwar MEDATWAL,8.69,
,Men's bare-hand routines_Other routines Group D,22,HUN,Bálint PINTéR,8.67,
,Men's bare-hand routines_Other routines Group D,Default,NZL,Ethan DE GUZMAN,,
,Men's bare-hand routines_Other routines Group D,Default,SWE,Ted Fredrik ANDERSSON,,
Wushu Taolu,Men's Nanquan-type routines_Huquan Group,1,CHN,CAO Huize,9.28,First Prize
,Men's Nanquan-type routines_Huquan Group,2,HKG,CHOW Chun Yu,9.12,Second Prize
,Men's Nanquan-type routines_Huquan Group,3,AIN,Gleb BURDOV,9.03,Second Prize
,Men's Nanquan-type routines_Huquan Group,4,UKR,Mykyta KOVALOV,8.86,Third Prize
,Men's Nanquan-type routines_Huquan Group,5,TUR,Kaan KUCUKAKYUZ,8.83,Third Prize
,Men's Nanquan-type routines_Huquan Group,6,USA,Lyman CHEN,8.79,Third Prize
,Men's Nanquan-type routines_Huquan Group,7,ESP,Francisco COLLADO SAIZ,8.78,
,Men's Nanquan-type routines_Huquan Group,Default,ESP,Dan RIO RODRIGUEZ,,
Wushu Taolu,Men's bare-hand routines-Other routines Group F,1,CHN,XU Yuhuan,9.08,Gold
,Men's bare-hand routines-Other routines Group F,2,POR,Alcino CUNHA,8.74,Silver
,Men's bare-hand routines-Other routines Group F,3,RSA,Allan Jonathan HACKNER,8.72,Bronze
,Men's bare-hand routines-Other routines Group F,4,USA,Ebert KAN,8.71,Second Prize
,Men's bare-hand routines-Other routines Group F,5,JPN,OTAKA Kazuhiko,8.68,Second Prize
,Men's bare-hand routines-Other routines Group F,6,SGP,KWAN Siew Hung,8.67,Second Prize
,Men's bare-hand routines-Other routines Group F,7,HUN,Mihály József KOSZOGOVITS,8.55,Third Prize
,Men's bare-hand routines-Other routines Group F,8,BRA,Roberto DOS SANTOS DE OLIVEIRA,8.53,Third Prize
,Men's bare-hand routines-Other routines Group F,9,JPN,FUKUNISHI Tadashi,8.49,Third Prize
,Men's bare-hand routines-Other routines Group F,10,USA,Jeffrey REXFORD,8.44,Third Prize
,Men's bare-hand routines-Other routines Group F,11,TUN,Hamli OTHMAN,8.41,
,Men's bare-hand routines-Other routines Group F,12,KGZ,Evgenii LOPATKIN,8.36,
,Men's bare-hand routines-Other routines Group F,13,USA,John JOSEPHSON,8.16,
,Men's bare-hand routines-Other routines Group F,Default,USA,Kenneth DELLAPENTA,,
,Men's bare-hand routines-Other routines Group F,Default,ARG,Carlos DíAZ,,
,Men's bare-hand routines-Other routines Group F,Default,ARG,Claudio Walter SCHUMPERLI,,
Wushu Taolu,Men's First-type bare-hand routines Group E,1,BRA,Sergio Minoru TANOSHI,8.86,First Prize
,Men's First-type bare-hand routines Group E,2,JPN,TAKEUCHI Takashi,8.75,Second Prize
,Men's First-type bare-hand routines Group E,3,AUS,Mitchell BROWN,8.73,Third Prize
,Men's First-type bare-hand routines Group E,4,HUN,Géza Zoltán SIMON,8.63,Third Prize
,Men's First-type bare-hand routines Group E,Default,SRI,Mahen Jithendra AMARASINGHE,,
,Men's First-type bare-hand routines Group E,Default,SEN,Mamadou FALL,,
Wushu Taolu,Men's Third-type bare-hand routines_Tanglangquan (Mantis Style) Group E,1,GBR,Jonathan Wai Kit LAM,8.98,First Prize
,Men's Third-type bare-hand routines_Tanglangquan (Mantis Style) Group E,2,FRA,Yun - Yaw CHU,8.78,Second Prize
,Men's Third-type bare-hand routines_Tanglangquan (Mantis Style) Group E,3,POR,Daniel DAVID,8.76,Second Prize
,Men's Third-type bare-hand routines_Tanglangquan (Mantis Style) Group E,4,AUS,Sherman Shu Hang MAK,8.73,Third Prize
,Men's Third-type bare-hand routines_Tanglangquan (Mantis Style) Group E,5,POR,António INáCIO,8.66,Third Prize
,Men's Third-type bare-hand routines_Tanglangquan (Mantis Style) Group E,6,POR,Alexander PONZO,8.6,
