Score,Group,Form
8.48,C,Imitation Eagle Style
8.45,C,Imitation Eagle Style
8.32,C,Imitation Eagle Style
8.29,C,Imitation Eagle Style
8.56,C,Imitation Eagle Style
8.59,C,Imitation Other Styles
8.51,C,Imitation Other Styles
8.5,C,Imitation Other Styles
8.48,C,Imitation Other Styles
8.46,C,Imitation Other Styles
8.42,C,Imitation Other Styles
8.4,C,Imitation Other Styles
8.38,C,Imitation Other Styles
8.37,C,Imitation Other Styles
8.3,C,Imitation Other Styles
NA,C,Imitation Other Styles
8.54,C,Imitation Tang Lang Styles
8.47,C,Imitation Tang Lang Styles
8.46,C,Imitation Tang Lang Styles
8.45,C,Imitation Tang Lang Styles
8.37,C,Imitation Tang Lang Styles
NA,C,Imitation Tang Lang Styles
8.92,C,Jian (Straight Sword)
8.82,C,Jian (Straight Sword)
8.78,C,Jian (Straight Sword)
8.77,C,Jian (Straight Sword)
8.68,C,Jian (Straight Sword)
8.66,C,Jian (Straight Sword)
8.64,C,Jian (Straight Sword)
8.63,C,Jian (Straight Sword)
8.61,C,Jian (Straight Sword)
8.57,C,Jian (Straight Sword)
8.51,C,Jian (Straight Sword)
8.5,C,Jian (Straight Sword)
7.89,C,Jian (Straight Sword)
8.55,C,Nan Dao (Southern Broadsword)
8.48,C,Nan Dao (Southern Broadsword)
8.44,C,Nan Dao (Southern Broadsword)
8.4,C,Nan Dao (Southern Broadsword)
8.36,C,Nan Dao (Southern Broadsword)
8.35,C,Nan Dao (Southern Broadsword)
NA,C,Nan Dao (Southern Broadsword)
8.72,C,Nan Gun (Southern Staff/Cudgel)
8.57,C,Nan Gun (Southern Staff/Cudgel)
8.51,C,Nan Gun (Southern Staff/Cudgel)
8.5,C,Nan Gun (Southern Staff/Cudgel)
8.48,C,Nan Gun (Southern Staff/Cudgel)
8.47,C,Nan Gun (Southern Staff/Cudgel)
8.46,C,Nan Gun (Southern Staff/Cudgel)
8.42,C,Nan Gun (Southern Staff/Cudgel)
8.38,C,Nan Gun (Southern Staff/Cudgel)
8.9,C,Other Taijiquan
8.89,C,Other Taijiquan
8.84,C,Other Taijiquan
8.82,C,Other Taijiquan
8.78,C,Other Taijiquan
8.75,C,Other Taijiquan
8.72,C,Other Taijiquan
8.7,C,Other Taijiquan
8.66,C,Other Taijiquan
8.63,C,Other Taijiquan
8.5,C,Other Taijiquan
8.39,C,Other Taijiquan
8.79,C,Other Traditional Double Weapon
8.76,C,Other Traditional Double Weapon
8.75,C,Other Traditional Double Weapon
8.73,C,Other Traditional Double Weapon
8.72,C,Other Traditional Double Weapon
8.69,C,Other Traditional Double Weapon
8.68,C,Other Traditional Double Weapon
8.67,C,Other Traditional Double Weapon
8.62,C,Other Traditional Double Weapon
8.54,C,Other Traditional Double Weapon
8.52,C,Other Traditional Double Weapon
8.47,C,Other Traditional Double Weapon
8.47,C,Other Traditional Double Weapon
8.4,C,Other Traditional Double Weapon
NA,C,Other Traditional Double Weapon
8.75,C,Other Traditional Single Weapon
8.74,C,Other Traditional Single Weapon
8.7,C,Other Traditional Single Weapon
8.64,C,Other Traditional Single Weapon
8.54,C,Other Traditional Single Weapon
8.53,C,Other Traditional Single Weapon
8.52,C,Other Traditional Single Weapon
8.45,C,Other Traditional Single Weapon
8.4,C,Other Traditional Single Weapon
8.37,C,Other Traditional Single Weapon
8.35,C,Other Traditional Single Weapon
8.27,C,Other Traditional Single Weapon
8.55,C,Other Types of Traditional Styles
8.54,C,Other Types of Traditional Styles
8.5,C,Other Types of Traditional Styles
8.47,C,Other Types of Traditional Styles
8.47,C,Other Types of Traditional Styles
8.45,C,Other Types of Traditional Styles
8.44,C,Other Types of Traditional Styles
8.41,C,Other Types of Traditional Styles
8.41,C,Other Types of Traditional Styles
8.4,C,Other Types of Traditional Styles
8.4,C,Other Types of Traditional Styles
8.36,C,Other Types of Traditional Styles
8.34,C,Other Types of Traditional Styles
8.32,C,Other Types of Traditional Styles
8.31,C,Other Types of Traditional Styles
8.31,C,Other Types of Traditional Styles
8.31,C,Other Types of Traditional Styles
8.27,C,Other Types of Traditional Styles
8.2,C,Other Types of Traditional Styles
8.14,C,Other Types of Traditional Styles
7.98,C,Other Types of Traditional Styles
NA,C,Other Types of Traditional Styles
9,C,P Dao(Kwan Dao)
8.99,C,P Dao(Kwan Dao)
8.89,C,P Dao(Kwan Dao)
8.88,C,P Dao(Kwan Dao)
8.86,C,P Dao(Kwan Dao)
8.85,C,P Dao(Kwan Dao)
8.84,C,P Dao(Kwan Dao)
8.82,C,P Dao(Kwan Dao)
8.81,C,P Dao(Kwan Dao)
8.75,C,P Dao(Kwan Dao)
8.73,C,P Dao(Kwan Dao)
8.72,C,P Dao(Kwan Dao)
8.71,C,P Dao(Kwan Dao)
8.7,C,P Dao(Kwan Dao)
8.69,C,P Dao(Kwan Dao)
8.69,C,P Dao(Kwan Dao)
8.65,C,P Dao(Kwan Dao)
8.61,C,P Dao(Kwan Dao)
8.6,C,P Dao(Kwan Dao)
8.54,C,P Dao(Kwan Dao)
NA,C,P Dao(Kwan Dao)
NA,C,P Dao(Kwan Dao)
8.78,C,Qiang (Spear)
8.74,C,Qiang (Spear)
8.7,C,Qiang (Spear)
8.68,C,Qiang (Spear)
8.63,C,Qiang (Spear)
8.6,C,Qiang (Spear)
8.54,C,Qiang (Spear)
8.65,C,Shaolin Gun
8.61,C,Shaolin Gun
8.59,C,Shaolin Gun
8.58,C,Shaolin Gun
8.56,C,Shaolin Gun
8.55,C,Shaolin Gun
8.49,C,Shaolin Gun
8.42,C,Shaolin Gun
8.42,C,Shaolin Gun
8.64,C,Shaolin Quan
8.63,C,Shaolin Quan
8.63,C,Shaolin Quan
8.62,C,Shaolin Quan
8.61,C,Shaolin Quan
8.61,C,Shaolin Quan
8.6,C,Shaolin Quan
8.54,C,Shaolin Quan
8.54,C,Shaolin Quan
8.52,C,Shaolin Quan
8.52,C,Shaolin Quan
8.52,C,Shaolin Quan
8.51,C,Shaolin Quan
