Forms,A,B,C,D,E,F
Other bare hand routines,7.377419355,8.295,8.392173913,8.815263158,8.655185185,8.533529412
Double weapon routines,7.616666667,8.453,8.46,8.648571429,8.542857143,8.426666667
Fifth type bare hand routines Shaolinquan,7.234285714,8.322105263,8.371071429,8.631320755,8.586153846,8.486923077
First type bare hand routines Bajiquan,7.35,8.361428571,8.459,8.702307692,8.491666667,8.4575
Fourth type bare hand routine Chaquan,7.348,8.388666667,8.459,8.781666667,8.491666667,8.4575
Nanquan type routines Cailifoquan (Choy Lay Fut),7.478333333,8.403571429,8.57,8.698888889,8.666666667,8.506
Nanquan type routines Other routines,7.555,8.403571429,8.52,8.601388889,8.585555556,8.509230769
Single weapon routines Dao (Broadsword),7.395294118,8.415909091,8.4224,8.684594595,8.45,8.426666667
Single weapon routines Pudao,7.45,8.345,8.550833333,8.701818182,8.498333333,8.506
Single weapon routines Gun (Cudgel/Staff),7.2835,8.396818182,8.406,8.563076923,8.491666667,8.4575
Single weapon routines Jian (Straight Sword),7.59,8.403571429,8.421428571,8.673428571,8.540588235,8.426666667
Single weapon routines Other routines,7.615,8.387142857,8.491666667,8.659166667,8.513,8.509230769
Single weapon routines Taiji weapon,7.43,8.442222222,8.435,8.626666667,8.45,8.416071429
Single/Soft weapon routines Others,7.55,8.442222222,8.455,8.684285714,8.540588235,8.426666667
Taijiquan type routines Other routines,7.411666667,8.359333333,8.488333333,8.690714286,8.430526316,8.486923077
Third type bare hand routines,7.386428571,8.398461538,8.473571429,8.634166667,8.50375,8.4575
Other weapon routines,7.47875,8.4725,8.455,8.684285714,8.542857143,8.426666667
Nanquan type routines,7.43,8.4424,8.46,8.627272727,8.50375,8.426666667
Second type bare hand routine,7.47875,8.435,8.455,8.684285714,8.45,8.416071429
Single weapon routines 42 posture Taijijian,7.411666667,8.439090909,8.516666667,8.621428571,8.638571429,8.451
Single weapon routines Qiang (Spear),7.395294118,8.503333333,8.455,8.627272727,8.632857143,8.451
Taijiquan type routines 42 posture Taijiquan,7.45,8.386363636,8.488333333,8.588,8.5475,8.533333333
Double weapon routines Other routines,7.43,8.398461538,8.404375,8.517058824,8.491666667,8.4575
Double weapon routines Shuangdao (Double Broadsword),7.43,8.398461538,8.452,8.635384615,8.50375,8.426666667
Double weapon routines Shuangjian (Double Straight Sword),7.478333333,8.398461538,8.491666667,8.645,8.6025,8.451
First type bare hand routines,7.55,8.4424,8.534285714,8.674285714,8.7425,8.426666667
Flexible/Soft weapon routines,7.478333333,8.398461538,8.476666667,8.684285714,8.576896552,8.4575
Flexible/Soft weapon routines Jiujiebian,7.478333333,8.442222222,8.455,8.684285714,8.45,8.416071429
Nanquan type routines Hongjiaquan (Hung Gar),7.478333333,8.403571429,8.525,8.674285714,8.725714286,8.506
Nanquan type routines Yongchunquan (Wing Chun),7.43,8.398461538,8.416666667,8.61,8.491666667,8.426666667
Single weapon routines Nandao (Southern Broadsword),7.478333333,8.388666667,8.536666667,8.922,8.666666667,8.506
Single weapon routines Other Taijijian,7.478333333,8.403571429,8.392857143,8.725,8.442857143,8.426666667
Single weapon routines Taijishan,7.555,8.387142857,8.491666667,8.674285714,8.565,8.506
Taijiquan type routines,7.478333333,8.442222222,8.47,8.684285714,8.542857143,8.426666667
Taijiquan type routines Other Taijiquan,7.478333333,8.442222222,8.4275,8.626666667,8.5475,8.426666667
Third type bare hand routines Other routines,7.43,8.398461538,8.296666667,9.045,8.50375,8.4575
Third type bare hand routines Yingzhaoquan (Eagle Style),7.478333333,8.398461538,8.466,8.75375,8.553684211,8.4575
Double weapon routines Shuangbishou (Double Daggers),7.478333333,8.398461538,8.466,8.626666667,8.585555556,8.426666667
First type bare hand routines Baguazhang,7.478333333,8.398461538,8.466,8.611538462,8.585555556,8.426666667
First type bare hand routines Other routines,7.478333333,8.398461538,8.476666667,8.841666667,8.666666667,8.451
Flexible/Soft weapon routines Jiujiebian (Nine Section Whip Chain),7.47875,8.398461538,8.466,8.722222222,8.553684211,8.4575
Flexible/Soft weapon routines Other routines,7.555,8.403571429,8.52,8.624444444,8.6025,8.506
Fourth type bare hand routine Huaquan,7.478333333,8.398461538,8.476666667,8.832,8.666666667,8.451
Nanquan type routines Huquan,7.478333333,8.398461538,8.476666667,8.955714286,8.666666667,8.451
Second type bare hand routine Fanziqua,7.478333333,8.398461538,8.476666667,8.87,8.666666667,8.451
Single weapon routines Chen Style Taijijian,7.555,8.387142857,8.52,8.7225,8.553684211,8.509230769
Single weapon routines Nangun (Southern Staff/Cudgel),7.478333333,8.398461538,8.476666667,8.780625,8.666666667,8.451
Single weapon routines Other Taiji weapon,7.478333333,8.386363636,8.516666667,8.491538462,8.510909091,8.55
Single weapon routines Shanzi (Fan),7.555,8.403571429,8.421428571,8.538181818,8.546666667,8.506
Taijiquan type routines Chen Style,7.555,8.403571429,8.52,8.648571429,8.576896552,8.506
Taijiquan type routines Yang Style,7.478333333,8.386363636,8.488333333,8.633333333,8.456428571,8.410606061
Third type bare hand routines Drunken Fist,7.478333333,8.398461538,8.476666667,8.9,8.666666667,8.451
Third type bare hand routines Tanglangquan (Mantis Style),7.55,8.387142857,8.525,8.825,8.751666667,8.506
Single weapon routines Taijidao,7.55,8.4424,8.46,8.673428571,8.444,8.416071429
Single weapon routines Yang Style Taijijian,7.55,8.4424,8.491666667,8.659166667,8.483,8.416071429
24 type Taijiquan,7.47875,8.442222222,8.455,8.684285714,8.483,8.4575
Single weapon routines 32 Style Taijijian,7.47875,8.442222222,8.455,8.626666667,8.5475,8.3625
