Sex,Form,Group,Team,Athlete,Score
M,Fifth type bare hand routines Shaolinquan,D,ITA,Giorgio MARCHESI,9.01
M,Fifth type bare hand routines Shaolinquan,D,USA,Jeffrey CHON,9
M,Fifth type bare hand routines Shaolinquan,D,CAN,Jiachen PENG,8.96
M,Fifth type bare hand routines Shaolinquan,D,GBR,Junayed Ilhan GUVEN,8.88
M,Fifth type bare hand routines Shaolinquan,D,FRA,Nicolas GU,8.87
M,Fifth type bare hand routines Shaolinquan,D,HUN,Bence Róbert KIS,8.83
M,Fifth type bare hand routines Shaolinquan,D,HUN,Domonkos GRóF,8.81
M,Fifth type bare hand routines Shaolinquan,D,SUI,Leandro GARCIA,8.73
M,Fifth type bare hand routines Shaolinquan,D,POR,Bruno SOUSA,8.71
M,Fifth type bare hand routines Shaolinquan,D,ITA,Umberto NACHIRO,8.7
M,Fifth type bare hand routines Shaolinquan,D,FRA,Alexandre CORDARO,8.69
M,Fifth type bare hand routines Shaolinquan,D,MEX,Diego Armando CORREA IXTEPAN,8.65
M,Fifth type bare hand routines Shaolinquan,D,AUS,Timothy James HONDROUDAKIS,8.64
M,Fifth type bare hand routines Shaolinquan,D,BRA,Bruno DE AMORIM ARANTES,8.63
M,Fifth type bare hand routines Shaolinquan,D,HUN,Dominik Norbert MEIXNER,8.62
M,Fifth type bare hand routines Shaolinquan,D,SUI,Ivan SIMIC,8.6
M,Fifth type bare hand routines Shaolinquan,D,SGP,SNG Hao Yang Jonas,8.59
M,Fifth type bare hand routines Shaolinquan,D,SUI,Igor SIMIC,8.58
M,Fifth type bare hand routines Shaolinquan,D,USA,Yaseen GHANEM,8.52
M,Fifth type bare hand routines Shaolinquan,D,BEL,Loic HENRIOULLE,8.51
M,Fifth type bare hand routines Shaolinquan,D,FRA,Martin MASSON,8.48
M,Fifth type bare hand routines Shaolinquan,D,TJK,Khushang RAJABOV,8.43
M,Fifth type bare hand routines Shaolinquan,D,USA,Tyrese CARROLL,8.42
M,Fifth type bare hand routines Shaolinquan,D,USA,Parke BOWMAN,8.36
M,Fifth type bare hand routines Shaolinquan,D,EGY,Fares ELSHOURBAGI,8.32
M,Fifth type bare hand routines Shaolinquan,D,EGY,Mohamed SHATA,8.12
M,bare hand routines Other routines,D,CHN,WANG Chongkai,9.23
M,bare hand routines Other routines,D,CHN,ZHENG Guoqing,9.16
M,bare hand routines Other routines,D,HKG,WONG Cho Wai Gabriel,9.1
M,bare hand routines Other routines,D,UKR,Artem HASHCHUK,9.06
M,bare hand routines Other routines,D,BRA,Lucas MACHADO FRADE GALATI,9.03
M,bare hand routines Other routines,D,JPN,KOJIMA Ryuhei,9.02
M,bare hand routines Other routines,D,NED,Jesse KONICKX,9.01
M,bare hand routines Other routines,D,TUR,Necmettin Erbakan AKYUZ,9.01
M,bare hand routines Other routines,D,BRA,Bruno PAIXaO FERRARI,9
M,bare hand routines Other routines,D,SVK,Patrik HATALA,8.95
M,bare hand routines Other routines,D,NED,Tygo MAAS,8.93
M,bare hand routines Other routines,D,AUS,Alexander Ha TERREY,8.88
M,bare hand routines Other routines,D,MAS,TUNG Ho Yen,8.83
M,bare hand routines Other routines,D,TUR,Osman YALKIN,8.82
