Sex,Form,Group,Team,Athlete,Score
M,bare hand routines Other routines,B,BRU,Qayden Ming Yi YII,8.25
M,bare hand routines Other routines,B,EGY,Taha SHARABIA,8.21
M,bare hand routines Other routines,B,USA,Brayden ROLDAN,8.21
M,bare hand routines Other routines,B,USA,Gottlieb ZHU,8.19
M,bare hand routines Other routines,B,USA,Eric CHENG,8.18
M,bare hand routines Other routines,B,CAN,Jixiang YU,8.17
M,bare hand routines Other routines,B,HUN,Bence VIDA,8.13
W,Third type bare hand routines,A,USA,Ryan NGO,7.44
W,Third type bare hand routines,A,NZL,Ariella Leyao LIUCHEN,7.42
W,Third type bare hand routines,A,MAC,IAO Chi Iao,7.39
W,Third type bare hand routines,A,HKG,XIA Wan Zhi Grace,7.35
W,Third type bare hand routines,A,USA,Emily LU,7.3
W,Third type bare hand routines,A,USA,Joyce ZHANG,7.28
W,Third type bare hand routines,A,USA,Scarlett Lee BAUTISTA,7.19
W,Fourth type bare hand routine Chaquan,A,SGP,TAN Zhi Tong,7.52
W,Fourth type bare hand routine Chaquan,A,HKG,FENG Yik Man,7.45
W,Fourth type bare hand routine Chaquan,A,USA,Summer ZHANG,7.41
W,Fourth type bare hand routine Chaquan,A,HKG,LAU Azaria Hiu Yu,7.33
W,Fourth type bare hand routine Chaquan,A,USA,Reiya TANG,7.3
W,Fourth type bare hand routine Chaquan,A,USA,Mochen Jasmine LI,7.27
W,Fourth type bare hand routine Chaquan,A,USA,Amy ZHANG,7.18
W,Fourth type bare hand routine Chaquan,A,USA,Lizbeth DENG,7.17
W,Other bare hand routines ,A,KAZ,Aiaru MUKHAMETOVA,7.71
W,Other bare hand routines ,A,SGP,SOH Camille Yu Rou,7.58
W,Other bare hand routines ,A,USA,Florence Linh Lan KYI,7.56
W,Other bare hand routines ,A,USA,Anya AN,7.53
W,Other bare hand routines ,A,LAT,Anna ZABLOCKA,7.47
W,Other bare hand routines ,A,USA,Quinn Yiren LIU,7.44
W,Other bare hand routines ,A,BRU,Hannah TAN,7.43
W,Other bare hand routines ,A,USA,Emina JIAN,7.42
W,Other bare hand routines ,A,INA,Raisya Aliya WIBOWO,7.39
W,Other bare hand routines ,A,USA,Angelina YU,7.38
W,Other bare hand routines ,A,NZL,Jessica QIAO,7.37
W,Other bare hand routines ,A,USA,Madelyn WANG,7.36
W,Other bare hand routines ,A,AUS,Aphrael HONG,7.33
W,Other bare hand routines ,A,USA,Stella SUN,7.28
W,Other bare hand routines ,A,MAC,CHAN U Chek,7.24
W,Other bare hand routines ,A,USA,Angela WONG,7.21
M,Nanquan type routines Yongchunquan (Wing Chun),D,UKR,Daniil FESHCHENKO,8.95
M,Nanquan type routines Yongchunquan (Wing Chun),D,HKG,TING Kin Sing Kinson,8.85
M,Nanquan type routines Yongchunquan (Wing Chun),D,IND,Divyansh Manoj GUPTA,8.73
M,Nanquan type routines Yongchunquan (Wing Chun),D,TJK,Abbos JURAEV,8.65
M,Nanquan type routines Yongchunquan (Wing Chun),D,FRA,Kévin KE,8.62
M,Nanquan type routines Yongchunquan (Wing Chun),D,GEO,Tornike NANIKASHVILI,8.6
M,Nanquan type routines Yongchunquan (Wing Chun),D,ITA,Gabriele PALLOTTA,8.58
M,Nanquan type routines Yongchunquan (Wing Chun),D,ROU,Florin Alexandru BARICA,8.56
M,Nanquan type routines Yongchunquan (Wing Chun),D,BUL,Mario PETRUNOV,8.55
M,Nanquan type routines Yongchunquan (Wing Chun),D,ARG,Elias Edgardo CHAIHORT,8.54
M,Nanquan type routines Yongchunquan (Wing Chun),D,ROU,Ioan Daniel STAN,8.52
M,Nanquan type routines Yongchunquan (Wing Chun),D,GEO,Beka PURTSELADZE,8.5
M,Nanquan type routines Yongchunquan (Wing Chun),D,BUL,Georgi NIKOLOV,8.49
M,Nanquan type routines Yongchunquan (Wing Chun),D,GEO,Kakha SARDALISHIVLI,8.4
M,Nanquan type routines Cailifoquan (Choy Lay Fut),D,UKR,Danylo POTURYMETS,8.99
M,Nanquan type routines Cailifoquan (Choy Lay Fut),D,BRA,Anthony DA SILVA CAPELAZZO,8.83
M,Nanquan type routines Cailifoquan (Choy Lay Fut),D,GRE,Konstantinos LAMPADAS,8.72
M,Nanquan type routines Cailifoquan (Choy Lay Fut),D,NED,Ferran Tomás NIEUWKAMER SANCHEZ,8.71
M,Nanquan type routines Cailifoquan (Choy Lay Fut),D,BRA,Flavio Henrique CASSIANO,8.68
M,Nanquan type routines Cailifoquan (Choy Lay Fut),D,BRA,Rodrigo DE LIMA DANTAS,8.65
M,Nanquan type routines Cailifoquan (Choy Lay Fut),D,POL,Filip Michal PARAFIńSKI,8.64
M,Nanquan type routines Cailifoquan (Choy Lay Fut),D,BRA,Guilherme Henrique SOUZA DE OLIVEIRA,8.59
M,Nanquan type routines Cailifoquan (Choy Lay Fut),D,USA,Alexander Martin CHOI,8.48
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AIN,Kamil KHALILIULIN,9
M,Nanquan type routines Hongjiaquan (Hung Gar),D,MAC,LEONG Chou Fong,8.98
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AIN,Dierbek DUISHABOEV,8.93
M,Nanquan type routines Hongjiaquan (Hung Gar),D,POL,Tomasz BILUT,8.88
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AIN,Dmitrii TIUNOV,8.86
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AIN,Tikhon NIKITIN,8.84
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AIN,Rinat KUCHUMOV,8.79
M,Nanquan type routines Hongjiaquan (Hung Gar),D,SGP,YAP Wei Sheng Wilson,8.77
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AUS,Xun Tao HUANG,8.72
M,Nanquan type routines Hongjiaquan (Hung Gar),D,CZE,Petr BURES,8.7
M,Nanquan type routines Hongjiaquan (Hung Gar),D,ITA,Matteo TESTARDINI,8.69
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AUS,Jacky CHEN,8.68
M,Nanquan type routines Hongjiaquan (Hung Gar),D,CZE,Matej KRATKY,8.66
M,Nanquan type routines Hongjiaquan (Hung Gar),D,POL,Lukasz Mateusz MASLANKA,8.57
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AUS,Kin Cheung HO,8.54
M,Nanquan type routines Hongjiaquan (Hung Gar),D,POL,Franciszek Jan DERZKO,8.5
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AUS,Nathan NGHIEM,8.42
M,Nanquan type routines Hongjiaquan (Hung Gar),D,SVK,Radoslav MORAVcíK,8.41
M,Nanquan type routines Hongjiaquan (Hung Gar),D,AUS,Xun Hao HUANG,8.36
M,Nanquan type routines Hongjiaquan (Hung Gar),D,GBR,Guy Richard Ian TOKLEY,8.33
M,Nanquan type routines Other routines,D,MAC,CHEUNG Ioi Chit,8.95
M,Nanquan type routines Other routines,D,AUS,Fan-bo KONG,8.86
M,Nanquan type routines Other routines,D,ITA,Alessandro SIRTO,8.79
M,Nanquan type routines Other routines,D,GEO,Giorgi ONIANI,8.74
M,Nanquan type routines Other routines,D,TUR,Deniz SABOTIC,8.72
M,Nanquan type routines Other routines,D,BRA,Caio Cesar ZANA,8.68
M,Nanquan type routines Other routines,D,SGP,CHENG Kei Win,8.62
M,Nanquan type routines Other routines,D,BRA,Pedro CORREA LEMES,8.61
M,Nanquan type routines Other routines,D,TJK,Ilyoskhon VALIEV,8.51
M,Nanquan type routines Other routines,D,IND,Ranjeet SINGH,8.5
M,Nanquan type routines Other routines,D,USA,Micah JUMAN,8.46
M,Nanquan type routines Other routines,D,ROU,Victor HASIEGANU,8.43
M,Nanquan type routines Other routines,D,HUN,Gergely Lóránd BoDY,8.42
M,Nanquan type routines Other routines,D,USA,Rory HYTREK,8.33
M,Nanquan type routines Other routines,D,ARG,Alejandro Oscar OVIEDO,8.22
M,Nanquan type routines Other routines,D,IND,Bhav SHRIMALI,7.89
W,First type bare hand routines Bajiquan,D,JPN,ODAGIRI Emi,8.7
W,First type bare hand routines Bajiquan,D,MEX,Michelle MENA TORRES,8.66
W,First type bare hand routines Bajiquan,D,MAC,LIAO Chio Weng,8.65
W,First type bare hand routines Bajiquan,D,MEX,Karime Janet MORALES CASAS,8.63
W,First type bare hand routines Bajiquan,D,FRA,Alexandra CARVALHEIRO,8.51
W,First type bare hand routines Bajiquan,D,MEX,Marisol Guadalupe AISPURO BRINGAS,8.49
W,First type bare hand routines Bajiquan,D,AUT,Fu Yao Zi WANG,8.43
W,First type bare hand routines Bajiquan,D,TJK,Eleonora FAIZOVA,7.96
W,First type bare hand routines Baguazhang,D,CHN,DUAN Jing,9.23
W,First type bare hand routines Baguazhang,D,TUR,Zeynep Makbule AKYUZ,8.86
W,First type bare hand routines Baguazhang,D,EGY,Jana Emad Mohamed Mostafa,8.82
W,First type bare hand routines Baguazhang,D,LAT,Polina MALAHOVA,8.77
W,First type bare hand routines Baguazhang,D,KGZ,Eles KOKUMBEK KYZY,8.73
W,First type bare hand routines Baguazhang,D,MEX,Grace Guadalupe DE LA ROSA LIRA,8.61
W,First type bare hand routines Baguazhang,D,ITA,Maria FAJRI,8.6
W,First type bare hand routines Baguazhang,D,MAC,LEI Un Si,8.52
W,First type bare hand routines Baguazhang,D,IND,Isha MISHRA,8.51
W,First type bare hand routines Baguazhang,D,AUS,Jian Yi KOO,8.48
W,First type bare hand routines Baguazhang,D,USA,Jessica ZOU,8.33
W,First type bare hand routines Baguazhang,D,HUN,Hanna DANCS,8.27
W,First type bare hand routines Baguazhang,D,AUS,Veronica FUNG,8.22
W,Third type bare hand routines,D,USA,Meiying WANG,8.89
W,Third type bare hand routines,D,AIN,Almira GARIFULLINA,8.8
W,Third type bare hand routines,D,UKR,Alina KRYSKO,8.77
W,Third type bare hand routines,D,UKR,Yana POLTORATSKA,8.7
W,Third type bare hand routines,D,NZL,Nelara AMARASINGHE,8.63
W,Third type bare hand routines,D,GRE,Elena KOKOLESI,8.62
W,Third type bare hand routines,D,GRE,Isidora PAPACHRISTOU,8.6
W,Third type bare hand routines,D,AUT,Julia LINERT,8.59
W,Third type bare hand routines,D,ESP,Zaida GARCíA DE LA GALANA ALIRANGUES,8.57
W,Third type bare hand routines,D,IND,Vedaasruthi SHANMUGAVADIVEL,8.54
W,Third type bare hand routines,D,POR,Beatriz PINHO,8.47
W,Third type bare hand routines,D,MEX,Diana Lizeth MEDRANO MENDOZA,8.43
W,Fifth type bare hand routines Shaolinquan,D,CHN,ZHOU Qi,8.98
W,Fifth type bare hand routines Shaolinquan,D,AIN,Elizaveta KOCHETKOVA,8.87
W,Fifth type bare hand routines Shaolinquan,D,KAZ,Dayana KUSPANOVA,8.85
W,Fifth type bare hand routines Shaolinquan,D,ITA,Giulia BASSI,8.81
W,Fifth type bare hand routines Shaolinquan,D,HUN,Eniko VIZI,8.72
W,Fifth type bare hand routines Shaolinquan,D,ITA,Lara MARRA,8.71
W,Fifth type bare hand routines Shaolinquan,D,ITA,Elisa BRAMBILLA,8.7
W,Fifth type bare hand routines Shaolinquan,D,ITA,Letizia Giulietta TEDOLDI,8.66
W,Fifth type bare hand routines Shaolinquan,D,GRE,Konstantina FOTEINOGIANNOPOULOU,8.62
W,Fifth type bare hand routines Shaolinquan,D,POL,Patrycja Anna KOLASKA,8.61
W,Fifth type bare hand routines Shaolinquan,D,GRE,Panagiota Aikaterini MATHIOPOULOU,8.58
W,Fifth type bare hand routines Shaolinquan,D,MEX,Liliana TREJO ROMAN,8.55
W,Fifth type bare hand routines Shaolinquan,D,HUN,Dóra Tímea HORVáTH,8.54
W,Fifth type bare hand routines Shaolinquan,D,GBR,Amanda Geraldine D'ARCY,8.52
W,Fifth type bare hand routines Shaolinquan,D,GRE,Margarita PAGONI,8.46
W,Fifth type bare hand routines Shaolinquan,D,GBR,Tyra Ruqaiyah EDWARDS-WALKER,8.45
W,Fifth type bare hand routines Shaolinquan,D,RSA,Kitana Cora VAN DER MESCHT,8.45
W,Fifth type bare hand routines Shaolinquan,D,BRA,Regina Helena ALENCAR RIBEIRO,8.44
W,Fifth type bare hand routines Shaolinquan,D,NED,Lyly Diep TRAN,8.44
W,Fifth type bare hand routines Shaolinquan,D,MAS,CHEE Ching Ting,8.42
W,Fifth type bare hand routines Shaolinquan,D,MEX,Karen Priscila PANECATL URQUIZA,8.41
W,Fifth type bare hand routines Shaolinquan,D,POR,Beatriz OLIVEIRA,8.35
W,Fifth type bare hand routines Shaolinquan,D,AUS,Amy NGHIEM,8.33
W,Fifth type bare hand routines Shaolinquan,D,USA,Li Ying LU,8.12
W,Fourth type bare hand routine Chaquan,D,AIN,Aksiniia SHCHUKINA,8.87
W,Fourth type bare hand routine Chaquan,D,AIN,Alina BUTRINOVA,8.83
W,Fourth type bare hand routine Chaquan,D,TUR,Elif AKYUZ,8.75
W,Fourth type bare hand routine Chaquan,D,FRA,Laetitia TAN,8.62
W,Fourth type bare hand routine Chaquan,D,BRA,Brenda SILVA DOS SANTOS,8.6
W,Fourth type bare hand routine Chaquan,D,SVK,Hanka HATALOVá,8.58
W,Fourth type bare hand routine Chaquan,D,IND,Shreya KUMARI,8.53
W,Fourth type bare hand routine Chaquan,D,POR,Inês SOARES,8.48
W,Fourth type bare hand routine Chaquan,D,POR,Cheila GONCALVES,8.43
W,bare hand routines Other routines,E,CHN,WANG Xiufen,9.11
W,bare hand routines Other routines,E,CHN,HUANG Yi,9.1
W,bare hand routines Other routines,E,BRA,Paula AMIDANI SOARES DE AZEVEDO,8.77
W,bare hand routines Other routines,E,POL,Beata ENGEL,8.68
W,bare hand routines Other routines,E,AUS,Angela Jia Li MAK,8.59
W,bare hand routines Other routines,E,KGZ,Liubov SERIAKOVA,8.58
W,bare hand routines Other routines,E,POR,Irene CANDEIAS,8.56
W,bare hand routines Other routines,E,HUN,Linda GYURCSó-DEáK,8.52
W,bare hand routines Other routines,E,AUS,Yu Zhang DONG FANG,8.47
W,bare hand routines Other routines,E,FRA,Thanh INGLE LAI THI,8.46
W,bare hand routines Other routines,E,USA,Shaoping WANG,8.44
W,bare hand routines Other routines,E,USA,Lin GAO,8.39
W,bare hand routines Other routines,E,MEX,Margot MARTINEZ SOLIS,8.36
W,bare hand routines Other routines,E,USA,Jessica AMISIAL,8.3
W,bare hand routines Other routines,E,LAT,Laura BURAKA,8.23
W,bare hand routines Other routines,F,JPN,SUETSUGU Masami,8.62
W,bare hand routines Other routines,F,USA,Xiaoan WANG,8.32
W,bare hand routines Other routines,F,FRA,Consiglia CIABURRI,8.3
W,bare hand routines Other routines,F,AUS,Cheng Choo Khoo,8.29
W,Nanquan type routines,E,GBR,Michele Maki NAKASONE,8.73
W,Nanquan type routines,E,BRA,Nina ROMANO CARDOSO SILVESTRE,8.58
W,Nanquan type routines,E,GRE,Anna KOKKINAKI,8.54
W,Nanquan type routines,E,NED,Marielle Brigitte SANCHEZ VAN GINKEL,8.53
W,Nanquan type routines,E,GRE,Eleftheria PANAGOPOULOU,8.47
W,Nanquan type routines,E,ARG,Ana Maria BARROS,8.46
W,Nanquan type routines,E,MAS,LEE Lai Yin,8.37
W,Nanquan type routines,E,MAS,NG Yuen Yee,8.35
M,Taijiquan type routines Chen Style,E,SGP,LIM Che How,9.06
M,Taijiquan type routines Chen Style,E,USA,Cheng ZHANG,8.95
M,Taijiquan type routines Chen Style,E,MAS,WONG Chien Kian,8.84
M,Taijiquan type routines Chen Style,E,SVK,Michal SLAMKA,8.74
M,Taijiquan type routines Chen Style,E,BUL,Ivo GEORGIEV,8.7
M,Taijiquan type routines Chen Style,E,GEO,Lasha SUMBULASHVILI,8.69
M,Taijiquan type routines Chen Style,E,USA,Aleksandr SMIRNOV,8.64
M,Taijiquan type routines Chen Style,E,CZE,Milan HOREJS,8.61
M,Taijiquan type routines Chen Style,E,ARG,Diego Javier GONZALEZ,8.55
M,Taijiquan type routines Chen Style,E,POL,Robert Pawel MAsLANKA,8.53
M,Taijiquan type routines Chen Style,E,ITA,Antonio PIGNATARO,8.51
M,Taijiquan type routines Chen Style,E,POL,Marcin Jacek ZARóD,8.49
M,Taijiquan type routines Chen Style,E,GBR,Stanislav BALTSEZAK,8.48
M,Taijiquan type routines Chen Style,E,USA,Scott SPENCER,8.46
M,Taijiquan type routines Chen Style,E,AUS,Dhimesh Ramesh Patel,8.21
M,Taijiquan type routines Yang Style,E,HKG,CHOI Yik Ching,8.74
M,Taijiquan type routines Yang Style,E,AUS,Wei Wen RUAN,8.69
M,Taijiquan type routines Yang Style,E,CZE,Tomas RIHACEK,8.64
M,Taijiquan type routines Yang Style,E,SUI,Alexandre ORICCHIO,8.59
M,Taijiquan type routines Yang Style,E,FRA,Norman PRADES,8.5
M,Taijiquan type routines Yang Style,E,USA,Alan HIRAHARA,8.49
M,Taijiquan type routines Yang Style,E,AUS,Walter The Khuong LY,8.46
M,Taijiquan type routines Yang Style,E,ESP,Francisco Javier ARNANZ SOTELO,8.41
M,Taijiquan type routines Yang Style,E,BUL,Dimitar MIHAYLOV,8.33
M,Taijiquan type routines Yang Style,E,USA,Wayne BREWER,8.26
M,Taijiquan type routines Yang Style,E,HUN,Ferenc DARAB,8.24
M,Taijiquan type routines Yang Style,E,MEX,Cesar HERRERA JIMENEZ,7.99
M,Taijiquan type routines Yang Style,E,ARG,Humberto De Jesus VEGA ROMO,7.4
M,Taijiquan type routines Other routines,E,GBR,Barry James PHELAN,8.77
M,Taijiquan type routines Other routines,E,JPN,IWAMOTO Kunishige,8.61
M,Taijiquan type routines Other routines,E,SGP,ANG Royce Boon Seng,8.57
M,Taijiquan type routines Other routines,E,POR,Bruno RIBEIRO,8.42
M,Taijiquan type routines Other routines,E,SGP,WONG Kwai Wah,8.37
M,Taijiquan type routines Other routines,E,USA,Orvie THUMEL,8.34
M,Taijiquan type routines Other routines,E,INA,Iwan Setiawan NG,8.33
M,Taijiquan type routines Other routines,E,NZL,Owen LOEFFELLECHNER,8.3
M,Taijiquan type routines Other routines,E,MEX,Alberto MORALES ROJAS,8.29
M,Taijiquan type routines Yang Style,F,MAC,LAM Chi Meng,8.61
M,Taijiquan type routines Yang Style,F,HKG,CHEUNG Kwong Tat,8.58
M,Taijiquan type routines Yang Style,F,HKG,MAK Tai Man Peter,8.54
M,Taijiquan type routines Yang Style,F,AUS,Gordon Khing Hooi MAH,8.46
M,Taijiquan type routines Yang Style,F,JPN,NISHIKAWA Naoki,8.45
M,Taijiquan type routines Yang Style,F,AUS,Han Yeh CHAN,8.44
M,Taijiquan type routines Yang Style,F,HKG,CHENG Chung Kit,8.43
M,Taijiquan type routines Yang Style,F,AUS,Wing Kit Albert LO,8.39
M,Taijiquan type routines Yang Style,F,JPN,OKAMOTO Kenzo,8.37
M,Taijiquan type routines Yang Style,F,ESP,Eloy Alberto NInO ORTEGA,8.36
M,Taijiquan type routines Yang Style,F,AUS,Steven LEE,8.3
M,Taijiquan type routines Yang Style,F,AUS,Andy Tat Woo NG,8.27
M,Taijiquan type routines Yang Style,F,AUS,Grahame George PRIEST,8.26
M,Taijiquan type routines Other routines,F,CAN,Raymond Kin Keung MA,8.79
M,Taijiquan type routines Other routines,F,SGP,TAY Kiang Meng,8.76
M,Taijiquan type routines Other routines,F,SGP,TAY Ah Huat,8.67
M,Taijiquan type routines Other routines,F,MAC,CHAN Io Kuai,8.65
M,Taijiquan type routines Other routines,F,NZL,Daniel B ZUO,8.6
M,Taijiquan type routines Other routines,F,JPN,OMIKAWA Masato,8.53
M,Taijiquan type routines Other routines,F,JPN,ARAI Kazuhiko,8.47
M,Taijiquan type routines Other routines,F,AUS,Bin Xiong QIAN,8.45
M,Taijiquan type routines Other routines,F,USA,Kenneth DELLAPENTA,8.35
M,Taijiquan type routines Other routines,F,CAN,Edmond Man Kong CHEUNG,8.34
M,Taijiquan type routines Other routines,F,JPN,YAMAGUCHI Tadashi,8.27
M,Taijiquan type routines Other routines,F,USA,Peter Wing CHOI,8.25
M,Taijiquan type routines Other routines,F,JPN,TAKEDA Anri,8.2
W,Taijiquan type routines 42 posture Taijiquan,E,USA,Jie GU,8.77
W,Taijiquan type routines 42 posture Taijiquan,E,JPN,KAMBARA Yumi,8.67
W,Taijiquan type routines 42 posture Taijiquan,E,AUT,Maryse Suzanne VALIN-LINERT,8.61
W,Taijiquan type routines 42 posture Taijiquan,E,KAZ,Gaini KYPSHAKBAY,8.52
W,Taijiquan type routines 42 posture Taijiquan,E,FRA,Yue DU QIAN,8.49
W,Taijiquan type routines 42 posture Taijiquan,E,FRA,Sophie FOUCHER,8.47
W,Taijiquan type routines 42 posture Taijiquan,E,USA,Annie Laurie CATES,8.46
W,Taijiquan type routines 42 posture Taijiquan,E,CAN,Li LI,8.39
W,Taijiquan type routines Chen Style,E,CHN,ZHENG Caixia,9.12
W,Taijiquan type routines Chen Style,E,GEO,Maka GABESKIRIA,8.81
W,Taijiquan type routines Chen Style,E,SGP,NG Chiew Yen,8.72
W,Taijiquan type routines Chen Style,E,MEX,Miriam Ocotlan MACEDA ROCHA,8.66
W,Taijiquan type routines Chen Style,E,MEX,Elizabeth GARCIA MARTINEZ,8.61
W,Taijiquan type routines Chen Style,E,USA,Peikai WANG,8.54
W,Taijiquan type routines Chen Style,E,SGP,CHEN Shanli,8.53
W,Taijiquan type routines Chen Style,E,USA,Qiong LI,8.5
W,Taijiquan type routines Chen Style,E,USA,Michelle BENSI,8.48
W,Taijiquan type routines Chen Style,E,BUL,Antoniya STOYANOVA,8.38
W,Taijiquan type routines Chen Style,E,POR,Mariana LOPES,8.28
W,Taijiquan type routines Chen Style,E,BUL,Nataliya TRIFONOVA,8.23
W,Taijiquan type routines Chen Style,E,KAZ,Tatyana BORTA,8.21
W,Taijiquan type routines Chen Style,E,USA,Sally KIDWELL,8.2
W,Taijiquan type routines Yang Style,E,HKG,WONG Wing Yan Josephine,8.89
W,Taijiquan type routines Yang Style,E,HKG,FUJITA Makiko,8.76
W,Taijiquan type routines Yang Style,E,HKG,NG Lai Ling Maggie,8.7
W,Taijiquan type routines Yang Style,E,HKG,WONG Yin Ling Elaine,8.61
W,Taijiquan type routines Yang Style,E,CAN,ZHANG Chunying,8.59
W,Taijiquan type routines Yang Style,E,HKG,YU Li,8.57
W,Taijiquan type routines Yang Style,E,KGZ,Natalia NESHCHERET,8.53
W,Taijiquan type routines Yang Style,E,KAZ,Tatyana ZHIGALKINA,8.52
W,Taijiquan type routines Yang Style,E,CAN,Siaw Kin Agnes LEE,8.51
W,Taijiquan type routines Yang Style,E,HKG,WONG Tak Wing Teresa,8.5
W,Taijiquan type routines Yang Style,E,HKG,CHAN Hung Regina,8.49
W,Taijiquan type routines Yang Style,E,AUS,Ling Meng KOO,8.36
W,Taijiquan type routines Yang Style,E,HKG,WAN Sin Pui,8.35
W,Taijiquan type routines Yang Style,E,MEX,Kitzia Mercedes ARIAS CAMPOS,8.34
W,Taijiquan type routines Yang Style,E,HKG,YU Suk Fei,8.32
W,Taijiquan type routines Other routines,E,JPN,ONO Kimiyo,8.7
W,Taijiquan type routines Other routines,E,USA,Fong ZHANG,8.69
W,Taijiquan type routines Other routines,E,USA,Xia CHEN,8.5
W,Taijiquan type routines Other routines,E,MAC,MA Wai Soi,8.42
W,Taijiquan type routines Other routines,E,MAC,LEI Sut Keng,8.41
W,Taijiquan type routines Other routines,E,JPN,YANAGIDA Minako,8.37
W,Taijiquan type routines Other routines,E,JPN,UEDA Mikiko,8.36
W,Taijiquan type routines Other routines,E,JPN,IWAMOTO Tamami,8.35
W,Taijiquan type routines Other routines,E,USA,Jennifer WEITZ,8.25
W,Taijiquan type routines Other routines,E,GRE,Sofia ZISI,8.13
M,Nanquan type routines Cailifoquan (Choy Lay Fut),A,MAS,TEOH Yik Yang,7.65
M,Nanquan type routines Cailifoquan (Choy Lay Fut),A,MAS,TAN Thye Yih,7.57
M,Nanquan type routines Cailifoquan (Choy Lay Fut),A,MAS,TAN Khai Yeah,7.53
M,Nanquan type routines Cailifoquan (Choy Lay Fut),A,MAS,LIM Bryan Gao Xuan,7.48
M,Nanquan type routines Cailifoquan (Choy Lay Fut),A,MAS,TEOH Brandon Han Yuan,7.33
M,Nanquan type routines Cailifoquan (Choy Lay Fut),A,MAS,LAU Ryan You Jie,7.31
M,Nanquan type routines Other routines,A,USA,Frank LI,7.74
M,Nanquan type routines Other routines,A,AIN,Artem SHEDKO,7.71
M,Nanquan type routines Other routines,A,SGP,TAN Timothy Sung Kai,7.68
M,Nanquan type routines Other routines,A,MAC,CHAN Fengze,7.67
M,Nanquan type routines Other routines,A,SGP,CHEW Alexander,7.66
M,Nanquan type routines Other routines,A,HKG,LAI Ming Yeung Ethan,7.53
M,Nanquan type routines Other routines,A,HKG,GONG Xinyu,7.46
M,Nanquan type routines Other routines,A,AUS,Yiming Ace LI,7.41
M,Nanquan type routines Other routines,A,AUS,Ray Yi HO,7.38
M,Nanquan type routines Other routines,A,TJK,Muhammadsaid ABDURASHIDOV,7.31
M,Nanquan type routines,B,SGP,WENG Linxu,8.66
M,Nanquan type routines,B,KAZ,Eldar BALABEKOV,8.61
M,Nanquan type routines,B,HKG,HO Yau Tong Princeton,8.56
M,Nanquan type routines,B,POL,Adam WARGACKI,8.55
M,Nanquan type routines,B,USA,Albert LIU,8.53
M,Nanquan type routines,B,BRA,Leonardo SOARES FONDELLO,8.51
M,Nanquan type routines,B,MAC,LI Pengcheng,8.5
M,Nanquan type routines,B,AUS,Austin Dave SANJO,8.49
M,Nanquan type routines,B,MAS,WONG Yew Shen,8.47
M,Nanquan type routines,B,USA,Theodore WONG,8.4
M,Nanquan type routines,B,AUS,Robin Yubin ZHENG,8.36
M,Nanquan type routines,B,EGY,Mhamed MOUSTAFA,8.12
M,Nanquan type routines,B,EGY,Karim GEBRIL,8.06
M,Nanquan type routines,B,AUS,Ray Yuen HO,8.05
M,Nanquan type routines Yongchunquan (Wing Chun),C,HKG,CHEUNG Ching Hei,8.65
M,Nanquan type routines Yongchunquan (Wing Chun),C,ROU,Andrei Eduard MIU,8.61
M,Nanquan type routines Yongchunquan (Wing Chun),C,TJK,Fazliddin KHOJAEV,8.51
M,Nanquan type routines Yongchunquan (Wing Chun),C,EGY,Youssef ISMAIL,8.26
M,Nanquan type routines Yongchunquan (Wing Chun),C,EGY,Mohamed IBRAHIM,8.25
M,Nanquan type routines Yongchunquan (Wing Chun),C,EGY,Fars IBRAHIM,8.22
M,Nanquan type routines Cailifoquan (Choy Lay Fut),C,MAC,WONG Hok Weng,8.67
M,Nanquan type routines Cailifoquan (Choy Lay Fut),C,BRA,Enzo FANTINATI CALAMARI,8.61
M,Nanquan type routines Cailifoquan (Choy Lay Fut),C,BRA,Matheus VALENTE SANCHEZ,8.6
M,Nanquan type routines Cailifoquan (Choy Lay Fut),C,BRA,Felipe CASTILHIONI DE ANDRADE,8.54
M,Nanquan type routines Cailifoquan (Choy Lay Fut),C,POL,Jakub Marcel OLESZCZUK,8.53
M,Nanquan type routines Cailifoquan (Choy Lay Fut),C,USA,Chase WONG,8.47
M,Nanquan type routines Hongjiaquan (Hung Gar),C,AIN,Mikhail MINAKOV,8.66
M,Nanquan type routines Hongjiaquan (Hung Gar),C,FRA,Lucas HENG,8.61
M,Nanquan type routines Hongjiaquan (Hung Gar),C,GRE,Vlasios KINTAKAS,8.58
M,Nanquan type routines Hongjiaquan (Hung Gar),C,CZE,Lukas HUSAK,8.57
M,Nanquan type routines Hongjiaquan (Hung Gar),C,ITA,Mario Faris BAZZARA,8.56
M,Nanquan type routines Hongjiaquan (Hung Gar),C,POL,Mieszko Leszek PRZYGODA,8.5
M,Nanquan type routines Hongjiaquan (Hung Gar),C,POR,Miguel SOUSA,8.38
M,Nanquan type routines Hongjiaquan (Hung Gar),C,AUS,Enqi GE,8.34
