,sex,Form,Group,Rank,Team,Athlete,Score,Remark
56,M,Third-type bare-hand routines_Drunken Fist ,Group D,6,ITA,Claudio DI BENEDETTO,8.86,Third Prize
57,M,Third-type bare-hand routines_Drunken Fist ,Group D,7,FRA,Noe BOURDET,8.75,
58,M,Third-type bare-hand routines_Drunken Fist ,Group D,8,FRA,Clément VAUDAGNE,8.73,
59,M,Third-type bare-hand routines_Drunken Fist ,Group D,9,SWE,Ted Fredrik ANDERSSON,8.71,
60,M,Third-type bare-hand routines_Other routines ,Group D,1,CHN,SUI Tianqi,9.26,First Prize
61,M,Third-type bare-hand routines_Other routines ,Group D,2,AIN,Nikita KOZLOV,9.19,Second Prize
62,M,Third-type bare-hand routines_Other routines ,Group D,3,AIN,Maksim CHESKIDOV,9.15,Second Prize
63,M,Third-type bare-hand routines_Other routines ,Group D,4,AUS,Blake Charles Richard BROWN,9.07,Third Prize
64,M,Third-type bare-hand routines_Other routines ,Group D,5,AIN,Amgalan ZHIGZHITOV,9.06,Third Prize
65,M,Third-type bare-hand routines_Other routines ,Group D,6,POR,Rodrigo SANTOS,8.54,
66,M,Fourth-type bare-hand routine_Chaquan ,Group D,1,AIN,Pavel MURATOV,9.13,First Prize
67,M,Fourth-type bare-hand routine_Chaquan ,Group D,2,AIN,Ilias KHUSNUTDINOV,9.07,Second Prize
68,M,Fourth-type bare-hand routine_Chaquan ,Group D,3,AIN,Kirill-zui BONDARENKO,9.06,Second Prize
69,M,Fourth-type bare-hand routine_Chaquan ,Group D,4,UKR,Maksym ZHARUN,9.05,Third Prize
70,M,Fourth-type bare-hand routine_Chaquan ,Group D,5,AIN,Iaroslav SHELUDIAKOV,8.93,Third Prize
71,M,Fourth-type bare-hand routine_Chaquan ,Group D,6,TUR,Ahmet Taha KESKIN,8.92,Third Prize
72,M,Fourth-type bare-hand routine_Chaquan ,Group D,7,IND,Bhanu SINGH,8.88,
73,M,Fourth-type bare-hand routine_Chaquan ,Group D,8,GEO,Giorgi GERMANOZASHVILI,8.69,
74,M,Fourth-type bare-hand routine_Chaquan ,Group D,9,POR,Salvador GUERREIRO,8.65,
75,M,Fourth-type bare-hand routine_Chaquan ,Group D,Default,IND,Shreya KUMARI,NA,
76,M,Fourth-type bare-hand routine_Chaquan ,Group D,Default,AFG,Omari GOLAB SHAH,NA,
77,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,1,ITA,Michele GAMBINO,9.14,Gold
78,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,2,TJK,Mirzodalerkhon KHURSHEDZODA,9.04,Silver
