id,winner,card
19759,TRUE,Inferno Dragon
19759,TRUE,Lumberjack
19759,TRUE,Dark Prince
19759,TRUE,Skeleton Army
19759,TRUE,Wizard
19759,TRUE,Hog Rider
19759,TRUE,Tesla
19759,TRUE,Zap
19752,FALSE,Inferno Dragon
19752,FALSE,Lumberjack
19752,FALSE,Dark Prince
19752,FALSE,Skeleton Army
19752,FALSE,Wizard
19752,FALSE,Hog Rider
19752,FALSE,Tesla
19752,FALSE,Zap
19568,TRUE,Minion Horde
19568,TRUE,Golem
19568,TRUE,Mega Knight
19568,TRUE,Minions
19568,TRUE,Electro Wizard
19568,TRUE,Goblin Gang
19568,TRUE,Goblin Barrel
19568,TRUE,The Log
19410,TRUE,Knight
19410,TRUE,Princess
19410,TRUE,Ice Spirit
19410,TRUE,Goblin Gang
19410,TRUE,Inferno Tower
19410,TRUE,Rocket
19410,TRUE,Goblin Barrel
19410,TRUE,Barbarian Barrel
19797,TRUE,Ram Rider
19797,TRUE,Zap
19797,TRUE,Princess
19797,TRUE,Baby Dragon
19797,TRUE,Wizard
19797,TRUE,Skeleton Army
19797,TRUE,Electro Dragon
19797,TRUE,Bomber
18538,FALSE,Witch
18538,FALSE,Bandit
18538,FALSE,Barbarian Barrel
18538,FALSE,Dart Goblin
18538,FALSE,Elixir Collector
18538,FALSE,Princess
18538,FALSE,Skeleton Army
18538,FALSE,Lava Hound
18450,FALSE,Lava Hound
18450,FALSE,Baby Dragon
18450,FALSE,Bats
18450,FALSE,Skeleton Army
18450,FALSE,Giant Snowball
18450,FALSE,Clone
18450,FALSE,Lumberjack
18450,FALSE,Flying Machine
18657,TRUE,Hunter
18657,TRUE,Skeleton Army
18657,TRUE,Valkyrie
18657,TRUE,Arrows
18657,TRUE,Baby Dragon
18657,TRUE,Magic Archer
18657,TRUE,Fireball
18657,TRUE,Lava Hound
18580,FALSE,Goblin Barrel
18580,FALSE,Barbarian Barrel
18580,FALSE,Elixir Collector
18580,FALSE,Skeleton Army
18580,FALSE,Goblin Gang
18580,FALSE,Ice Golem
18580,FALSE,Prince
18580,FALSE,Baby Dragon
19035,FALSE,Rage
19035,FALSE,Ice Wizard
19035,FALSE,Elite Barbarians
19035,FALSE,Witch
19035,FALSE,Magic Archer
19035,FALSE,Clone
19035,FALSE,Wizard
19035,FALSE,Skeleton Army
19569,TRUE,P.E.K.K.A
19569,TRUE,Fisherman
19569,TRUE,Wizard
19569,TRUE,Fireball
19569,TRUE,Zap
19569,TRUE,Valkyrie
19569,TRUE,Ice Wizard
19569,TRUE,Mega Minion
19435,FALSE,Zap
19435,FALSE,Giant Skeleton
19435,FALSE,Balloon
19435,FALSE,Lumberjack
19435,FALSE,Baby Dragon
19435,FALSE,Ice Wizard
19435,FALSE,Inferno Dragon
19435,FALSE,Wizard
18490,TRUE,Princess
18490,TRUE,Prince
18490,TRUE,Goblin Barrel
18490,TRUE,Mega Minion
18490,TRUE,The Log
18490,TRUE,Fisherman
18490,TRUE,Skeleton Army
18490,TRUE,Inferno Tower
19268,TRUE,Zap
19268,TRUE,Mega Knight
19268,TRUE,Goblin Gang
19268,TRUE,Bats
19268,TRUE,Ice Golem
19268,TRUE,Poison
19268,TRUE,Hog Rider
19268,TRUE,Inferno Dragon
19297,FALSE,The Log
19297,FALSE,Giant Skeleton
19297,FALSE,Electro Wizard
19297,FALSE,Executioner
19297,FALSE,Bandit
19297,FALSE,Ice Wizard
19297,FALSE,Mega Knight
19297,FALSE,Lumberjack
19846,FALSE,Princess
19846,FALSE,Valkyrie
19846,FALSE,Skeleton Army
19846,FALSE,Dart Goblin
19846,FALSE,Baby Dragon
19846,FALSE,Wizard
19846,FALSE,Fireball
19846,FALSE,Giant Skeleton
18740,FALSE,Skeleton Army
18740,FALSE,Hog Rider
18740,FALSE,Witch
18740,FALSE,Goblin Gang
18740,FALSE,Wizard
18740,FALSE,Minion Horde
18740,FALSE,Dark Prince
18740,FALSE,Zap
18573,TRUE,Skeleton Army
18573,TRUE,Archers
18573,TRUE,Wizard
18573,TRUE,Barbarians
18573,TRUE,Minion Horde
18573,TRUE,P.E.K.K.A
18573,TRUE,Musketeer
18573,TRUE,Rage
19487,TRUE,Hunter
19487,TRUE,Goblin Barrel
19487,TRUE,Tornado
19487,TRUE,Prince
19487,TRUE,Wall Breakers
19487,TRUE,Baby Dragon
19487,TRUE,Skeleton Army
19487,TRUE,Witch
19156,TRUE,Elite Barbarians
19156,TRUE,Electro Wizard
19156,TRUE,Inferno Dragon
19156,TRUE,Archers
19156,TRUE,Ice Wizard
19156,TRUE,Knight
19156,TRUE,Zap
19156,TRUE,The Log
12366,TRUE,Musketeer
12366,TRUE,Zap
12366,TRUE,Fire Spirits
12366,TRUE,Elite Barbarians
12366,TRUE,Mini P.E.K.K.A
12366,TRUE,Hog Rider
12366,TRUE,Minion Horde
12366,TRUE,Princess
19030,FALSE,Miner
19030,FALSE,Lumberjack
19030,FALSE,Inferno Dragon
19030,FALSE,Mega Knight
19030,FALSE,Skeleton Army
19030,FALSE,Wizard
19030,FALSE,Zap
19030,FALSE,Dark Prince
19911,FALSE,Skeleton Army
19911,FALSE,Goblin Barrel
19911,FALSE,Valkyrie
19911,FALSE,Arrows
19911,FALSE,Wizard
19911,FALSE,The Log
