Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date,AgeClassInd
Yuriy Lobachyov,74.5,70-74,88.6,125,85,170,380,1,247.68,244.56,234.55,50.91,2013-04-04,0
Gregory Stacherski,71,70-74,79.83,90.72,95.25,136.08,322.05,1,222.35,220.16,212.15,45.47,2020-09-19,0
Peter Signori,76,75-79,87.4,117.5,80,142.5,340,1,223.18,220.41,211.52,45.86,2022-09-03,0
Naveen Chand Kapoor,75.5,75-79,61.75,62.5,45,82.5,190,2,156.68,157.91,153.96,30.68,2023-07-12,0
Clément Triay,77,75-79,75,110,75,130,315,1,225.99,224.46,216.88,45.92,2025-02-22,0
Jorge Gambetta,78.5,75-79,79.5,120,70,170,360,1,249.16,246.75,237.82,50.94,2017-12-07,0
Dave Quevreaux,76,75-79,84.5,70,92.5,120,282.5,1,188.82,186.61,179.36,38.75,2008-07-25,0
Janos Fabri,75.5,75-79,80.22,160,77.5,240,477.5,2,328.73,325.43,313.52,67.25,2021-09-23,0
Derek Mason,79.5,75-79,58.95,68,64,105,237,1,202.98,205.45,200.82,39.23,2019-06-01,0
Louis Lykins,79,75-79,94.28,70,65,75,210,1,132.75,131.08,125.39,27.29,2025-12-06,0
Patraic Currey,76,75-79,82.22,25,25,25,75,1,50.9,50.35,48.45,10.43,2019-07-06,0
Mashsoud Sattarzadeh,77.5,75-79,102.8,170,90,175,435,1,264.63,261.93,250.11,44.9,2018-05-02,0
髙橋 忠廣,75.5,75-79,65.3,120,90,150,360,2,284.32,285.17,277.25,56.44,2018-11-23,0
William Peters #1,78,75-79,75,122.5,77.5,147.5,347.5,1,249.3,247.61,239.26,42.69,1992-11-07,0
Gary Shepherd,75,75-79,88.66,135,65,125,325,1,211.76,209.09,200.53,43.53,2025-12-13,0
Al Eike,77,75-79,81.3,110,45,150,305,1,208.34,206.15,198.48,42.66,2022-03-19,0
古市 三郎,76,75-79,64.75,125,82.5,155,362.5,3,288.12,289.19,281.27,57.08,2019-09-14,0
Volodymyr Burlakov,75.5,75-79,87.2,145,140,220,505,1,331.89,327.78,314.59,56.7,2003-04-03,0
Larry Edwards,75,75-79,66,75,65,105,245,1,191.96,192.37,186.93,38.19,2025-12-07,0
Gérard Tisseur,79,75-79,87.71,135,65,135,335,3,219.49,216.76,207.98,45.11,2021-10-02,0
Mark Hurling,75,75-79,108.4,115,92.5,157.5,365,1,217.39,215.79,206.16,44.41,2025-10-25,0
大澤 充,79.5,75-79,63.4,120,80,140,340,1,274.63,276.15,268.87,46.88,2021-04-24,0
