fighter_name,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birthyear,height_inches
Olivier Aubin-Mercier,155,70,Southpaw,2.48,51,2.97,55,2.36,33,70,0.5,1989,69
Marcus Aurelio,155,74,Orthodox,1.42,33,2.27,59,1.69,27,27,1.3,1973,70
Blas Avena,170,74,Orthodox,2.34,47,3.36,43,2.37,80,50,1.8,1983,72
Julia Avila,135,68,Orthodox,3.1,41,2.9,54,0.49,50,60,0,1988,67
Abu Azaitar,185,76,Orthodox,3.2,37,1.27,57,1,100,25,0,1986,69
Jessin Ayari,155,73,Orthodox,3.53,37,3.59,58,0,0,50,0.3,1992,72
Ottman Azaitar,155,71,Switch,8.43,57,1.76,67,0,0,100,0,1990,68
Hunter Azure,145,69,Orthodox,4.17,52,1.99,62,2.52,45,76,1.4,1992,68
Miguel Baeza,170,74,Orthodox,4.64,55,3.89,50,0.8,40,100,1.2,1992,74
Ali Bagautinov,125,65,Orthodox,2.85,42,3.09,52,2.51,36,65,0.3,1985,64
Seth Baczynski,170,75,Orthodox,3.08,31,3.14,51,0.89,16,48,0.8,1981,75
Ryan Bader,205,74,Orthodox,2.82,43,1.39,71,3.37,44,80,0.4,1983,74
Melsik Baghdasaryan,145,70,Southpaw,6.8,64,3.8,53,0,0,75,0,1992,69
Siyar Bahadurzada,170,73,Orthodox,2.91,40,3.23,49,1.32,61,62,0.3,1984,71
Ignacio Bahamondes,170,75,Orthodox,8.78,54,2.66,67,0,0,100,0,1997,75
Oluwale Bamgbose,185,78,Switch,2.45,48,2.7,55,0.94,33,37,0,1987,71
Shamar Bailey,155,75,Southpaw,1.56,20,3.91,69,1.5,33,37,0,1982,69
Humberto Bandenay,145,71,Southpaw,2.22,41,4.79,41,2.9,46,62,0.5,1994,71
Tae Hyun Bang,155,71,Switch,2.72,38,2.07,66,0.49,33,57,0.5,1983,69
Maycee Barber,125,65,Switch,5.21,52,3,50,1.44,40,80,0.2,1998,65
Antonio Banuelos,135,63,Orthodox,2.69,33,3.15,58,1.62,62,86,0.4,1979,65
Bryan Barberena,170,72,Southpaw,5.48,48,4.7,45,0.23,28,60,0.5,1989,72
Renan Barao,145,70,Orthodox,3.78,36,3.9,57,1.49,41,91,0.5,1987,66
Edson Barboza,145,75,Orthodox,3.98,43,4.03,60,0.44,44,78,0.1,1986,71
Raoni Barcelos,135,67,Orthodox,5.59,52,4.17,67,2.23,56,85,0.7,1987,67
Luke Barnatt,185,77,Orthodox,4.43,36,3.87,59,0.63,42,63,0.4,1988,78
Phil Baroni,170,72,Orthodox,2.77,45,3.93,40,1.46,47,60,0.5,1976,69
Josh Barnett,250,78,Orthodox,3.2,50,2.11,57,1.26,55,55,1.4,1977,75
Peter Barrett,145,73,Southpaw,4.18,61,4.32,42,1.39,22,66,0,1986,70
Marc-Andre Barriault,185,74,Orthodox,4.25,46,4.12,57,0.55,28,69,0,1990,73
Francimar Barroso,205,75,Orthodox,2.77,52,3.07,59,2.22,24,83,0,1980,73
Enrique Barzola,145,70,Orthodox,3.91,41,2.97,68,4.2,45,66,0.3,1989,67
Pat Barry,235,74,Orthodox,2.72,52,3.54,59,0,0,76,0.2,1979,71
Batgerel Danaa,135,70,Orthodox,5.66,38,2.61,58,0,0,57,0,1989,67
Alan Baudot,243,79,Orthodox,1.89,25,10.11,36,0,0,0,0,1988,75
Mario Bautista,135,69,Switch,5.71,45,4.78,54,0.48,33,70,0,1993,69
Chris Beal,125,69,Orthodox,3.45,35,3.18,61,1.6,58,78,0.2,1985,67
Ariel Beck,125,66,Southpaw,4.44,34,4.31,64,0,0,0,0,1990,66
Chase Beebe,135,67,Orthodox,2.17,38,1.64,69,2.49,42,41,0.9,1985,67
Johnny Bedford,135,71,Orthodox,4.53,50,1.75,63,1.83,62,62,0,1983,70
Mirsad Bektic,145,70,Orthodox,2.43,41,1.8,57,3.98,52,92,0.4,1991,68
Diana Belbita,125,68,Orthodox,5.81,39,6.49,52,1.69,66,64,0,1996,67
Alan Belcher,185,75,Orthodox,2.7,41,3.1,59,0.44,26,55,0.9,1984,74
Danilo Belluardo,155,74,Southpaw,1.52,61,4.79,41,3.5,100,50,0,1994,72
Vitor Belfort,185,74,Southpaw,1.59,46,2.83,50,1.02,60,53,0.6,1977,72
Joey Beltran,185,75,Orthodox,4.92,36,5.27,54,0.48,18,75,0,1981,73
Marco Beltran,125,69,Orthodox,2.07,37,1.93,63,0.7,50,46,0.2,1986,68
Joseph Benavidez,125,65,Southpaw,3.52,34,2.67,61,1.41,30,62,0.6,1984,64
Gabriel Benitez,155,71,Southpaw,4.38,38,3.26,70,0.17,50,56,1.2,1988,68
DeAnna Bennett,125,68,Orthodox,3.13,58,3.27,58,0,0,0,1,1984,64
Lance Benoist,170,72,Southpaw,3.68,51,2.7,56,1.5,33,61,0,1988,71
Ryan Benoit,125,68,Orthodox,2.95,41,3.4,60,0.33,25,70,0.5,1989,65
Kenneth Bergh,205,74,Orthodox,4.56,75,1.27,28,0,0,0,0,1989,74
Dennis Bermudez,155,66,Orthodox,4.42,46,3.07,59,3.89,40,82,1.1,1986,66
Talita Bernardo,135,68,Orthodox,3.12,42,4.04,55,1.62,22,28,0.5,1987,64
Manny Bermudez,145,71,Orthodox,2.92,61,2.68,46,3.06,54,0,3.1,1994,70
Khadzhi Bestaev,185,76,,6.15,29,10,43,0,0,0,0,1988,78
Matt Bessette,145,70,Orthodox,4.36,41,4.45,58,0.64,28,61,0.3,1984,70
Arjan Bhullar,245,75,Orthodox,2.33,56,3.25,59,1.73,75,100,0,1986,73
Bibulatov Magomed,125,65,Orthodox,3.6,51,1.83,52,2.85,40,75,0,1988,65
KB Bhullar,185,78,Switch,1.18,13,10,37,0,0,0,0,1991,76
David Bielkheden,155,71,Orthodox,1.11,57,1.64,54,2.65,63,14,0,1979,70
Anthony Birchak,135,69,Orthodox,4.23,36,3.06,60,0.6,16,73,0,1986,68
Michael Bisping,185,75,Orthodox,4.33,38,2.71,65,1.05,43,63,0.3,1979,73
Jan Blachowicz,205,78,Orthodox,3.59,49,2.79,53,1.18,53,65,0.2,1983,74
Brad Blackburn,170,73,Orthodox,4.55,35,3.59,65,0.93,50,76,0.7,1977,70
Maximo Blanco,145,71,Orthodox,4.11,44,3.19,66,1.85,36,63,0.3,1983,68
Sherrard Blackledge,155,75,Orthodox,3.7,49,3.13,55,4,33,42,0,1993,71
Curtis Blaydes,265,80,Orthodox,3.59,53,1.7,57,6.64,54,33,0,1991,76
Kyle Bochniak,145,70,Orthodox,2.63,31,5.11,58,1.14,15,62,0,1987,67
Mark Bocek,155,75,Orthodox,2.34,43,2.32,60,3.65,36,31,1.3,1981,68
James Bochnovic,205,81,Orthodox,0.65,26,3.64,21,0,0,0,0,1989,76
Galore Bofando,170,72,Switch,3.63,45,3.63,54,2.37,100,50,0,1982,71
Tim Boetsch,185,74,Orthodox,2.93,50,2.9,57,1.45,34,59,0.8,1981,72
Roman Bogatov,155,73,Orthodox,3.33,42,4.4,44,1,9,50,0,1990,68
Rogerio Bontorin,125,67,Orthodox,2.19,50,3.12,38,1.9,40,51,1.6,1992,65
Stephan Bonnar,205,79,Orthodox,2.76,38,3.01,52,1.32,40,60,1,1977,76
Ray Borg,135,63,Orthodox,1.52,52,1.93,48,3.89,50,46,1,1993,64
Tanner Boser,255,75,Orthodox,4.54,55,2.7,63,0,0,100,0,1991,74
Steve Bosse,205,72,Orthodox,5.99,52,5.38,50,0.92,33,100,0,1981,71
Poliana Botelho,115,67,Orthodox,3,56,3.08,50,0.89,100,80,0,1988,68
Kyron Bowen,185,73,Orthodox,2.73,57,2.05,40,0,0,0,0,1993,75
Brian Bowles,135,70,Orthodox,2.36,26,2.98,64,1.39,70,54,1.4,1980,67
Roger Bowling,155,68,Orthodox,3.9,47,3.86,51,3.09,43,27,0.9,1982,69
Kyle Bradley,155,71,Orthodox,1.99,40,3.45,58,0.65,50,40,0,1982,69
Sean Brady,170,72,Orthodox,4.72,55,3.6,63,2.69,60,100,1.2,1992,70
Ramiz Brahimaj,170,72,Orthodox,3.73,36,6.14,55,0,0,100,0,1992,70
David Branch,185,78,Orthodox,1.66,39,1.91,56,2.55,32,43,0,1981,73
Martin Bravo,145,71,Southpaw,7.66,39,5.72,51,2.6,35,85,0,1993,68
Diego Brandao,145,64,Orthodox,2.94,47,3.38,62,3.21,68,80,0.6,1987,67
Tom Breese,185,73,Southpaw,3.34,50,2.81,60,0,0,70,1.1,1991,75
Mike Breeden,155,70,Orthodox,4,34,5.87,47,0,0,77,0,1989,70
Charlie Brenneman,155,70,Orthodox,1.52,56,1.55,46,4.23,42,72,0,1981,70
Marcos Brigagao,205,76,Southpaw,3.07,43,3.27,25,0,0,36,0,1996,75
Jason Brilz,205,71,Orthodox,2.66,40,1.78,65,2.37,25,25,1.3,1975,71
Marcus Brimage,135,71,Southpaw,3.97,35,3.64,56,0.56,100,80,0,1985,64
Henry Briones,135,69,Orthodox,3.47,42,4.68,53,0,0,52,0.6,1980,68
Antwain Britt,205,77,,1.46,39,2.81,44,1.56,40,50,0,1978,73
Jonathan Brookins,145,74,Southpaw,2.69,39,3.63,56,1.94,17,80,0.3,1985,72
Will Brooks,155,72,Orthodox,4.26,59,2.54,56,2.08,51,82,0.3,1986,70
Jarred Brooks,125,62,Switch,2.12,46,1.66,62,4.54,57,69,0.6,1993,63
Rob Broughton,265,74,Orthodox,2.83,60,2.54,51,0,0,26,3.2,1983,74
Mike Brown,145,70,Orthodox,2.98,44,2.45,60,3.23,40,66,0.6,1975,66
Matt Brown,170,75,Orthodox,3.69,54,2.67,55,1.56,44,63,1.4,1981,72
TJ Brown,145,72,Switch,3.22,42,2.21,50,4.92,60,40,0.4,1990,69
Damien Brown,155,68,Orthodox,3.66,38,4.86,50,0.68,27,53,0.7,1984,70
Randy Brown,170,78,Orthodox,3.67,47,2.8,53,1,46,71,0.6,1990,75
Travis Browne,255,79,Orthodox,2.93,41,4.31,42,1.21,68,75,0.2,1982,78
Cody Brundage,205,72,Orthodox,7.97,82,6.29,6,6.29,33,0,0,1994,72
Derek Brunson,185,77,Southpaw,3.46,47,2.72,53,3.11,33,94,0.5,1984,73
Justin Buchholz,155,73,Orthodox,2.35,26,4.14,51,0,0,33,0.8,1983,72
Julia Budd,145,67,,2.42,74,1.18,47,3.6,57,83,0,1983,67
Joaquin Buckley,185,76,Southpaw,4.58,36,5.46,51,0.6,16,100,0,1994,70
Mike Budnik,145,68,Orthodox,0.65,52,0.95,53,0,0,0,3.4,1974,69
Mayra Bueno Silva,135,66,Orthodox,4.06,57,4.89,47,0,0,73,1.6,1991,66
Paul Buentello,245,77,Orthodox,3.29,45,3.83,52,0.19,33,39,0.4,1974,74
Modestas Bukauskas,205,78,Switch,3.56,37,5.7,42,0,0,100,0,1994,75
Wuliji Buren,135,69,Orthodox,1.63,42,2.96,56,3.38,42,71,0.4,1989,69
Shane Burgos,145,75,Orthodox,7.31,50,5.81,60,0.3,100,89,0.1,1991,71
Joshua Burkman,170,72,Orthodox,2.69,43,3.13,51,2.53,36,72,0.3,1980,70
Mads Burnell,145,69,Orthodox,1.28,41,2.71,51,3.45,47,22,0.4,1994,68
Kevin Burns,170,74,Orthodox,2.74,38,4.3,52,0.28,50,47,0.8,1980,70
Herbert Burns,145,73,Orthodox,1.67,45,5.02,33,4.64,83,75,2.8,1988,69
Gilbert Burns,170,71,Orthodox,3.22,45,3.04,54,2.08,35,50,0.7,1986,70
Cheyanne Buys,115,63,Switch,4.1,53,1.67,65,0,0,60,0,1995,63
JP Buys,125,67,Orthodox,2.66,45,3.05,43,2.22,50,33,2.2,1996,65
Dennis Buzukja,145,71,Switch,3.8,46,6.8,35,2,25,100,1,1997,69
Charles Byrd,185,73,Orthodox,3.43,55,2.63,55,2.5,50,40,1.5,1983,70
Yan Cabral,155,73,Orthodox,2.02,47,1.98,62,2.89,35,37,1.2,1983,71
Alex Caceres,145,73,Southpaw,4.1,50,2.82,65,0.57,78,64,0.8,1988,70
Vince Cachero,145,68,Orthodox,3.29,45,6.51,43,0,0,18,0.5,1989,66
Priscila Cachoeira,135,65,Orthodox,3.84,37,7.93,42,0,0,69,0,1988,67
Joanne Calderwood,125,65,Orthodox,6.59,49,4.4,53,1.8,55,58,0.5,1985,66
Cynthia Calvillo,125,64,Orthodox,4.18,41,3.52,67,1.85,44,71,1.1,1987,64
Frank Camacho,170,73,Orthodox,6.67,46,7.31,52,1.17,45,72,0,1989,70
Fabricio Camoes,155,71,Orthodox,1.29,33,1.85,61,2.34,32,20,1.5,1978,70
Chris Camozzi,185,75,Orthodox,3.57,44,2.96,56,0.27,19,57,0.5,1986,74
Brian Camozzi,170,78,Orthodox,3.15,26,6.39,54,0,0,0,0.7,1991,74
Shane Campbell,155,71,Orthodox,3.99,59,3.19,55,1.36,28,82,0,1987,72
Will Campuzano,125,70,Orthodox,2.43,31,3.82,57,0.88,45,48,0.2,1986,69
Chico Camus,125,66,Orthodox,2.58,41,2.46,64,0.77,40,72,0.4,1985,66
Aleksa Camur,205,74,Orthodox,3.94,54,2.49,57,0.84,33,20,0,1995,73
Carlos Candelario,125,67,Southpaw,3.87,47,1.67,57,0,0,46,0,1991,68
Guido Cannetti,135,68,Southpaw,2.85,51,2.17,50,2.64,50,75,0.3,1979,66
Luiz Cane,185,77,Southpaw,4.79,41,5,60,0.56,28,100,0.3,1981,74
Jared Cannonier,185,77,Switch,3.7,52,3.09,64,0.16,33,54,0,1984,71
Phil Caracappa,135,70,Orthodox,2.93,50,4.07,29,1,8,100,1,1992,68
Steve Cantwell,185,75,Orthodox,3.63,34,5.76,55,0.65,30,80,0.7,1986,74
Bryan Caraway,135,68,Orthodox,2.53,34,3.61,54,2.57,25,80,0.8,1984,68
Chris Cariaso,125,64,Southpaw,3.35,43,2.23,61,1.11,39,57,0.8,1981,63
Antonio Carlos Junior,185,79,Orthodox,1.95,42,2.14,52,3.42,39,53,0.8,1990,74
Spike Carlyle,145,71,Switch,2.55,54,3.85,30,3.34,36,57,0.5,1993,68
Francis Carmont,205,78,Orthodox,2.22,42,1.64,59,1.79,36,73,0.6,1981,75
Liz Carmouche,125,66,Orthodox,2.78,54,2.51,61,2.57,51,65,0.3,1984,66
Ariane Carnelossi,115,61,Orthodox,6.03,38,7.71,50,0,0,0,0,1992,62
Roan Carneiro,170,76,Orthodox,1.46,46,1.82,62,3.05,42,83,1.4,1978,71
Luana Carolina,125,69,Orthodox,6.29,50,3.75,47,0,0,100,2.4,1993,66
Antonio Carvalho,145,70,Orthodox,3.03,29,3.62,64,0,0,100,0,1979,69
Shane Carwin,265,80,Orthodox,4.38,47,3.53,53,1.42,33,42,0,1975,74
Johnny Case,155,72,Orthodox,3.95,38,2.66,61,1.7,45,72,0.2,1989,70
Kevin Casey,185,77,Southpaw,2.27,53,3.76,46,0.79,22,27,0.4,1981,71
Cortney Casey,125,67,Orthodox,4.33,38,4.19,52,0.28,27,38,0.6,1987,67
John Castaneda,135,71,Switch,4.17,49,5.07,55,0.86,25,60,0,1991,66
Danny Castillo,155,71,Orthodox,2.57,42,1.96,62,2.95,38,63,0.2,1979,69
Nick Catone,185,72,Southpaw,2.11,44,2.32,63,3.71,44,83,0.5,1981,72
Gesias Cavalcante,155,71,Orthodox,1.98,35,3.11,51,1.25,36,66,1.1,1983,68
Rafael Cavalcante,205,74,Orthodox,2.71,53,3.62,49,0.6,40,63,0.1,1980,73
Henry Cejudo,135,64,Orthodox,3.92,45,2.77,65,2.12,33,93,0.2,1987,64
Yosdenis Cedeno,155,69,Orthodox,1.64,29,1.6,67,0,0,31,0.3,1985,68
Magnus Cedenblad,185,79,Orthodox,2.38,51,3.02,40,2.87,64,66,1,1982,77
Luan Chagas,170,75,Orthodox,4.16,47,3.19,62,0.32,12,85,0.3,1993,72
Donald Cerrone,155,73,Orthodox,4.43,46,4.46,53,1.19,33,73,1.2,1983,73
Alex Chambers,115,63,Southpaw,2.97,54,5.1,50,2.31,41,53,1,1978,63
Michael Chandler,155,71,Orthodox,4.29,49,3.76,52,2.37,41,80,1.4,1986,68
Ernest Chavez,145,70,Orthodox,2.79,40,3.89,59,0.89,33,50,0,1983,68
Danny Chavez,145,67,Orthodox,2.93,39,4.17,53,2.5,100,84,0,1987,68
Mark Cherico,145,69,Orthodox,3.69,34,7.37,56,5.03,50,0,0,1986,67
Macy Chiasson,135,72,Orthodox,4.16,49,2.17,46,0.98,21,64,0.5,1991,71
Giga Chikadze,145,74,Orthodox,3.45,43,2.65,60,0.38,33,68,0,1988,72
Michael Chiesa,170,75,Southpaw,1.89,40,1.71,54,3.6,52,68,0.9,1987,73
Khamzat Chimaev,170,75,Orthodox,9.03,72,0.1,66,4.67,75,0,3.1,1994,74
Dooho Choi,145,70,Orthodox,5.32,51,6.38,53,0.41,20,50,0,1991,70
SeungWoo Choi,145,74,Orthodox,3.17,41,2.45,46,1.03,57,66,0,1992,72
John Cholish,155,74,Orthodox,2.65,49,2.29,73,1.82,31,78,0.4,1983,71
Joachim Christensen,205,76,Orthodox,3.78,41,3.29,46,0,0,0,0,1978,75
Ryo Chonan,170,70,Orthodox,2.57,43,2.25,60,0.61,41,39,0.3,1976,69
Katlyn Chookagian,125,68,Orthodox,4.22,34,4.23,63,0.27,15,51,0.5,1988,69
Cameron Church,155,72,Orthodox,4,40,4.93,50,0,0,60,1,1990,71
Hannah Cifers,115,62,Orthodox,4.99,44,5.39,52,0.26,100,64,0.3,1992,61
Misha Cirkunov,205,77,Orthodox,4.18,51,3.22,60,4.28,57,71,2.3,1987,75
Devin Clark,205,75,Orthodox,3.33,57,2.43,48,2.7,36,76,0.1,1990,72
Jessica-Rose Clark,125,64,Orthodox,4.68,51,3.98,60,1.01,55,73,0.4,1987,65
Heather Clark,115,64,Orthodox,3.69,49,5.62,50,0.33,4,80,0.3,1980,66
Rich Clementi,155,72,Southpaw,1.43,37,2.29,60,1.72,42,25,1.1,1976,69
Chris Clements,170,70,Orthodox,3.2,49,2.37,44,0,0,32,0.3,1976,70
Mitch Clarke,155,73,Orthodox,2.35,34,3.27,47,0.64,15,50,0.4,1985,70
Marloes Coenen,145,67,,2.15,51,1.9,67,0.82,30,41,2.5,1981,69
Felipe Colares,135,69,Orthodox,1.13,42,3,32,2,25,34,1,1994,68
Mark Coleman,205,75,Orthodox,1.88,52,2.62,40,3.89,40,50,0.8,1964,73
Clay Collard,145,73,Orthodox,4.22,32,5,50,2.81,39,71,0.5,1993,71
Jamie Colleen,115,65,Orthodox,3.11,61,5.66,33,0.52,33,50,1.6,1985,63
Jake Collier,230,78,Orthodox,4.92,41,4.09,53,0.57,23,67,0.4,1988,75
Carlos Condit,170,75,Orthodox,3.63,39,2.49,56,0.62,54,39,1,1984,74
Montserrat Conejo,115,61,Southpaw,1,36,2.07,52,4,80,0,2,1993,60
Tristan Connelly,170,68,Orthodox,4.27,51,2.13,57,0,0,60,1,1985,70
Michael Cora,170,77,Southpaw,0.8,28,0.13,66,0,0,25,0,1989,73
Amanda Cooper,115,64,Switch,3.55,44,3.2,51,1.53,38,28,1.8,1991,63
Akira Corassani,145,68,Orthodox,3.25,45,4.91,50,0.7,28,86,0,1982,68
Chris Cope,170,72,Orthodox,3.96,26,4.82,50,0,0,80,0,1983,72
Daniel Cormier,235,72,Orthodox,4.25,52,2.92,54,1.83,44,80,0.4,1979,71
Bethe Correia,135,64,Orthodox,4.39,44,4.56,58,0.44,20,84,0,1983,65
Louis Cosce,170,71,Orthodox,8.22,48,9.3,48,1.07,11,0,0,1995,69
Tracy Cortez,135,65,Orthodox,3.67,53,1.98,62,3,42,85,0,1993,65
Orion Cosce,170,71,Switch,4.56,62,1.97,56,1.02,100,70,0,1994,71
Randy Costa,135,73,Switch,7.88,47,5.26,58,0,0,100,0,1994,69
Paulo Costa,185,72,Orthodox,7.03,57,6.7,50,0,0,80,0,1991,73
Oscar Cota,230,72,Orthodox,0.33,41,2.47,41,0,0,60,1,1984,72
Patrick Cote,170,75,Orthodox,2.81,48,3.21,48,0.68,20,43,0.2,1980,71
Rashad Coulter,205,76,Orthodox,4.82,56,6.68,50,0,0,62,0,1981,71
Ryan Couture,155,73,Orthodox,3.54,45,2.87,54,1.55,29,46,1.3,1982,70
Colby Covington,170,72,Orthodox,4.12,38,2.86,55,4.61,50,75,0.1,1988,71
Nathan Coy,170,69,Southpaw,3.88,52,2.4,61,3.17,47,50,0,1978,70
Andrew Craig,170,76,Orthodox,2.39,40,3.01,50,0.53,37,72,0,1986,73
Paul Craig,205,76,Orthodox,2.4,49,2.43,49,2.11,26,55,1.5,1987,75
Tim Credeur,185,75,Orthodox,3.59,30,3.13,57,0.41,100,50,3.3,1977,75
Randy Couture,205,75,Orthodox,2.85,57,1.53,59,2.78,46,58,0.5,1963,73
Kevin Croom,155,73,Orthodox,1.35,36,3.22,31,0.97,6,50,1,1987,71
Ken Cross,155,72,Southpaw,2.2,57,1.4,55,1,12,66,0,1994,72
Jimmy Crute,205,74,Orthodox,4.36,57,2.31,54,4.33,75,60,2.4,1996,74
Dominick Cruz,135,68,Orthodox,3.65,32,2.42,72,2.99,46,83,0.1,1985,68
Aalon Cruz,145,78,Switch,7.58,39,8.88,58,0,0,0,0,1989,72
Luke Cummo,170,74,Orthodox,1.74,43,1.5,59,0.89,55,42,1.4,1980,72
Alton Cunningham,205,77,Orthodox,3.33,75,4.94,20,1.67,10,100,0,1993,74
Allen Crowder,245,76,Orthodox,2.95,51,2.95,56,1.85,33,100,1.2,1989,75
Josh Culibao,155,73,Orthodox,2.52,38,4.3,48,0,0,100,0,1994,70
Patrick Cummins,205,76,Orthodox,4.26,50,3.35,55,4.49,41,28,0.1,1980,74
Kailin Curran,115,65,Orthodox,3.89,43,4.75,53,2,57,61,0.6,1991,64
Jeff Curran,135,69,Orthodox,1.54,31,2.48,60,0.35,12,35,1.2,1977,66
Daron Cruickshank,155,72,Switch,2.88,38,2.98,57,2.04,41,60,0.2,1985,68
Ion Cutelaba,205,75,Southpaw,5.1,39,3.37,48,2.41,71,80,0,1993,73
Henrique da Silva,205,76,Orthodox,3.89,60,5.28,40,0.25,14,22,0.2,1989,75
Alex Da Silva,155,73,Orthodox,2.07,46,2.65,55,2.75,43,77,0.4,1996,68
Zak Cummings,185,75,Southpaw,2.58,32,2.83,55,0.68,28,65,0.7,1984,72
Nicolas Dalby,170,74,Orthodox,3.2,37,3.57,55,1.45,33,63,0,1984,71
Paul Daley,170,76,Orthodox,3.14,47,2.37,60,0.91,40,64,0,1983,69
Aisling Daly,115,64,Orthodox,2.92,52,1.4,55,2.15,41,33,0.9,1987,62
Rodrigo Damm,155,71,Orthodox,3.5,36,5.61,57,0.44,16,80,0.3,1980,67
Jarjis Danho,265,74,Orthodox,3.39,48,5.77,47,0.57,20,100,0,1983,75
Mac Danzig,155,70,Orthodox,3.39,48,3.44,57,1.2,37,46,0.6,1980,68
Karen Darabedyan,155,68,Orthodox,3.43,51,2.62,67,2.14,75,0,0,1986,67
Beneil Dariush,155,72,Southpaw,4,49,2.72,59,2.03,32,81,1,1989,70
Kyle Daukaus,185,76,Southpaw,3.69,59,2.16,42,2.33,41,94,1.7,1993,75
Chris Daukaus,250,76,Orthodox,11.78,61,3.22,65,0,0,100,0,1989,75
Marcus Davis,170,70,Southpaw,2.72,39,2.79,65,1.6,48,47,1.4,1973,70
LC Davis,135,69,Southpaw,2.04,30,2.1,59,2.27,46,66,0.2,1980,68
Phil Davis,205,79,Orthodox,2.85,34,1.33,72,2.99,38,72,0.6,1984,74
Mike Davis,145,72,Orthodox,6.24,53,6.76,57,1.39,33,69,0,1992,72
Alexis Davis,135,68,Orthodox,4.18,47,4.18,55,0.94,40,34,0.8,1984,66
Hakeem Dawodu,145,73,Orthodox,5.15,47,2.31,63,0,0,85,0,1991,68
Brandon Davis,135,72,Orthodox,4.65,35,4.33,60,0.71,45,56,0.1,1990,70
Grant Dawson,145,72,Switch,3.4,48,2.1,51,3.44,34,40,1.6,1994,70
Jason Day,185,72,Orthodox,3.61,54,3.46,47,1.13,100,0,0,1981,72
Martin Day,145,73,Orthodox,3.97,45,3.79,53,0.72,60,65,0.5,1988,70
Yorgan De Castro,250,74,Orthodox,2.61,44,3.9,55,0,0,75,0,1986,72
Geraldo de Freitas,135,72,Orthodox,3.67,52,2.62,50,3,45,59,0,1991,67
Philip De Fries,250,79,Orthodox,2.3,47,3,37,3.29,42,100,0.6,1986,77
Chris de la Rocha,250,80,Orthodox,4.08,45,6.37,43,2.02,30,33,1,1979,75
Montana De La Rosa,125,68,Orthodox,2.85,36,3.39,45,2.14,28,57,1.2,1995,67
Mark De La Rosa,135,65,Orthodox,3.13,35,5,48,0.54,13,40,0.2,1994,66
Mike de la Torre,145,71,Orthodox,3.21,39,4.75,51,0.36,16,83,0,1986,71
Isabela de Padua,125,64,Orthodox,1,35,2.07,50,2,66,0,1,1991,63
Germaine de Randamie,135,71,Orthodox,2.72,46,2.14,65,0,0,69,0.4,1984,69
Gloria de Paula,115,67,Orthodox,3.33,54,1.2,70,0,0,71,1,1995,65
Rolando Delgado,155,77,Orthodox,1.56,40,1.83,62,1.17,22,0,3.5,1981,75
Jon Delos Reyes,125,67,Orthodox,2.99,38,4.14,51,3.2,83,55,1.9,1987,66
Roland Delorme,135,71,Orthodox,2.28,44,4.32,40,2.51,34,42,1.6,1983,69
Vanessa Demopoulos,115,59,Orthodox,1.6,41,3.13,50,0,0,0,2,1988,62
Chris Dempsey,185,72,Orthodox,2.25,32,2.82,65,2.64,23,16,0,1987,70
Jason Dent,155,71,Orthodox,2.01,39,3.7,62,0,0,26,1.4,1980,70
Tony DeSouza,170,70,Southpaw,1.12,52,1.57,41,2.25,42,40,1.5,1974,72
Mackenzie Dern,115,63,Orthodox,3.74,38,3.81,61,0.28,5,0,2.2,1993,64
Alessio Di Chirico,185,74,Orthodox,3.3,41,3.24,62,1.62,45,83,0,1989,72
Micol Di Segni,115,60,Orthodox,7.47,40,5.87,33,0,0,37,0,1987,63
Cyrille Diabate,205,81,Southpaw,4.06,71,1.78,60,1.17,83,53,0.2,1973,78
Tyler Diamond,145,69,Orthodox,3.4,47,2.53,44,3,75,70,0,1991,67
Marc Diakiese,155,73,Orthodox,3.08,39,2.79,54,2.16,36,62,0,1993,70
Hacran Dias,155,69,Orthodox,2.08,41,3.31,55,2.5,39,76,0.5,1984,68
Nick Diaz,185,76,Southpaw,5.43,42,3.56,61,1.32,33,60,1,1983,73
Nate Diaz,170,76,Southpaw,4.62,45,3.78,53,1.19,30,42,1.4,1985,72
Seth Dikun,135,69,Orthodox,1.45,26,2.18,55,0,0,45,0.9,1980,70
TJ Dillashaw,125,67,Orthodox,5.37,41,3.03,65,1.68,37,86,1,1986,66
Matt Dixon,170,75,Switch,1.97,43,4.56,37,3.06,30,0,0,1995,70
Russell Doane,135,70,Orthodox,1.75,40,1.68,53,2.11,45,52,0.8,1986,67
Drew Dober,155,70,Southpaw,4.33,40,3.87,54,0.8,17,55,0.1,1988,68
Shana Dobson,125,69,Orthodox,3.34,37,5.2,50,0.84,50,14,0,1989,66
Joe Doerksen,185,75,Orthodox,1.43,42,2.79,50,2.02,33,33,2.3,1977,72
John Dodson,135,66,Orthodox,3.2,40,3.58,61,0.71,28,82,0,1984,63
CB Dollaway,185,76,Orthodox,2.65,47,2.58,54,3.55,54,62,1.2,1983,74
Cody Donovan,205,74,Orthodox,5.61,59,5.44,45,1.67,28,0,1.7,1981,75
Roman Dolidze,205,76,Orthodox,2.98,51,1.75,61,1.75,50,33,2.2,1988,74
Anderson Dos Santos,135,70,Orthodox,2.66,28,4.8,55,1.3,18,66,0.9,1985,65
