fighter_name,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birthyear,height_inches
Zubaira Tukhugov,145,68,Orthodox,2.54,38,2.53,63,2.54,46,100,0,1991,68
Albert Tumenov,170,73,Orthodox,3.76,42,3.34,58,0.2,20,75,0,1991,71
Ricky Turcios,135,71,Orthodox,7.33,37,4.07,64,0,0,0,0,1993,69
Wellington Turman,185,72,Orthodox,2.75,42,3.71,45,2.63,35,100,0.9,1996,72
Jalin Turner,155,77,Southpaw,6.2,47,4.37,45,0.71,66,78,1.8,1995,75
Marcin Tybura,249,78,Orthodox,3.7,50,3.25,56,1.62,45,82,0.1,1985,75
Carlos Ulberg,205,77,Orthodox,15.07,62,8.6,47,0,0,100,0,1990,76
Tagir Ulanbekov,125,70,Southpaw,3.07,37,3.13,58,5,45,50,0,1991,67
Gasan Umalatov,170,71,Orthodox,2.23,39,4.1,59,0.75,17,90,0,1982,71
Caol Uno,155,70,Southpaw,1.91,49,1.9,50,1.95,31,37,0.5,1975,67
Hector Urbina,170,73,Orthodox,0.97,38,2.44,39,0,0,38,3.8,1987,71
Elias Urbina,185,77,Southpaw,3.85,37,6.17,50,0,0,0,0,1993,75
Nick Urso,125,66,Southpaw,3.61,45,5.06,36,0,0,0,0,1985,66
Kamaru Usman,170,76,Switch,4.66,54,2.33,58,3.22,47,100,0.1,1987,72
Darren Uyenoyama,125,65,Orthodox,1.34,39,2.21,66,1.42,33,35,0.7,1979,66
Charlie Valencia,135,64,Orthodox,2.58,37,2.61,77,1.4,53,75,0.5,1974,63
Richie Vaculik,125,69,Orthodox,3.69,46,4.09,57,3,45,31,1,1983,66
Timur Valiev,145,67,Orthodox,5.5,71,1.55,56,2.73,66,50,0,1990,66
Isaac Vallie-Flagg,155,70,Orthodox,5.56,47,5.6,45,0.2,12,58,0,1978,68
Brianna Van Buren,115,62,Southpaw,3.53,41,3.23,57,2.5,45,66,0,1993,60
Jared Vanderaa,260,80,Orthodox,2.75,52,5.19,33,1.15,100,0,0,1992,76
Lando Vannata,155,71,Orthodox,4.58,44,5.1,54,1.13,37,58,0.4,1992,69
Paige VanZant,115,65,Orthodox,3.35,52,2.62,42,1.27,33,34,1,1994,64
Kazula Vargas,155,71,Southpaw,1.84,49,1.16,54,0.79,33,25,0,1985,68
Jamie Varner,155,71,Orthodox,2.92,34,2.55,58,3.49,53,66,0.8,1984,68
Javier Vazquez,145,69,Southpaw,2.43,36,1.99,72,2.56,52,57,1.5,1977,67
Manny Vazquez,125,72,Orthodox,1.47,41,2.67,48,1,33,0,1,1993,70
Luigi Vendramini,170,73,Orthodox,2.26,42,2.26,59,0,0,0,2,1996,68
Bojan Velickovic,170,76,Southpaw,2.18,34,2.31,57,0.67,25,55,0.5,1988,72
Cain Velasquez,240,77,Orthodox,6.37,57,2.33,57,5.13,45,85,0.4,1982,73
Karlos Vemola,185,75,Orthodox,1.67,44,2.13,37,1.93,25,31,1.7,1985,72
Brandon Vera,230,78,Orthodox,3.03,56,2.81,52,0.7,53,59,0.2,1977,75
Marlon Vera,135,70,Switch,3.65,49,3.95,52,0.78,37,70,1.1,1992,68
Marvin Vettori,185,74,Southpaw,4.78,45,3.19,66,1.33,45,78,0.8,1993,72
Hugo Viana,135,67,Orthodox,3.05,38,3.2,57,0.22,6,50,0,1982,66
Polyana Viana,115,67,Orthodox,3.71,41,3.01,54,1.12,33,50,3.4,1992,65
James Vick,155,76,Orthodox,4.13,39,3.31,60,0.26,33,57,0.7,1987,75
Ketlen Vieira,135,68,Orthodox,2.66,36,3.84,53,2.19,48,92,0.5,1991,68
Reginaldo Vieira,135,65,Orthodox,3.76,40,2.89,59,1.97,27,25,0.8,1982,67
Rodolfo Vieira,185,73,Orthodox,1.66,42,3.06,42,7,47,0,1.6,1989,72
Gian Villante,230,76,Orthodox,4.39,43,5.48,55,0.46,23,83,0,1985,75
Ike Villanueva,225,73,Orthodox,3.62,40,6.93,37,0,0,0,0,1984,73
Armando Villarreal,135,66,Southpaw,3.23,55,4.3,52,3.23,25,0,0,1989,67
Yuri Villefort,170,73,Orthodox,3.18,43,5.42,55,2,35,40,0.3,1991,72
Brandon Visher,135,68,Orthodox,2.55,45,3.76,42,0.67,20,0,0,1984,66
Bobby Voelker,170,74,Orthodox,4.01,35,5.84,42,1.04,50,66,0,1979,72
Alexander Volkanovski,145,71,Orthodox,6.02,55,3.31,60,2.09,34,72,0.3,1988,66
Jacob Volkmann,155,71,Southpaw,1.19,34,1.78,52,3.19,48,52,2,1980,69
Alexander Volkov,250,80,Orthodox,4.88,59,2.48,56,0.66,70,66,0.2,1988,79
Chris Wade,155,70,Orthodox,1.7,53,1.75,51,2.6,51,55,1.1,1987,70
TJ Waldburger,170,75,Orthodox,2.02,51,2.39,40,3.03,46,40,4.8,1988,71
Chase Waldon,185,75,Orthodox,1.03,28,6.72,38,7.76,33,0,0,1986,73
Rodney Wallace,205,72,Switch,1.13,46,3.44,45,6,54,28,1,1981,69
Johnny Walker,205,82,Orthodox,4.41,72,3.51,31,0.4,100,60,1.2,1992,78
James Wallace,155,69,Orthodox,0.52,28,3.41,35,0,0,0,0,1992,70
Randall Wallace,185,73,Orthodox,1.13,38,4.11,45,2.13,50,0,0,1989,71
Richard Walsh,170,73,Orthodox,3.84,46,2.72,58,1.55,40,66,0.2,1988,72
Curt Warburton,155,73,Orthodox,2.13,42,3.44,43,2.35,50,83,0.9,NA,72
Brennan Ward,170,71,,7.2,60,2.76,52,0,0,100,3.6,1988,70
Terrion Ware,135,71,Orthodox,4.02,32,6.07,50,0.5,22,44,0,1986,68
Dominic Waters,170,79,Orthodox,0.48,23,2.53,39,4.07,52,28,0,1989,73
Michelle Waterson,115,62,Orthodox,3.58,49,4,49,1.52,34,67,0.9,1986,63
Walel Watson,135,75,Orthodox,2.1,29,3.79,43,0,0,61,1.4,1984,71
Tom Watson,185,73,Orthodox,4.01,44,4.41,50,0.15,7,43,0,1982,73
Brok Weaver,155,73,Southpaw,4.78,64,4.35,46,0.41,10,66,0.4,1991,72
Royston Wee,135,67,Orthodox,1.1,60,2.45,49,3.38,81,0,0,1986,67
Daniel Weichel,145,70,,5.71,42,4.05,61,0.84,50,83,0,1984,70
Chris Weidman,185,78,Orthodox,3.03,43,3.15,52,3.93,47,65,0.9,1984,74
Christian Wellisch,234,77,Orthodox,3.12,27,3.04,56,1.22,42,45,1.2,1975,74
Fabricio Werdum,231,77,Orthodox,3.59,52,2.64,55,1.75,31,31,1.2,1977,76
Sheldon Westcott,170,71,Southpaw,2.26,40,3.73,37,3.23,37,14,0,1984,73
Coty Wheeler,135,67,Orthodox,1.88,22,3.16,59,0.87,37,33,2.6,1978,66
Alex White,155,71,Southpaw,3.76,42,3.07,60,0.92,28,71,0.5,1988,72
Robert Whiteford,145,69,Southpaw,2.33,46,1.99,62,1.9,30,45,0,1983,69
Craig White,170,76,Orthodox,1.23,40,3.28,39,0,0,50,0.8,1990,74
Garett Whiteley,155,72,Orthodox,3.72,48,4.04,46,0,0,27,0.9,1980,72
Emily Whitmire,115,63,Orthodox,2.71,30,3.08,54,1.1,50,70,0.6,1991,65
Robert Whittaker,185,73,Orthodox,4.52,40,3.44,60,0.43,27,84,0,1990,72
Adam Wieczorek,250,81,Orthodox,1.68,38,1.87,48,0.41,33,58,0.4,1992,77
Mike Wilkinson,145,66,Orthodox,2.35,38,3.7,35,0.92,14,55,0.9,1987,67
Rob Wilkinson,185,80,Orthodox,2.74,50,5.66,39,4.47,25,0,0,1992,75
James Wilks,170,75,Orthodox,1.82,45,2.03,50,1.27,22,66,3.8,1978,73
Patrick Williams,135,73,Orthodox,4.12,51,4.12,52,2.71,41,100,0.5,1981,68
Tim Williams,185,76,Orthodox,3.07,38,3.55,48,1.81,40,100,0,1986,74
Jordan Williams,185,75,Southpaw,6.07,51,5.77,35,0.98,50,88,0,1990,73
Cole Williams,170,73,Orthodox,0.31,27,5.34,23,0,0,25,0,1983,72
Khaos Williams,170,77,Orthodox,4.39,45,2.95,44,0,0,0,0,1994,72
Justin Willis,264,78,Southpaw,3.37,59,2.57,57,0.96,66,36,0,1987,73
Chris Wilson,170,75,Orthodox,2.32,50,1.36,55,1.31,50,60,1.6,1977,73
Jonathan Wilson,205,75,Southpaw,2.92,48,5.65,56,0.37,100,80,0,1987,74
Matt Wiman,155,68,Orthodox,3.17,50,3.57,51,2.13,37,56,1.5,1983,70
Eddie Wineland,135,69,Orthodox,3.4,29,3.66,69,0.34,33,86,0.1,1984,67
Deron Winn,185,70,Orthodox,4.74,47,5.17,50,4.98,52,0,0,1989,66
Andre Winner,155,73,Orthodox,2.52,33,4.57,51,0,0,74,0,1981,71
Jason Witt,170,70,Orthodox,3.16,65,2.68,29,3.65,50,0,1.8,1986,70
Nathaniel Wood,140,69,Orthodox,6.28,46,4.36,53,1.29,46,75,0.9,1993,66
Tyron Woodley,170,74,Orthodox,2.33,48,2.72,55,1.08,40,87,0.4,1982,69
Sean Woodson,145,78,Orthodox,6.4,45,4.43,58,0,0,77,0,1992,74
Khama Worthy,155,74,Orthodox,4.12,47,3.69,45,0,0,57,0.8,1986,71
Danyelle Wolf,145,70,Orthodox,3.4,28,5.67,44,0,0,100,1,1983,71
Jordan Wright,205,77,Orthodox,4.68,50,8.02,40,0,0,100,0,1991,74
Wu Yanan,125,66,Orthodox,4.51,45,4.82,51,0.61,22,66,0.3,1996,68
Rani Yahya,135,67,Orthodox,1.57,37,1.7,50,2.89,33,24,2,1984,66
Alexander Yakovlev,155,74,Southpaw,1.74,47,2.41,58,1.66,35,72,0.1,1984,75
Norifumi Yamamoto,135,66,Southpaw,2.09,45,2.01,57,0.41,22,45,0,1977,64
Yan Xiaonan,115,63,Orthodox,6.42,42,3.63,63,1,75,75,0,1989,65
Petr Yan,135,67,Switch,5.99,52,3.55,62,2.14,66,90,0.1,1993,67
Dongi Yang,185,73,Southpaw,3.55,51,3.21,63,1.7,41,61,0.5,1984,70
Adam Yandiev,185,74,Orthodox,0.18,8,6.14,36,0,0,25,0,1988,69
Hu Yaozong,205,72,Orthodox,4.43,52,5.23,38,0,0,0,0.7,1995,75
Ashley Yoder,115,69,Southpaw,2.75,39,3.53,46,1.33,37,68,0.7,1987,67
Sanghoon Yoo,155,74,Orthodox,5,66,7.27,27,1,100,75,1,1990,72
Yoshiyuki Yoshida,170,70,Southpaw,0.85,36,3.67,36,1.41,28,25,2.8,1974,71
Adrian Yanez,135,70,Orthodox,4.69,44,2.31,55,0,0,100,0,1993,67
Shane Young,145,72,Orthodox,6.01,40,5.15,56,0.73,25,64,0,1993,68
Shanna Young,135,65,Orthodox,3.05,57,5.28,45,0,0,54,0,1991,67
Jason Young,145,73,Orthodox,2.97,37,3.2,50,1.98,66,55,0,1986,69
Sodiq Yusuff,145,71,Orthodox,6.1,49,4.06,58,0,0,72,0.3,1993,69
Gilbert Yvel,225,77,Orthodox,1.05,47,1.78,50,0,0,25,1,1976,74
Luke Zachrich,185,74,Orthodox,4.56,32,4.46,62,0.74,33,80,0,1981,74
Aiemann Zahabi,135,68,Orthodox,2.82,40,3.91,65,0.33,16,72,0,1987,68
Elizeu Zaleski dos Santos,170,73,Orthodox,4.05,39,3.07,59,0.57,17,52,0.5,1986,71
Youssef Zalal,145,72,Switch,2.45,51,1.56,64,2.4,40,56,1.4,1996,70
Zach Zane,145,69,Southpaw,0.87,56,6.67,20,0,0,26,0,1989,67
David Zawada,170,75,Orthodox,3.24,40,4.07,54,0.96,30,57,2.2,1990,72
Zhang Lipeng,155,71,Southpaw,1.28,48,1.88,53,1.75,30,69,0.8,1990,71
Yao Zhikui,125,64,Orthodox,1.44,21,2.82,48,0.66,16,58,0,1991,65
Zhang Weili,115,63,Switch,6.38,45,4.43,53,1.26,23,100,0.5,1989,64
Zhalgas Zhumagulov,125,66,Switch,4.17,49,4,58,1.5,21,33,0,1988,64
Fares Ziam,155,75,Orthodox,1.9,47,1.37,66,0.5,11,65,0,1997,73
Cat Zingano,145,68,Southpaw,2.57,61,1.63,47,2.77,65,42,0.8,1982,66
Zhang Tiequan,155,69,Orthodox,1.23,36,2.14,51,1.95,58,75,3.4,1978,68
Allan Zuniga,155,70,Orthodox,3.93,52,1.8,61,0,0,57,1,1992,67
Virgil Zwicker,205,74,,3.34,48,4.87,39,1.31,30,50,0,1982,74
