"raceId","driverId","driverRef","constructorId","constructorRef","grid","position","points","fastestLapSpeed","stop","driver_highlight"
1052,1,"hamilton",131,"mercedes",2,1,25,"207.235",1,"hamilton"
1052,830,"max_verstappen",9,"red_bull",1,2,18,"208.984",1,"max_verstappen"
1052,822,"bottas",131,"mercedes",3,3,16,"211.566",1,"Other"
1052,846,"norris",1,"mclaren",7,4,12,"206.398",1,"Other"
1052,815,"perez",9,"red_bull",0,5,10,"207.334",1,"Other"
1052,844,"leclerc",6,"ferrari",4,6,8,"205.112",1,"Other"
1052,817,"ricciardo",1,"mclaren",6,7,6,"205.233",1,"Other"
1052,832,"sainz",6,"ferrari",8,8,4,"206.151",1,"Other"
1052,852,"tsunoda",213,"alphatauri",13,9,2,"205.603",1,"Other"
1052,840,"stroll",117,"aston_martin",10,10,1,"205.378",1,"Other"
1052,8,"raikkonen",51,"alfa",14,11,0,"204.672",1,"Other"
1052,841,"giovinazzi",51,"alfa",12,12,0,"204.823",1,"Other"
1052,839,"ocon",214,"alpine",16,13,0,"204.548",1,"Other"
1052,847,"russell",3,"williams",15,14,0,"205.008",1,"Other"
1052,20,"vettel",117,"aston_martin",20,15,0,"203.871",1,"Other"
1052,854,"mick_schumacher",210,"haas",18,16,0,"202.667",1,"Other"
1052,842,"gasly",213,"alphatauri",5,17,0,"207.069",1,"Other"
1052,849,"latifi",3,"williams",17,18,0,"201.685",1,"Other"
1052,4,"alonso",214,"alpine",9,0,0,"202.816",1,"Other"
1052,853,"mazepin",210,"haas",19,0,0,"\N",NA,"Other"
1053,830,"max_verstappen",9,"red_bull",3,1,25,"227.960",1,"max_verstappen"
1053,1,"hamilton",131,"mercedes",1,2,19,"230.403",1,"hamilton"
1053,846,"norris",1,"mclaren",7,3,15,"225.819",1,"Other"
1053,844,"leclerc",6,"ferrari",4,4,12,"225.473",1,"Other"
1053,832,"sainz",6,"ferrari",11,5,10,"225.154",1,"Other"
1053,817,"ricciardo",1,"mclaren",6,6,8,"222.739",1,"Other"
1053,842,"gasly",213,"alphatauri",5,7,6,"223.718",1,"Other"
1053,840,"stroll",117,"aston_martin",10,8,4,"224.320",1,"Other"
1053,839,"ocon",214,"alpine",9,9,2,"222.512",1,"Other"
