Rank,Name,Nation,TP,SP,FS,Year
14,Gheorghe Chiper, Romania,186.19,67.66,118.53,2006
15,Sergei Davydov, Belarus,184.59,64.65,119.94,2006
16,Li Chengjiang, China,182.21,60.23,121.98,2006
17,Ivan Dinev, Bulgaria,180.11,63.64,116.47,2006
18,Tomáš Verner, Czech Republic,180.07,59.71,120.36,2006
19,Frédéric Dambier, France,177.59,61.17,116.42,2006
20,Anton Kovalevski, Ukraine,172.84,63.41,109.43,2006
21,Stefan Lindemann, Germany,172.57,60.52,112.05,2006
22,Viktor Pfeifer, Austria,163.87,62.17,101.7,2006
23,Kristoffer Berntsson, Sweden,161.95,59.55,102.4,2006
24,Zoltán Tóth, Hungary,145.47,55.07,90.4,2006
1,Nathan Chen, United States,332.6,113.97,218.63,2022
2,Yuma Kagiyama, Japan,310.05,108.12,201.93,2022
3,Shoma Uno, Japan,293,105.9,187.1,2022
4,Yuzuru Hanyu, Japan,283.21,95.15,188.06,2022
5,Cha Jun-hwan, South Korea,282.38,99.51,182.87,2022
6,Jason Brown, United States,281.24,97.24,184,2022
7,Daniel Grassl, Italy,278.07,90.64,187.43,2022
8,Evgeni Semenenko, ROC,274.13,95.76,178.37,2022
9,Jin Boyang, China,270.43,90.98,179.45,2022
10,Morisi Kvitelashvili, Georgia,268.62,97.98,170.64,2022
11,Keegan Messing, Canada,265.61,93.24,172.37,2022
12,Kévin Aymoz, France,254.8,93,161.8,2022
13,Deniss Vasi?jevs, Latvia,252.71,85.3,167.41,2022
14,Adam Siao Him Fa, France,250.15,86.74,163.41,2022
15,Mark Kondratiuk, ROC,248.82,86.11,162.71,2022
16,Matteo Rizzo, Italy,247.53,88.63,158.9,2022
17,Brendan Kerry, Australia,244.8,84.79,160.01,2022
18,Vladimir Litvintsev, Azerbaijan,239.19,84.15,155.04,2022
19,Andrei Mozalev, ROC,233.33,77.05,156.28,2022
20,Konstantin Milyukov, Belarus,222.22,78.49,143.73,2022
21,Nikolaj Majorov, Sweden,220.78,78.54,142.24,2022
22,Donovan Carrillo, Mexico,218.13,79.69,138.44,2022
23,Lukas Britschgi, Switzerland,212.58,76.16,136.42,2022
24,Ivan Shmuratko, Ukraine,205.76,78.11,127.65,2022
