pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round,draft_pick_group
25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,0.447,0.345,0.751,3.3,0.046,2011,17.3,8,2.1,1.4,1,25,Picks 21-30
26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,0.408,0.357,0.67,3,0.069,2011,13.9,5.9,2.8,0.8,1,26,Picks 21-30
27,BRK,JaJuan Johnson,Purdue,1,36,298,114,58,6,0.446,0,0.667,0.2,0.032,2011,8.3,3.2,1.6,0.2,1,27,Picks 21-30
28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,3,0.018,2011,22.3,7,2,2.7,1,28,Picks 21-30
29,SAS,Cory Joseph,Texas,11,710,15708,5020,1828,2133,0.444,0.343,0.781,27.9,0.085,2011,22.1,7.1,2.6,3,1,29,Picks 21-30
30,CHI,Jimmy Butler,Marquette,11,673,22306,11873,3579,2764,0.459,0.321,0.842,91.5,0.197,2011,33.1,17.6,5.3,4.1,1,30,Picks 21-30
1,NOP,Anthony Davis,Kentucky,10,601,20698,14318,6129,1399,0.515,0.303,0.794,91.5,0.212,2012,34.4,23.8,10.2,2.3,1,1,Picks 1-10
2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715,21,0.092,2012,24.6,8.4,5.4,1.2,1,2,Picks 1-10
3,WAS,Bradley Beal,Florida,10,645,22418,14231,2641,2701,0.456,0.372,0.821,49.2,0.105,2012,34.8,22.1,4.1,4.2,1,3,Picks 1-10
4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694,8.8,0.036,2012,28.2,13.1,2.6,2.8,1,4,Picks 1-10
5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,4.6,0.053,2012,13.4,4.9,4.8,0.6,1,5,Picks 1-10
6,POR,Damian Lillard,Weber State,10,711,25835,17510,2976,4726,0.437,0.373,0.893,94.5,0.176,2012,36.3,24.6,4.2,6.6,1,6,Picks 1-10
7,GSW,Harrison Barnes,UNC,10,725,23028,10235,3720,1326,0.453,0.38,0.804,43.6,0.091,2012,31.8,14.1,5.1,1.8,1,7,Picks 1-10
8,TOR,Terrence Ross,Washington,10,658,16412,7436,1875,826,0.418,0.364,0.839,23.5,0.069,2012,24.9,11.3,2.8,1.3,1,8,Picks 1-10
9,DET,Andre Drummond,UConn,10,697,20799,9684,9309,976,0.538,0.133,0.471,65.7,0.152,2012,29.8,13.9,13.4,1.4,1,9,Picks 1-10
10,NOP,Austin Rivers,Duke,10,632,15285,5604,1319,1398,0.418,0.35,0.647,13.3,0.042,2012,24.2,8.9,2.1,2.2,1,10,Picks 1-10
11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,0.482,0.39,0.809,15.5,0.104,2012,16,5.6,3.9,0.9,1,11,Picks 11-20
12,HOU,Jeremy Lamb,UConn,10,557,11605,5685,2019,879,0.44,0.344,0.857,26.7,0.11,2012,20.8,10.2,3.6,1.6,1,12,Picks 11-20
13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611,1,0.015,2012,19.3,5,1.6,4.9,1,13,Picks 11-20
14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,0.54,0.25,0.568,20.7,0.113,2012,19.7,7.6,5.3,1.1,1,14,Picks 11-20
15,PHI,Maurice Harkless,St. John's,10,615,13971,4250,2191,571,0.474,0.32,0.624,22.9,0.079,2012,22.7,6.9,3.6,0.9,1,15,Picks 11-20
16,HOU,Royce White,Iowa State,1,3,9,0,0,0,0,0,0,0,-0.121,2012,3,0,0,0,1,16,Picks 11-20
17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,0.508,0.286,0.764,17.1,0.113,2012,17.5,6.9,4.4,0.9,1,17,Picks 11-20
18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,0.501,0.297,0.621,14.7,0.127,2012,23.8,10.4,5.7,1,1,18,Picks 11-20
19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,0.467,0.321,0.773,3.8,0.045,2012,14.3,6,3,0.4,1,19,Picks 11-20
20,DEN,Evan Fournier,NA,10,622,17798,8923,1729,1610,0.447,0.381,0.801,29.4,0.079,2012,28.6,14.3,2.8,2.6,1,20,Picks 11-20
21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,0.436,0.272,0.723,15.3,0.113,2012,24.3,10.8,7.5,1.8,1,21,Picks 21-30
22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,0.5,0,0.25,0,0.021,2012,6,1.2,0.5,0,1,22,Picks 21-30
23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,0.441,0.367,0.847,3,0.065,2012,12.8,5,1.5,0.8,1,23,Picks 21-30
24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,0.347,0.306,0.674,0.2,0.017,2012,7.2,2.3,0.7,0.5,1,24,Picks 21-30
25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,0.413,0.231,0.647,-1.3,-0.021,2012,21.2,11.1,2.5,3,1,25,Picks 21-30
26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,0.542,0,0.543,10.6,0.09,2012,16.4,4.9,4.5,0.5,1,26,Picks 21-30
27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,0.547,0,0.667,1.7,0.113,2012,12.4,3.6,3.1,0.2,1,27,Picks 21-30
28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,0.42,0.293,0.66,1.7,0.048,2012,11.7,3.4,1.8,0.4,1,28,Picks 21-30
29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,0.343,0.222,0.661,-0.9,-0.045,2012,10,2.4,1,1.5,1,29,Picks 21-30
30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,0.513,0,0.557,5.9,0.119,2012,14.1,4.2,4.3,0.4,1,30,Picks 21-30
1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,0.5,0.013,2013,12.6,4.4,3.1,0.5,1,1,Picks 1-10
2,ORL,Victor Oladipo,Indiana,8,454,14968,7955,2094,1796,0.438,0.347,0.791,24.6,0.079,2013,33,17.5,4.6,4,1,2,Picks 1-10
3,WAS,Otto Porter Jr.,Georgetown,9,489,12718,5223,2440,746,0.478,0.401,0.791,35.1,0.133,2013,26,10.7,5,1.5,1,3,Picks 1-10
4,CHA,Cody Zeller,Indiana,9,494,10973,4202,2949,691,0.52,0.221,0.731,32.2,0.141,2013,22.2,8.5,6,1.4,1,4,Picks 1-10
5,PHO,Alex Len,Maryland,9,564,10706,4342,3333,485,0.507,0.331,0.683,21.5,0.097,2013,19,7.7,5.9,0.9,1,5,Picks 1-10
6,NOP,Nerlens Noel,Kentucky,8,450,10086,3303,2789,491,0.549,0.154,0.655,28.2,0.134,2013,22.4,7.3,6.2,1.1,1,6,Picks 1-10
7,SAC,Ben McLemore,Kansas,9,534,12037,4743,1232,540,0.414,0.364,0.776,9,0.036,2013,22.5,8.9,2.3,1,1,7,Picks 1-10
8,DET,Kentavious Caldwell-Pope,Georgia,9,661,19263,7530,2076,1098,0.418,0.358,0.809,33.3,0.083,2013,29.1,11.4,3.1,1.7,1,8,Picks 1-10
9,MIN,Trey Burke,Michigan,9,488,10306,4759,873,1511,0.412,0.345,0.812,13.2,0.062,2013,21.1,9.8,1.8,3.1,1,9,Picks 1-10
10,POR,CJ McCollum,Lehigh,9,569,17929,10852,1955,1919,0.454,0.397,0.819,38.9,0.104,2013,31.5,19.1,3.4,3.4,1,10,Picks 1-10
11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,0.402,0.255,0.706,6.6,0.032,2013,25.3,10.3,4.4,4.4,1,11,Picks 11-20
12,OKC,Steven Adams,Pitt,9,644,17276,6022,5080,906,0.588,0.077,0.549,53.9,0.15,2013,26.8,9.4,7.9,1.4,1,12,Picks 11-20
13,DAL,Kelly Olynyk,Gonzaga,9,591,13063,5984,3012,1195,0.475,0.364,0.779,34,0.125,2013,22.1,10.1,5.1,2,1,13,Picks 11-20
14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,8.5,0.085,2013,17.2,9,2.8,0.5,1,14,Picks 11-20
15,MIL,Giannis Antetokounmpo,NA,9,638,20754,13762,5922,2928,0.533,0.29,0.718,84.4,0.195,2013,32.5,21.6,9.3,4.6,1,15,Picks 11-20
16,BOS,Lucas Nogueira,NA,4,141,1754,446,388,72,0.632,0.265,0.64,6,0.165,2013,12.4,3.2,2.8,0.5,1,16,Picks 11-20
17,ATL,Dennis Schröder,NA,9,609,16130,8679,1791,2842,0.436,0.337,0.832,23.4,0.07,2013,26.5,14.3,2.9,4.7,1,17,Picks 11-20
18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,0.422,0.336,0.777,4.4,0.044,2013,19.1,5.5,1.9,2.9,1,18,Picks 11-20
19,CLE,Sergey Karasev,NA,3,95,1110,287,140,87,0.395,0.282,0.842,0.8,0.036,2013,11.7,3,1.5,0.9,1,19,Picks 11-20
20,CHI,Tony Snell,New Mexico,9,589,12870,3608,1346,663,0.431,0.394,0.845,18.4,0.069,2013,21.9,6.1,2.3,1.1,1,20,Picks 11-20
21,UTA,Gorgui Dieng,Louisville,9,590,12228,4448,3418,779,0.5,0.365,0.791,30.5,0.12,2013,20.7,7.5,5.8,1.3,1,21,Picks 21-30
22,BRK,Mason Plumlee,Duke,9,639,14274,5349,4222,1542,0.582,0.049,0.561,42.8,0.144,2013,22.3,8.4,6.6,2.4,1,22,Picks 21-30
23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,0.388,0.331,0.797,11.9,0.059,2013,21.5,5.5,3.1,1.5,1,23,Picks 21-30
24,NYK,Tim Hardaway Jr.,Michigan,9,586,15837,8149,1650,1095,0.422,0.358,0.812,26,0.079,2013,27,13.9,2.8,1.9,1,24,Picks 21-30
25,LAC,Reggie Bullock,UNC,9,415,9115,3200,1021,492,0.431,0.388,0.846,17.3,0.091,2013,22,7.7,2.5,1.2,1,25,Picks 21-30
26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,0.473,0.253,0.468,12.6,0.089,2013,22.2,4.5,4,0.9,1,26,Picks 21-30
27,DEN,Rudy Gobert,NA,9,589,17595,7254,6802,786,0.651,0,0.635,82.9,0.226,2013,29.9,12.3,11.5,1.3,1,27,Picks 21-30
29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,0.429,0.236,0.7,1.1,0.022,2013,14.5,6.3,2,1.2,1,29,Picks 21-30
30,PHO,Nemanja Nedović,NA,1,24,142,26,15,13,0.205,0.167,0.875,-0.4,-0.132,2013,5.9,1.1,0.6,0.5,1,30,Picks 21-30
1,CLE,Andrew Wiggins,Kansas,8,579,20319,11220,2553,1348,0.449,0.351,0.727,23.5,0.056,2014,35.1,19.4,4.4,2.3,1,1,Picks 1-10
2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,13.9,0.078,2014,27.5,14.1,5.5,2,1,2,Picks 1-10
3,PHI,Joel Embiid,Kansas,6,306,9458,7817,3450,1003,0.488,0.335,0.809,39.9,0.202,2014,30.9,25.5,11.3,3.3,1,3,Picks 1-10
4,ORL,Aaron Gordon,Arizona,8,506,14584,6530,3178,1264,0.457,0.322,0.699,27.5,0.09,2014,28.8,12.9,6.3,2.5,1,4,Picks 1-10
5,UTA,Dante Exum,NA,6,245,4545,1389,441,515,0.407,0.305,0.764,3.1,0.032,2014,18.6,5.7,1.8,2.1,1,5,Picks 1-10
6,BOS,Marcus Smart,Oklahoma State,8,499,14825,5161,1794,2168,0.38,0.319,0.778,28,0.091,2014,29.7,10.3,3.6,4.3,1,6,Picks 1-10
7,LAL,Julius Randle,Kentucky,8,503,15635,8874,4680,1769,0.476,0.333,0.743,31.1,0.095,2014,31.1,17.6,9.3,3.5,1,7,Picks 1-10
8,SAC,Nik Stauskas,Michigan,6,337,6686,2283,691,514,0.389,0.354,0.814,3.9,0.028,2014,19.8,6.8,2.1,1.5,1,8,Picks 1-10
9,CHA,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,0.459,0.308,0.691,9.2,0.078,2014,16.8,4.9,5.1,0.8,1,9,Picks 1-10
10,PHI,Elfrid Payton,Louisiana,8,488,13278,5013,1995,2851,0.448,0.289,0.624,16,0.058,2014,27.2,10.3,4.1,5.8,1,10,Picks 1-10
11,DEN,Doug McDermott,Creighton,8,519,10842,4781,1229,482,0.477,0.412,0.819,19.3,0.085,2014,20.9,9.2,2.4,0.9,1,11,Picks 11-20
12,ORL,Dario Šarić,NA,5,356,8965,4180,2086,699,0.441,0.357,0.838,16.4,0.088,2014,25.2,11.7,5.9,2,1,12,Picks 11-20
13,MIN,Zach LaVine,UCLA,8,458,14515,8987,1796,1767,0.461,0.387,0.83,22.1,0.073,2014,31.7,19.6,3.9,3.9,1,13,Picks 11-20
14,PHO,T.J. Warren,NC State,7,332,9553,5142,1372,397,0.507,0.357,0.78,19.6,0.099,2014,28.8,15.5,4.1,1.2,1,14,Picks 11-20
15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,-0.6,-0.019,2014,13.1,4,2.9,0.6,1,15,Picks 11-20
16,CHI,Jusuf Nurkić,NA,8,411,9815,5015,3513,903,0.5,0.232,0.672,24,0.118,2014,23.9,12.2,8.5,2.2,1,16,Picks 11-20
17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,0.8,0.046,2014,8.5,2.3,1,0.3,1,17,Picks 11-20
18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,1.3,0.026,2014,12.6,4.2,1.3,1.9,1,18,Picks 11-20
19,CHI,Gary Harris,Michigan State,8,459,13270,5442,1151,957,0.449,0.362,0.809,20.3,0.073,2014,28.9,11.9,2.5,2.1,1,19,Picks 11-20
20,TOR,Bruno Caboclo,NA,7,105,1293,442,268,72,0.403,0.308,0.836,1.5,0.054,2014,12.3,4.2,2.6,0.7,1,20,Picks 11-20
21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,0.527,0,0.58,1.3,0.108,2014,10.7,4.4,3.5,0.3,1,21,Picks 21-30
22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,0.402,0.385,0.607,0.4,0.07,2014,8.2,3.2,0.9,0.6,1,22,Picks 21-30
23,UTA,Rodney Hood,Duke,8,437,10863,4622,1151,729,0.419,0.364,0.841,17.2,0.076,2014,24.9,10.6,2.6,1.7,1,23,Picks 21-30
24,CHA,Shabazz Napier,UConn,6,345,5986,2433,657,849,0.397,0.345,0.815,8.1,0.065,2014,17.4,7.1,1.9,2.5,1,24,Picks 21-30
25,HOU,Clint Capela,NA,8,447,11974,5566,4749,443,0.622,0,0.528,49.8,0.2,2014,26.8,12.5,10.6,1,1,25,Picks 21-30
26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,0.343,0.295,0.81,0.9,0.021,2014,18,6,2.4,0.5,1,26,Picks 21-30
27,PHO,Bogdan Bogdanović,NA,5,293,8342,4082,987,999,0.44,0.386,0.816,14.5,0.084,2014,28.5,13.9,3.4,3.4,1,27,Picks 21-30
28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,0.37,0.333,0.813,0.1,0.007,2014,5.7,2,0.5,0.5,1,28,Picks 21-30
29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24,0.7,0.03,2014,14.1,2.5,2.4,0.3,1,29,Picks 21-30
30,SAS,Kyle Anderson,UCLA,8,483,10121,3202,2098,1109,0.476,0.335,0.714,25.7,0.122,2014,21,6.6,4.3,2.3,1,30,Picks 21-30
1,MIN,Karl-Anthony Towns,Kentucky,7,460,15779,10621,5243,1424,0.527,0.396,0.833,63,0.192,2015,34.3,23.1,11.4,3.1,1,1,Picks 1-10
2,LAL,D'Angelo Russell,Ohio State,7,404,11849,7175,1444,2225,0.42,0.359,0.775,13.2,0.053,2015,29.3,17.8,3.6,5.5,1,2,Picks 1-10
3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676,7.2,0.071,2015,19.5,10.4,4.7,0.9,1,3,Picks 1-10
4,NYK,Kristaps Porziņģis,NA,6,320,9907,5995,2499,487,0.442,0.353,0.816,25.1,0.122,2015,31,18.7,7.8,1.5,1,4,Picks 1-10
5,ORL,Mario Hezonja,NA,5,330,6107,2284,1026,415,0.417,0.319,0.812,3.2,0.025,2015,18.5,6.9,3.1,1.3,1,5,Picks 1-10
6,SAC,Willie Cauley-Stein,Kentucky,7,420,9270,3675,2468,597,0.544,0.188,0.612,23.3,0.121,2015,22.1,8.8,5.9,1.4,1,6,Picks 1-10
7,DEN,Emmanuel Mudiay,NA,6,302,7187,3299,884,1143,0.401,0.323,0.744,-0.2,-0.001,2015,23.8,10.9,2.9,3.8,1,7,Picks 1-10
8,DET,Stanley Johnson,Arizona,7,395,7844,2467,1230,565,0.38,0.299,0.755,5.4,0.033,2015,19.9,6.2,3.1,1.4,1,8,Picks 1-10
9,CHA,Frank Kaminsky,Wisconsin,7,377,7925,3541,1527,619,0.429,0.348,0.743,15.3,0.093,2015,21,9.4,4.1,1.6,1,9,Picks 1-10
10,MIA,Justise Winslow,Duke,7,310,8022,2587,1590,779,0.414,0.316,0.638,8,0.048,2015,25.9,8.3,5.1,2.5,1,10,Picks 1-10
11,IND,Myles Turner,Texas,7,431,12379,5485,2879,513,0.489,0.349,0.768,33.1,0.128,2015,28.7,12.7,6.7,1.2,1,11,Picks 11-20
12,UTA,Trey Lyles,Kentucky,7,427,7678,3253,1821,447,0.438,0.336,0.726,13.1,0.082,2015,18,7.6,4.3,1,1,12,Picks 11-20
13,PHO,Devin Booker,Kentucky,7,460,15468,10695,1788,2126,0.454,0.354,0.869,27.2,0.085,2015,33.6,23.3,3.9,4.6,1,13,Picks 11-20
14,OKC,Cameron Payne,Murray State,7,261,4531,1924,559,767,0.421,0.365,0.835,7.1,0.075,2015,17.4,7.4,2.1,2.9,1,14,Picks 11-20
15,ATL,Kelly Oubre Jr.,Kansas,7,457,11600,5508,1995,461,0.433,0.329,0.754,16.7,0.069,2015,25.4,12.1,4.4,1,1,15,Picks 11-20
16,BOS,Terry Rozier,Louisville,7,455,11701,5584,1770,1400,0.413,0.373,0.815,21.6,0.089,2015,25.7,12.3,3.9,3.1,1,16,Picks 11-20
17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,-0.6,-0.017,2015,12,3,1.1,0.5,1,17,Picks 11-20
18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606,5.4,0.083,2015,15.4,5.4,3,0.8,1,18,Picks 11-20
19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,8.3,0.08,2015,17.9,6.1,1.9,2.9,1,19,Picks 11-20
20,TOR,Delon Wright,Utah,7,387,8088,2840,1251,1189,0.452,0.353,0.795,21.3,0.126,2015,20.9,7.3,3.2,3.1,1,20,Picks 11-20
21,DAL,Justin Anderson,Virginia,6,232,3041,1203,585,160,0.412,0.293,0.776,4.7,0.074,2015,13.1,5.2,2.5,0.7,1,21,Picks 21-30
22,CHI,Bobby Portis,Arkansas,7,432,9277,4751,2803,517,0.47,0.384,0.752,19.9,0.103,2015,21.5,11,6.5,1.2,1,22,Picks 21-30
23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735,12.9,0.091,2015,22.2,9,5.5,1.9,1,23,Picks 21-30
24,CLE,Tyus Jones,Duke,7,435,7926,2604,754,1589,0.435,0.343,0.824,17.7,0.107,2015,18.2,6,1.7,3.7,1,24,Picks 21-30
25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,3.2,0.053,2015,15.9,5.4,3.5,0.6,1,25,Picks 21-30
27,LAL,Larry Nance Jr.,Wyoming,7,387,9345,3144,2538,739,0.528,0.33,0.684,24.3,0.125,2015,24.1,8.1,6.6,1.9,1,27,Picks 21-30
28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,0.4,0.051,2015,8.8,3,1,0.4,1,28,Picks 21-30
29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,0.6,0.054,2015,9,3.3,1.9,0.3,1,29,Picks 21-30
30,GSW,Kevon Looney,UCLA,7,344,5545,1603,1600,436,0.562,0.172,0.615,18.5,0.16,2015,16.1,4.7,4.7,1.3,1,30,Picks 21-30
1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,0.56,0.147,0.597,30.4,0.156,2016,33.9,15.9,8.1,7.7,1,1,Picks 1-10
2,LAL,Brandon Ingram,Duke,6,358,11756,6559,1832,1346,0.459,0.362,0.765,17.4,0.071,2016,32.8,18.3,5.1,3.8,1,2,Picks 1-10
3,BOS,Jaylen Brown,California,6,383,10918,6177,1891,741,0.47,0.373,0.712,22.5,0.099,2016,28.5,16.1,4.9,1.9,1,3,Picks 1-10
4,PHO,Dragan Bender,NA,4,187,3755,1014,720,237,0.399,0.323,0.654,0.5,0.006,2016,20.1,5.4,3.9,1.3,1,4,Picks 1-10
5,MIN,Kris Dunn,Providence,5,231,5561,1889,766,950,0.42,0.305,0.727,3.7,0.032,2016,24.1,8.2,3.3,4.1,1,5,Picks 1-10
6,NOP,Buddy Hield,Oklahoma,6,446,12906,7070,1895,1076,0.429,0.399,0.863,16.5,0.061,2016,28.9,15.9,4.2,2.4,1,6,Picks 1-10
7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,0.446,0.367,0.878,20.8,0.096,2016,30.1,16.3,3.6,3.8,1,7,Picks 1-10
8,SAC,Marquese Chriss,Washington,6,281,5248,2167,1343,293,0.456,0.29,0.666,6.2,0.056,2016,18.7,7.7,4.8,1,1,8,Picks 1-10
9,TOR,Jakob Poeltl,Utah,6,397,7853,2762,2339,550,0.627,0.667,0.514,27,0.165,2016,19.8,7,5.9,1.4,1,9,Picks 1-10
10,MIL,Thon Maker,NA,5,263,3624,1216,726,161,0.435,0.327,0.68,6.6,0.087,2016,13.8,4.6,2.8,0.6,1,10,Picks 1-10
11,ORL,Domantas Sabonis,Gonzaga,6,404,11431,5747,3676,1428,0.533,0.32,0.727,34.1,0.143,2016,28.3,14.2,9.1,3.5,1,11,Picks 11-20
12,UTA,Taurean Prince,Baylor,6,348,8480,3667,1378,619,0.414,0.372,0.819,7.4,0.042,2016,24.4,10.5,4,1.8,1,12,Picks 11-20
13,PHO,Georgios Papagiannis,NA,2,39,477,160,123,29,0.514,0,0.857,0.4,0.044,2016,12.2,4.1,3.2,0.7,1,13,Picks 11-20
14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,4.5,0.045,2016,18.8,7,3.3,1.8,1,14,Picks 11-20
15,DEN,Juancho Hernangómez,NA,6,282,4362,1487,948,177,0.424,0.345,0.693,7.1,0.079,2016,15.5,5.3,3.4,0.6,1,15,Picks 11-20
16,BOS,Guerschon Yabusele,NA,2,74,486,173,105,31,0.442,0.323,0.682,1.1,0.105,2016,6.6,2.3,1.4,0.4,1,16,Picks 11-20
17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,-0.3,-0.028,2016,10.3,3.1,1.2,1.4,1,17,Picks 11-20
18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,0.4,0.023,2016,9.5,4.1,2.5,0.6,1,18,Picks 11-20
19,DEN,Malik Beasley,Florida State,6,316,6545,3239,774,388,0.429,0.38,0.808,9,0.066,2016,20.7,10.3,2.4,1.2,1,19,Picks 11-20
20,IND,Caris LeVert,Michigan,6,303,8318,4444,1158,1197,0.436,0.333,0.737,11.6,0.067,2016,27.5,14.7,3.8,4,1,20,Picks 11-20
21,ATL,DeAndre' Bembry,Saint Joseph's,6,288,5593,1744,939,527,0.475,0.283,0.611,4.4,0.038,2016,19.4,6.1,3.3,1.8,1,21,Picks 21-30
22,CHA,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,-0.1,-0.009,2016,8.9,2.8,1,0.3,1,22,Picks 21-30
23,BOS,Ante Žižić,NA,3,113,1517,674,446,64,0.581,0,0.711,3.5,0.11,2016,13.4,6,3.9,0.6,1,23,Picks 21-30
24,PHI,Timothé Luwawu-Cabarrot,NA,6,312,5021,1859,623,279,0.39,0.334,0.828,4.3,0.041,2016,16.1,6,2,0.9,1,24,Picks 21-30
25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,0.1,0.062,2016,5.1,2.2,1.6,0.1,1,25,Picks 21-30
26,PHI,Furkan Korkmaz,NA,5,240,4603,1961,553,333,0.407,0.359,0.773,7.3,0.076,2016,19.2,8.2,2.3,1.4,1,26,Picks 21-30
27,TOR,Pascal Siakam,New Mexico State,6,376,10866,5703,2323,1110,0.489,0.328,0.774,30.2,0.134,2016,28.9,15.2,6.2,3,1,27,Picks 21-30
28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,0.492,0.353,0.748,4.4,0.081,2016,17.5,7.2,4.5,1,1,28,Picks 21-30
29,SAS,Dejounte Murray,Washington,5,304,7681,3591,1789,1399,0.454,0.328,0.758,14.8,0.092,2016,25.3,11.8,5.9,4.6,1,29,Picks 21-30
30,GSW,Damian Jones,Vanderbilt,6,180,2582,896,585,136,0.661,0.286,0.7,7.6,0.141,2016,14.3,5,3.3,0.8,1,30,Picks 21-30
1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,0.447,0.265,0.695,3.1,0.052,2017,25.6,10.9,3.3,4.6,1,1,Picks 1-10
2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,0.4,0.364,0.578,11.7,0.068,2017,32.5,11.9,5.7,6.2,1,2,Picks 1-10
3,BOS,Jayson Tatum,Duke,5,345,11473,7033,2280,1005,0.453,0.38,0.842,31.5,0.132,2017,33.3,20.4,6.6,2.9,1,3,Picks 1-10
4,PHO,Josh Jackson,Kansas,5,280,6598,3224,1141,529,0.417,0.293,0.679,-1.6,-0.012,2017,23.6,11.5,4.1,1.9,1,4,Picks 1-10
5,SAC,De'Aaron Fox,Kentucky,5,311,9894,5826,1094,1922,0.459,0.317,0.725,15,0.073,2017,31.8,18.7,3.5,6.2,1,5,Picks 1-10
6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,0.435,0.33,0.797,6.7,0.091,2017,25.8,9.3,5.4,1.1,1,6,Picks 1-10
7,MIN,Lauri Markkanen,Arizona,5,259,7659,3955,1761,329,0.439,0.363,0.847,14.7,0.092,2017,29.6,15.3,6.8,1.3,1,7,Picks 1-10
8,NYK,Frank Ntilikina,NA,5,258,4708,1356,479,616,0.368,0.33,0.774,0.3,0.003,2017,18.2,5.3,1.9,2.4,1,8,Picks 1-10
9,DAL,Dennis Smith Jr.,NC State,5,216,5152,2317,636,917,0.402,0.312,0.652,-0.3,-0.003,2017,23.9,10.7,2.9,4.2,1,9,Picks 1-10
10,SAC,Zach Collins,Gonzaga,4,159,2773,910,640,150,0.444,0.327,0.717,4,0.069,2017,17.4,5.7,4,0.9,1,10,Picks 1-10
