pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round,draft_pick_group
22,ORL,Courtney Lee,Western Kentucky,12,811,21938,7765,2127,1353,0.451,0.388,0.853,39.3,0.086,2008,27.1,9.6,2.6,1.7,1,22,Picks 21-30
23,UTA,Kosta Koufos,Ohio State,11,686,11271,3913,3452,359,0.534,0,0.582,28.3,0.12,2008,16.4,5.7,5,0.5,1,23,Picks 21-30
24,OKC,Serge Ibaka,NA,13,887,24681,10849,6387,735,0.513,0.359,0.758,72,0.14,2008,27.8,12.2,7.2,0.8,1,24,Picks 21-30
25,HOU,Nicolas Batum,NA,14,896,27560,10011,4632,3176,0.438,0.363,0.838,62.6,0.109,2008,30.8,11.2,5.2,3.5,1,25,Picks 21-30
26,SAS,George Hill,IUPUI,14,856,23458,9268,2623,2678,0.457,0.381,0.807,69,0.141,2008,27.4,10.8,3.1,3.1,1,26,Picks 21-30
27,NOP,Darrell Arthur,Kansas,9,503,8945,3282,1768,409,0.444,0.352,0.765,12.3,0.066,2008,17.8,6.5,3.5,0.8,1,27,Picks 21-30
28,MEM,Donté Greene,Syracuse,4,253,4259,1541,600,183,0.406,0.304,0.701,1.5,0.017,2008,16.8,6.1,2.4,0.7,1,28,Picks 21-30
29,DET,D.J. White,Indiana,6,138,2111,810,437,80,0.507,0.333,0.72,3.8,0.087,2008,15.3,5.9,3.2,0.6,1,29,Picks 21-30
30,BOS,J.R. Giddens,New Mexico,2,38,247,73,54,13,0.476,0,0.565,0.1,0.027,2008,6.5,1.9,1.4,0.3,1,30,Picks 21-30
1,LAC,Blake Griffin,Oklahoma,12,716,23730,14306,5935,2985,0.493,0.326,0.696,79.2,0.16,2009,33.1,20,8.3,4.2,1,1,Picks 1-10
2,MEM,Hasheem Thabeet,UConn,5,224,2357,483,595,27,0.567,0,0.578,4.8,0.099,2009,10.5,2.2,2.7,0.1,1,2,Picks 1-10
3,OKC,James Harden,Arizona State,13,921,31825,23035,5145,6177,0.443,0.362,0.859,146.6,0.221,2009,34.6,25,5.6,6.7,1,3,Picks 1-10
