player,level,gender,division,team_name,statistic,value
Bryn Norton,D3,Women,Division 3 Women,Union Jillz,Points,2
Bryn Norton,D3,Women,Division 3 Women,Union Jillz,Plus Minus,4
Benjamin Travers,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Turns,13
Benjamin Travers,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Ds,0
Benjamin Travers,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Assists,7
Benjamin Travers,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Points,10
Benjamin Travers,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Plus Minus,4
Ben Fuguet,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Turns,21
Ben Fuguet,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Ds,9
Ben Fuguet,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Assists,13
Ben Fuguet,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Points,3
Ben Fuguet,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Plus Minus,4
Aylen Learned,D1,Men,Division 1 Men,Colorado Mambird,Turns,5
Aylen Learned,D1,Men,Division 1 Men,Colorado Mambird,Ds,0
Aylen Learned,D1,Men,Division 1 Men,Colorado Mambird,Assists,7
Aylen Learned,D1,Men,Division 1 Men,Colorado Mambird,Points,2
Aylen Learned,D1,Men,Division 1 Men,Colorado Mambird,Plus Minus,4
Audrey AlQatami,D3,Women,Division 3 Women,Occidental WAC,Turns,8
Audrey AlQatami,D3,Women,Division 3 Women,Occidental WAC,Ds,5
Audrey AlQatami,D3,Women,Division 3 Women,Occidental WAC,Assists,3
Audrey AlQatami,D3,Women,Division 3 Women,Occidental WAC,Points,4
Audrey AlQatami,D3,Women,Division 3 Women,Occidental WAC,Plus Minus,4
Anna Roth,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Turns,0
Anna Roth,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Ds,0
Anna Roth,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Assists,2
Anna Roth,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Points,2
Anna Roth,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Plus Minus,4
Amy Tse,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Turns,24
Amy Tse,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Ds,14
Amy Tse,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Assists,9
Amy Tse,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Points,5
Amy Tse,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Plus Minus,4
Alyssa Fallon,D1,Women,Division 1 Women,Georgia Athena,Turns,0
Alyssa Fallon,D1,Women,Division 1 Women,Georgia Athena,Ds,1
Alyssa Fallon,D1,Women,Division 1 Women,Georgia Athena,Assists,0
Alyssa Fallon,D1,Women,Division 1 Women,Georgia Athena,Points,3
Alyssa Fallon,D1,Women,Division 1 Women,Georgia Athena,Plus Minus,4
Alesh Fremouw,D1,Men,Division 1 Men,Oregon State Beavers,Turns,1
Alesh Fremouw,D1,Men,Division 1 Men,Oregon State Beavers,Ds,3
Alesh Fremouw,D1,Men,Division 1 Men,Oregon State Beavers,Assists,0
Alesh Fremouw,D1,Men,Division 1 Men,Oregon State Beavers,Points,2
Alesh Fremouw,D1,Men,Division 1 Men,Oregon State Beavers,Plus Minus,4
Akshay Bhatia,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Turns,5
Akshay Bhatia,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Ds,5
Akshay Bhatia,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Assists,2
Akshay Bhatia,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Points,2
Akshay Bhatia,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Plus Minus,4
Aiden Fields,D1,Men,Division 1 Men,NC State Alpha,Turns,1
Aiden Fields,D1,Men,Division 1 Men,NC State Alpha,Ds,1
Aiden Fields,D1,Men,Division 1 Men,NC State Alpha,Assists,1
Aiden Fields,D1,Men,Division 1 Men,NC State Alpha,Points,3
Aiden Fields,D1,Men,Division 1 Men,NC State Alpha,Plus Minus,4
Abigail Stevens,D1,Women,Division 1 Women,North Carolina Pleiades,Turns,1
Abigail Stevens,D1,Women,Division 1 Women,North Carolina Pleiades,Ds,3
Abigail Stevens,D1,Women,Division 1 Women,North Carolina Pleiades,Assists,1
Abigail Stevens,D1,Women,Division 1 Women,North Carolina Pleiades,Points,1
Abigail Stevens,D1,Women,Division 1 Women,North Carolina Pleiades,Plus Minus,4
Zoe McDaniel,D1,Women,Division 1 Women,Carleton Syzygy,Turns,1
Zoe McDaniel,D1,Women,Division 1 Women,Carleton Syzygy,Ds,3
Zoe McDaniel,D1,Women,Division 1 Women,Carleton Syzygy,Assists,1
Zoe McDaniel,D1,Women,Division 1 Women,Carleton Syzygy,Points,0
Zoe McDaniel,D1,Women,Division 1 Women,Carleton Syzygy,Plus Minus,3
Zane Ross,D3,Men,Division 3 Men,St Olaf Berzerkers,Turns,0
Zane Ross,D3,Men,Division 3 Men,St Olaf Berzerkers,Ds,1
Zane Ross,D3,Men,Division 3 Men,St Olaf Berzerkers,Assists,1
Zane Ross,D3,Men,Division 3 Men,St Olaf Berzerkers,Points,1
Zane Ross,D3,Men,Division 3 Men,St Olaf Berzerkers,Plus Minus,3
Zachary Kaufman,D1,Men,Division 1 Men,Brown Brownian Motion,Turns,0
Zachary Kaufman,D1,Men,Division 1 Men,Brown Brownian Motion,Ds,2
Zachary Kaufman,D1,Men,Division 1 Men,Brown Brownian Motion,Assists,0
Zachary Kaufman,D1,Men,Division 1 Men,Brown Brownian Motion,Points,1
Zachary Kaufman,D1,Men,Division 1 Men,Brown Brownian Motion,Plus Minus,3
Zach Brennan,D1,Men,Division 1 Men,Georgia Jojah,Turns,5
Zach Brennan,D1,Men,Division 1 Men,Georgia Jojah,Ds,4
Zach Brennan,D1,Men,Division 1 Men,Georgia Jojah,Assists,3
Zach Brennan,D1,Men,Division 1 Men,Georgia Jojah,Points,1
Zach Brennan,D1,Men,Division 1 Men,Georgia Jojah,Plus Minus,3
Yael Kaplan,D1,Women,Division 1 Women,California - Santa Cruz Sol,Turns,2
Yael Kaplan,D1,Women,Division 1 Women,California - Santa Cruz Sol,Ds,2
Yael Kaplan,D1,Women,Division 1 Women,California - Santa Cruz Sol,Assists,1
Yael Kaplan,D1,Women,Division 1 Women,California - Santa Cruz Sol,Points,2
Yael Kaplan,D1,Women,Division 1 Women,California - Santa Cruz Sol,Plus Minus,3
William McGlynn,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Turns,3
William McGlynn,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Ds,0
William McGlynn,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Assists,2
William McGlynn,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Points,4
William McGlynn,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Plus Minus,3
William Fenimore,D3,Men,Division 3 Men,Middlebury Pranksters,Turns,3
William Fenimore,D3,Men,Division 3 Men,Middlebury Pranksters,Ds,1
William Fenimore,D3,Men,Division 3 Men,Middlebury Pranksters,Assists,0
William Fenimore,D3,Men,Division 3 Men,Middlebury Pranksters,Points,5
William Fenimore,D3,Men,Division 3 Men,Middlebury Pranksters,Plus Minus,3
Will Troop,D1,Men,Division 1 Men,Carleton CUT,Turns,1
Will Troop,D1,Men,Division 1 Men,Carleton CUT,Ds,1
Will Troop,D1,Men,Division 1 Men,Carleton CUT,Assists,2
Will Troop,D1,Men,Division 1 Men,Carleton CUT,Points,1
Will Troop,D1,Men,Division 1 Men,Carleton CUT,Plus Minus,3
Wesley Killough-Hill,D1,Men,Division 1 Men,Massachusetts Zoodisc,Turns,0
Wesley Killough-Hill,D1,Men,Division 1 Men,Massachusetts Zoodisc,Ds,2
Wesley Killough-Hill,D1,Men,Division 1 Men,Massachusetts Zoodisc,Assists,1
Wesley Killough-Hill,D1,Men,Division 1 Men,Massachusetts Zoodisc,Points,0
Wesley Killough-Hill,D1,Men,Division 1 Men,Massachusetts Zoodisc,Plus Minus,3
Tobey Chang,D1,Men,Division 1 Men,Michigan Magnum,Turns,1
Tobey Chang,D1,Men,Division 1 Men,Michigan Magnum,Ds,0
Tobey Chang,D1,Men,Division 1 Men,Michigan Magnum,Assists,2
Tobey Chang,D1,Men,Division 1 Men,Michigan Magnum,Points,2
Tobey Chang,D1,Men,Division 1 Men,Michigan Magnum,Plus Minus,3
Theo Mahaffey,D1,Men,Division 1 Men,Minnesota Grey Duck,Turns,1
Theo Mahaffey,D1,Men,Division 1 Men,Minnesota Grey Duck,Ds,0
Theo Mahaffey,D1,Men,Division 1 Men,Minnesota Grey Duck,Assists,0
Theo Mahaffey,D1,Men,Division 1 Men,Minnesota Grey Duck,Points,4
Theo Mahaffey,D1,Men,Division 1 Men,Minnesota Grey Duck,Plus Minus,3
Teddy Schwartz,D3,Men,Division 3 Men,Rochester Piggies,Turns,0
Teddy Schwartz,D3,Men,Division 3 Men,Rochester Piggies,Ds,0
Teddy Schwartz,D3,Men,Division 3 Men,Rochester Piggies,Assists,1
Teddy Schwartz,D3,Men,Division 3 Men,Rochester Piggies,Points,2
Teddy Schwartz,D3,Men,Division 3 Men,Rochester Piggies,Plus Minus,3
Sarah Zhang,D1,Women,Division 1 Women,British Columbia Thunderbirds,Turns,0
Sarah Zhang,D1,Women,Division 1 Women,British Columbia Thunderbirds,Ds,1
Sarah Zhang,D1,Women,Division 1 Women,British Columbia Thunderbirds,Assists,0
Sarah Zhang,D1,Women,Division 1 Women,British Columbia Thunderbirds,Points,2
Sarah Zhang,D1,Women,Division 1 Women,British Columbia Thunderbirds,Plus Minus,3
Sam Kilgore,D1,Men,Division 1 Men,Colorado Mambird,Turns,0
Sam Kilgore,D1,Men,Division 1 Men,Colorado Mambird,Ds,1
Sam Kilgore,D1,Men,Division 1 Men,Colorado Mambird,Assists,0
Sam Kilgore,D1,Men,Division 1 Men,Colorado Mambird,Points,2
Sam Kilgore,D1,Men,Division 1 Men,Colorado Mambird,Plus Minus,3
Sabine Blumenthal,D3,Women,Division 3 Women,Colorado College Zenith,Turns,18
Sabine Blumenthal,D3,Women,Division 3 Women,Colorado College Zenith,Ds,11
Sabine Blumenthal,D3,Women,Division 3 Women,Colorado College Zenith,Assists,6
Sabine Blumenthal,D3,Women,Division 3 Women,Colorado College Zenith,Points,4
Sabine Blumenthal,D3,Women,Division 3 Women,Colorado College Zenith,Plus Minus,3
Ryan Ward,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Turns,13
Ryan Ward,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Ds,4
Ryan Ward,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Assists,9
Ryan Ward,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Points,3
Ryan Ward,D3,Men,Division 3 Men,Oberlin Flying Horsecows,Plus Minus,3
Roni Itkin-Ofer,D1,Women,Division 1 Women,Pennsylvania Venus,Turns,0
Roni Itkin-Ofer,D1,Women,Division 1 Women,Pennsylvania Venus,Ds,0
Roni Itkin-Ofer,D1,Women,Division 1 Women,Pennsylvania Venus,Assists,1
Roni Itkin-Ofer,D1,Women,Division 1 Women,Pennsylvania Venus,Points,2
Roni Itkin-Ofer,D1,Women,Division 1 Women,Pennsylvania Venus,Plus Minus,3
Renaud St-Onge,D1,Men,Division 1 Men,Ottawa Gee-Gees,Turns,1
Renaud St-Onge,D1,Men,Division 1 Men,Ottawa Gee-Gees,Ds,1
Renaud St-Onge,D1,Men,Division 1 Men,Ottawa Gee-Gees,Assists,0
Renaud St-Onge,D1,Men,Division 1 Men,Ottawa Gee-Gees,Points,3
Renaud St-Onge,D1,Men,Division 1 Men,Ottawa Gee-Gees,Plus Minus,3
Rebecca Hazen,D3,Women,Division 3 Women,Carleton Eclipse,Turns,5
Rebecca Hazen,D3,Women,Division 3 Women,Carleton Eclipse,Ds,4
Rebecca Hazen,D3,Women,Division 3 Women,Carleton Eclipse,Assists,2
Rebecca Hazen,D3,Women,Division 3 Women,Carleton Eclipse,Points,2
Rebecca Hazen,D3,Women,Division 3 Women,Carleton Eclipse,Plus Minus,3
Owen Snyder-Smith,D3,Men,Division 3 Men,Middlebury Pranksters,Turns,1
Owen Snyder-Smith,D3,Men,Division 3 Men,Middlebury Pranksters,Ds,3
Owen Snyder-Smith,D3,Men,Division 3 Men,Middlebury Pranksters,Assists,1
Owen Snyder-Smith,D3,Men,Division 3 Men,Middlebury Pranksters,Points,0
Owen Snyder-Smith,D3,Men,Division 3 Men,Middlebury Pranksters,Plus Minus,3
Owen Alvord,D3,Men,Division 3 Men,Whitman Sweets,Turns,1
Owen Alvord,D3,Men,Division 3 Men,Whitman Sweets,Ds,1
Owen Alvord,D3,Men,Division 3 Men,Whitman Sweets,Assists,1
Owen Alvord,D3,Men,Division 3 Men,Whitman Sweets,Points,2
Owen Alvord,D3,Men,Division 3 Men,Whitman Sweets,Plus Minus,3
Oliver Faase,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Turns,0
Oliver Faase,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Ds,1
Oliver Faase,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Assists,0
Oliver Faase,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Points,2
Oliver Faase,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Plus Minus,3
Noah Urrutia,D1,Men,Division 1 Men,Brown Brownian Motion,Turns,0
Noah Urrutia,D1,Men,Division 1 Men,Brown Brownian Motion,Ds,1
Noah Urrutia,D1,Men,Division 1 Men,Brown Brownian Motion,Assists,0
Noah Urrutia,D1,Men,Division 1 Men,Brown Brownian Motion,Points,2
Noah Urrutia,D1,Men,Division 1 Men,Brown Brownian Motion,Plus Minus,3
Noah Krumme,D1,Men,Division 1 Men,North Carolina Darkside,Turns,1
Noah Krumme,D1,Men,Division 1 Men,North Carolina Darkside,Ds,0
Noah Krumme,D1,Men,Division 1 Men,North Carolina Darkside,Assists,1
Noah Krumme,D1,Men,Division 1 Men,North Carolina Darkside,Points,3
Noah Krumme,D1,Men,Division 1 Men,North Carolina Darkside,Plus Minus,3
Noah Edmonds-Estes,D3,Men,Division 3 Men,Bates Orange Whip,Turns,2
Noah Edmonds-Estes,D3,Men,Division 3 Men,Bates Orange Whip,Ds,0
Noah Edmonds-Estes,D3,Men,Division 3 Men,Bates Orange Whip,Assists,2
Noah Edmonds-Estes,D3,Men,Division 3 Men,Bates Orange Whip,Points,3
Noah Edmonds-Estes,D3,Men,Division 3 Men,Bates Orange Whip,Plus Minus,3
Nico Gabby,D1,Men,Division 1 Men,Vermont Chill,Turns,2
Nico Gabby,D1,Men,Division 1 Men,Vermont Chill,Ds,1
Nico Gabby,D1,Men,Division 1 Men,Vermont Chill,Assists,3
Nico Gabby,D1,Men,Division 1 Men,Vermont Chill,Points,1
Nico Gabby,D1,Men,Division 1 Men,Vermont Chill,Plus Minus,3
Nicholas Cao,D1,Men,Division 1 Men,Oregon EGO,Turns,1
Nicholas Cao,D1,Men,Division 1 Men,Oregon EGO,Ds,1
Nicholas Cao,D1,Men,Division 1 Men,Oregon EGO,Assists,1
Nicholas Cao,D1,Men,Division 1 Men,Oregon EGO,Points,2
Nicholas Cao,D1,Men,Division 1 Men,Oregon EGO,Plus Minus,3
Miles Goldman,D3,Men,Division 3 Men,Richmond Spidermonkeys,Turns,3
Miles Goldman,D3,Men,Division 3 Men,Richmond Spidermonkeys,Ds,0
Miles Goldman,D3,Men,Division 3 Men,Richmond Spidermonkeys,Assists,4
Miles Goldman,D3,Men,Division 3 Men,Richmond Spidermonkeys,Points,2
Miles Goldman,D3,Men,Division 3 Men,Richmond Spidermonkeys,Plus Minus,3
Mette Peluce,D3,Women,Division 3 Women,Lewis & Clark Artemis,Turns,0
Mette Peluce,D3,Women,Division 3 Women,Lewis & Clark Artemis,Ds,3
Mette Peluce,D3,Women,Division 3 Women,Lewis & Clark Artemis,Assists,0
Mette Peluce,D3,Women,Division 3 Women,Lewis & Clark Artemis,Points,0
Mette Peluce,D3,Women,Division 3 Women,Lewis & Clark Artemis,Plus Minus,3
Megan Louie,D1,Women,Division 1 Women,Washington Element,Turns,5
Megan Louie,D1,Women,Division 1 Women,Washington Element,Ds,2
Megan Louie,D1,Women,Division 1 Women,Washington Element,Assists,3
Megan Louie,D1,Women,Division 1 Women,Washington Element,Points,3
Megan Louie,D1,Women,Division 1 Women,Washington Element,Plus Minus,3
May Courtney,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Turns,4
May Courtney,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Ds,1
May Courtney,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Assists,0
May Courtney,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Points,6
May Courtney,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,Plus Minus,3
Max Massey,D1,Men,Division 1 Men,Oregon EGO,Turns,6
Max Massey,D1,Men,Division 1 Men,Oregon EGO,Ds,2
Max Massey,D1,Men,Division 1 Men,Oregon EGO,Assists,4
Max Massey,D1,Men,Division 1 Men,Oregon EGO,Points,3
Max Massey,D1,Men,Division 1 Men,Oregon EGO,Plus Minus,3
Matt Rix,D1,Men,Division 1 Men,Oregon State Beavers,Turns,4
Matt Rix,D1,Men,Division 1 Men,Oregon State Beavers,Ds,0
Matt Rix,D1,Men,Division 1 Men,Oregon State Beavers,Assists,1
Matt Rix,D1,Men,Division 1 Men,Oregon State Beavers,Points,6
Matt Rix,D1,Men,Division 1 Men,Oregon State Beavers,Plus Minus,3
Marco Willen,D3,Men,Division 3 Men,Bates Orange Whip,Turns,0
Marco Willen,D3,Men,Division 3 Men,Bates Orange Whip,Ds,1
Marco Willen,D3,Men,Division 3 Men,Bates Orange Whip,Assists,0
Marco Willen,D3,Men,Division 3 Men,Bates Orange Whip,Points,2
Marco Willen,D3,Men,Division 3 Men,Bates Orange Whip,Plus Minus,3
Marco Muralles,D1,Men,Division 1 Men,Oregon EGO,Turns,0
Marco Muralles,D1,Men,Division 1 Men,Oregon EGO,Ds,1
Marco Muralles,D1,Men,Division 1 Men,Oregon EGO,Assists,2
Marco Muralles,D1,Men,Division 1 Men,Oregon EGO,Points,0
Marco Muralles,D1,Men,Division 1 Men,Oregon EGO,Plus Minus,3
Luke Updike,D3,Men,Division 3 Men,Franciscan Fatal,Turns,4
Luke Updike,D3,Men,Division 3 Men,Franciscan Fatal,Ds,3
Luke Updike,D3,Men,Division 3 Men,Franciscan Fatal,Assists,1
Luke Updike,D3,Men,Division 3 Men,Franciscan Fatal,Points,3
Luke Updike,D3,Men,Division 3 Men,Franciscan Fatal,Plus Minus,3
Louis Douville Beaudoin,D3,Men,Division 3 Men,Middlebury Pranksters,Turns,1
Louis Douville Beaudoin,D3,Men,Division 3 Men,Middlebury Pranksters,Ds,0
Louis Douville Beaudoin,D3,Men,Division 3 Men,Middlebury Pranksters,Assists,2
Louis Douville Beaudoin,D3,Men,Division 3 Men,Middlebury Pranksters,Points,2
Louis Douville Beaudoin,D3,Men,Division 3 Men,Middlebury Pranksters,Plus Minus,3
Logan Hammersmith,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Turns,0
Logan Hammersmith,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Ds,0
Logan Hammersmith,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Assists,1
Logan Hammersmith,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Points,2
Logan Hammersmith,D3,Men,Division 3 Men,Oklahoma Christian Eagles,Plus Minus,3
Lena Nyblade,D1,Women,Division 1 Women,Colorado Quandary,Turns,1
Lena Nyblade,D1,Women,Division 1 Women,Colorado Quandary,Ds,2
Lena Nyblade,D1,Women,Division 1 Women,Colorado Quandary,Assists,0
Lena Nyblade,D1,Women,Division 1 Women,Colorado Quandary,Points,2
Lena Nyblade,D1,Women,Division 1 Women,Colorado Quandary,Plus Minus,3
Lena Millard-Kish,D1,Women,Division 1 Women,Washington Element,Turns,0
Lena Millard-Kish,D1,Women,Division 1 Women,Washington Element,Ds,1
Lena Millard-Kish,D1,Women,Division 1 Women,Washington Element,Assists,1
Lena Millard-Kish,D1,Women,Division 1 Women,Washington Element,Points,1
Lena Millard-Kish,D1,Women,Division 1 Women,Washington Element,Plus Minus,3
Laura Boyd,D3,Women,Division 3 Women,Carleton Eclipse,Turns,2
Laura Boyd,D3,Women,Division 3 Women,Carleton Eclipse,Ds,1
Laura Boyd,D3,Women,Division 3 Women,Carleton Eclipse,Assists,2
Laura Boyd,D3,Women,Division 3 Women,Carleton Eclipse,Points,2
Laura Boyd,D3,Women,Division 3 Women,Carleton Eclipse,Plus Minus,3
Korie Rudin,D1,Women,Division 1 Women,Georgia Athena,Turns,0
Korie Rudin,D1,Women,Division 1 Women,Georgia Athena,Ds,0
Korie Rudin,D1,Women,Division 1 Women,Georgia Athena,Assists,0
Korie Rudin,D1,Women,Division 1 Women,Georgia Athena,Points,3
Korie Rudin,D1,Women,Division 1 Women,Georgia Athena,Plus Minus,3
Kjellen MacBain,D3,Men,Division 3 Men,Williams WUFO,Turns,10
Kjellen MacBain,D3,Men,Division 3 Men,Williams WUFO,Ds,4
Kjellen MacBain,D3,Men,Division 3 Men,Williams WUFO,Assists,8
Kjellen MacBain,D3,Men,Division 3 Men,Williams WUFO,Points,1
Kjellen MacBain,D3,Men,Division 3 Men,Williams WUFO,Plus Minus,3
Kali Bate,D3,Women,Division 3 Women,Wellesley Whiptails,Turns,14
Kali Bate,D3,Women,Division 3 Women,Wellesley Whiptails,Ds,3
Kali Bate,D3,Women,Division 3 Women,Wellesley Whiptails,Assists,1
Kali Bate,D3,Women,Division 3 Women,Wellesley Whiptails,Points,13
Kali Bate,D3,Women,Division 3 Women,Wellesley Whiptails,Plus Minus,3
Kaisa Olson,D3,Women,Division 3 Women,St Olaf Vortex,Turns,9
Kaisa Olson,D3,Women,Division 3 Women,St Olaf Vortex,Ds,5
Kaisa Olson,D3,Women,Division 3 Women,St Olaf Vortex,Assists,1
Kaisa Olson,D3,Women,Division 3 Women,St Olaf Vortex,Points,6
Kaisa Olson,D3,Women,Division 3 Women,St Olaf Vortex,Plus Minus,3
Kaia O’Neill,D3,Women,Division 3 Women,Lewis & Clark Artemis,Turns,2
Kaia O’Neill,D3,Women,Division 3 Women,Lewis & Clark Artemis,Ds,2
Kaia O’Neill,D3,Women,Division 3 Women,Lewis & Clark Artemis,Assists,0
Kaia O’Neill,D3,Women,Division 3 Women,Lewis & Clark Artemis,Points,3
Kaia O’Neill,D3,Women,Division 3 Women,Lewis & Clark Artemis,Plus Minus,3
Kai LaMothe,D3,Men,Division 3 Men,Williams WUFO,Turns,1
Kai LaMothe,D3,Men,Division 3 Men,Williams WUFO,Ds,1
Kai LaMothe,D3,Men,Division 3 Men,Williams WUFO,Assists,1
Kai LaMothe,D3,Men,Division 3 Men,Williams WUFO,Points,2
Kai LaMothe,D3,Men,Division 3 Men,Williams WUFO,Plus Minus,3
Josh Stanton,D3,Men,Division 3 Men,St Olaf Berzerkers,Turns,2
Josh Stanton,D3,Men,Division 3 Men,St Olaf Berzerkers,Ds,2
Josh Stanton,D3,Men,Division 3 Men,St Olaf Berzerkers,Assists,0
Josh Stanton,D3,Men,Division 3 Men,St Olaf Berzerkers,Points,3
Josh Stanton,D3,Men,Division 3 Men,St Olaf Berzerkers,Plus Minus,3
Josefina O'Toole,D1,Women,Division 1 Women,California - San Diego D-Co,Turns,4
Josefina O'Toole,D1,Women,Division 1 Women,California - San Diego D-Co,Ds,4
Josefina O'Toole,D1,Women,Division 1 Women,California - San Diego D-Co,Assists,2
Josefina O'Toole,D1,Women,Division 1 Women,California - San Diego D-Co,Points,1
Josefina O'Toole,D1,Women,Division 1 Women,California - San Diego D-Co,Plus Minus,3
Jorre Dahl,D3,Men,Division 3 Men,Middlebury Pranksters,Turns,4
Jorre Dahl,D3,Men,Division 3 Men,Middlebury Pranksters,Ds,0
Jorre Dahl,D3,Men,Division 3 Men,Middlebury Pranksters,Assists,3
Jorre Dahl,D3,Men,Division 3 Men,Middlebury Pranksters,Points,4
Jorre Dahl,D3,Men,Division 3 Men,Middlebury Pranksters,Plus Minus,3
Jenalyn Ng,D1,Women,Division 1 Women,British Columbia Thunderbirds,Turns,3
Jenalyn Ng,D1,Women,Division 1 Women,British Columbia Thunderbirds,Ds,4
Jenalyn Ng,D1,Women,Division 1 Women,British Columbia Thunderbirds,Assists,0
Jenalyn Ng,D1,Women,Division 1 Women,British Columbia Thunderbirds,Points,2
Jenalyn Ng,D1,Women,Division 1 Women,British Columbia Thunderbirds,Plus Minus,3
Jedidiah Pratt,D1,Men,Division 1 Men,Minnesota Grey Duck,Turns,0
Jedidiah Pratt,D1,Men,Division 1 Men,Minnesota Grey Duck,Ds,1
Jedidiah Pratt,D1,Men,Division 1 Men,Minnesota Grey Duck,Assists,1
Jedidiah Pratt,D1,Men,Division 1 Men,Minnesota Grey Duck,Points,1
Jedidiah Pratt,D1,Men,Division 1 Men,Minnesota Grey Duck,Plus Minus,3
James Euston,D3,Men,Division 3 Men,Franciscan Fatal,Turns,12
James Euston,D3,Men,Division 3 Men,Franciscan Fatal,Ds,5
James Euston,D3,Men,Division 3 Men,Franciscan Fatal,Assists,9
James Euston,D3,Men,Division 3 Men,Franciscan Fatal,Points,1
James Euston,D3,Men,Division 3 Men,Franciscan Fatal,Plus Minus,3
Jake Schwartz,D1,Men,Division 1 Men,North Carolina Darkside,Turns,0
Jake Schwartz,D1,Men,Division 1 Men,North Carolina Darkside,Ds,2
Jake Schwartz,D1,Men,Division 1 Men,North Carolina Darkside,Assists,0
Jake Schwartz,D1,Men,Division 1 Men,North Carolina Darkside,Points,1
Jake Schwartz,D1,Men,Division 1 Men,North Carolina Darkside,Plus Minus,3
Jacob Markus,D1,Men,Division 1 Men,Minnesota Grey Duck,Turns,3
Jacob Markus,D1,Men,Division 1 Men,Minnesota Grey Duck,Ds,1
Jacob Markus,D1,Men,Division 1 Men,Minnesota Grey Duck,Assists,3
Jacob Markus,D1,Men,Division 1 Men,Minnesota Grey Duck,Points,2
Jacob Markus,D1,Men,Division 1 Men,Minnesota Grey Duck,Plus Minus,3
Jack McCleary,D1,Men,Division 1 Men,North Carolina Darkside,Turns,1
Jack McCleary,D1,Men,Division 1 Men,North Carolina Darkside,Ds,4
Jack McCleary,D1,Men,Division 1 Men,North Carolina Darkside,Assists,0
Jack McCleary,D1,Men,Division 1 Men,North Carolina Darkside,Points,0
Jack McCleary,D1,Men,Division 1 Men,North Carolina Darkside,Plus Minus,3
Jack Davis,D1,Men,Division 1 Men,Michigan Magnum,Turns,0
Jack Davis,D1,Men,Division 1 Men,Michigan Magnum,Ds,1
Jack Davis,D1,Men,Division 1 Men,Michigan Magnum,Assists,0
Jack Davis,D1,Men,Division 1 Men,Michigan Magnum,Points,2
Jack Davis,D1,Men,Division 1 Men,Michigan Magnum,Plus Minus,3
Ivan Khoo,D3,Men,Division 3 Men,Berry Bucks,Turns,0
Ivan Khoo,D3,Men,Division 3 Men,Berry Bucks,Ds,0
Ivan Khoo,D3,Men,Division 3 Men,Berry Bucks,Assists,2
Ivan Khoo,D3,Men,Division 3 Men,Berry Bucks,Points,1
Ivan Khoo,D3,Men,Division 3 Men,Berry Bucks,Plus Minus,3
Isaac Trommer,D1,Men,Division 1 Men,Washington University Contra,Turns,2
