player,level,gender,division,team_name,team_games
Ben Thoennes,D1,Men,Division 1 Men,Oregon State Beavers,5
Anton Orme,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Adam Miller,D1,Men,Division 1 Men,Georgia Jojah,5
Leo Gordon,D1,Men,Division 1 Men,Brown Brownian Motion,8
Mica Glass,D1,Men,Division 1 Men,Oregon EGO,6
Anna Goddu,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Nathan Hunt,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Henry Wayte,D1,Men,Division 1 Men,Oregon State Beavers,5
Aaron Bartlett,D1,Men,Division 1 Men,Michigan Magnum,5
Alex Nelson,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Miles Miller,D3,Men,Division 3 Men,Bates Orange Whip,6
Michael Johnson,D3,Men,Division 3 Men,Berry Bucks,6
Jeffy Joshy,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Ezra Weybright,D1,Women,Division 1 Women,Oregon Fugue,6
Avery Lee-Pii,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Michael Poe,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Felix Moren,D1,Men,Division 1 Men,Oregon State Beavers,5
Amaya Krutsinger,D1,Women,Division 1 Women,Western Washington Chaos,5
Stacy Gaskill,D1,Women,Division 1 Women,Colorado Quandary,7
Mallori Boddy,D3,Women,Division 3 Women,Portland UPRoar,6
Julianna Galian,D3,Women,Division 3 Women,Portland UPRoar,6
Eli Fried,D1,Men,Division 1 Men,North Carolina Darkside,6
Danny Klein,D3,Men,Division 3 Men,Williams WUFO,6
Calvin Brown,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Logan Piercy,D1,Men,Division 1 Men,Penn State Spank,5
Erica Collin,D3,Women,Division 3 Women,St Olaf Vortex,5
Abigail Shilts,D1,Women,Division 1 Women,California - San Diego D-Co,5
Gordon Larson,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Darren Dyer,D3,Men,Division 3 Men,Davenport Panthers,6
Anna Forbes,D3,Women,Division 3 Women,Union Jillz,6
Xavier Fuzat,D1,Men,Division 1 Men,Texas TUFF,5
Willow Purvis,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Laura Blume,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Ellie McDonald,D3,Women,Division 3 Women,St Olaf Vortex,5
Zoe Costanza,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Suhas Madiraju,D1,Men,Division 1 Men,NC State Alpha,6
Reed Kendall,D3,Men,Division 3 Men,Williams WUFO,6
Josh Singleton,D1,Men,Division 1 Men,North Carolina Darkside,6
Dylan Hawkins,D1,Men,Division 1 Men,North Carolina Darkside,6
Tobias Brooks,D1,Men,Division 1 Men,Colorado Mambird,7
Zeke Thoreson,D1,Men,Division 1 Men,Colorado Mambird,7
Theo Shapinsky,D1,Men,Division 1 Men,Michigan Magnum,5
Scott Whitley,D1,Men,Division 1 Men,Georgia Jojah,5
Robert McCabe,D1,Men,Division 1 Men,Cal Ursa Major,5
Keziah Wilde,D3,Women,Division 3 Women,Middlebury Pranksters,5
Ethan Lieman,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Declan Miller,D1,Men,Division 1 Men,Carleton CUT,5
Daniel Chen,D1,Men,Division 1 Men,Carleton CUT,5
Audrey Stineman,D3,Women,Division 3 Women,Portland UPRoar,6
Nathan Buchholz,D1,Men,Division 1 Men,Colorado Mambird,7
Clil Phillips,D1,Women,Division 1 Women,Colorado Quandary,7
Sofia Canoutas-Nadel,D3,Women,Division 3 Women,Wesleyan Vicious Circles,6
Julia Berard,D1,Women,Division 1 Women,Oregon Fugue,6
Elan Siegler,D3,Men,Division 3 Men,Whitman Sweets,6
Ben Dameron,D1,Men,Division 1 Men,North Carolina Darkside,6
Aaron Kaplan,D1,Men,Division 1 Men,Oregon EGO,6
Tristan Yarter,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Reid Duncan,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Peter Ngo,D1,Men,Division 1 Men,Texas TUFF,5
Margot Nissen,D1,Women,Division 1 Women,California - San Diego D-Co,5
Joshua Gill,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Emmanuel Kameri,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Emma Smith,D1,Women,Division 1 Women,California - San Diego D-Co,5
Char Bokhof,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Annabel White,D1,Women,Division 1 Women,Tufts EWO,5
Elliott Rosenberg,D1,Men,Division 1 Men,Brown Brownian Motion,8
Zach Van Dusen,D3,Men,Division 3 Men,Bates Orange Whip,6
Zac Kuelz,D1,Men,Division 1 Men,NC State Alpha,6
Wade Buchheit,D3,Men,Division 3 Men,Williams WUFO,6
Tyler Shanahan,D3,Men,Division 3 Men,Davenport Panthers,6
Jonah Barer,D3,Men,Division 3 Men,Carleton CHOP,6
Dorthea Trelstad Pi-Sunyer,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Adam Kohn,D3,Men,Division 3 Men,Williams WUFO,6
Savanna Tucker,D1,Women,Division 1 Women,Washington Element,5
Peter Mans,D3,Men,Division 3 Men,Middlebury Pranksters,5
Owen Smith,D1,Men,Division 1 Men,Texas TUFF,5
Max Dehlin,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Logan Keillor,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Jack Krugler,D1,Men,Division 1 Men,Georgia Jojah,5
Gavin Rice,D3,Men,Division 3 Men,Middlebury Pranksters,5
Gavin Abrahamsson,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Cole Chanler,D1,Men,Division 1 Men,Georgia Jojah,5
Ciona Antolin,D1,Women,Division 1 Women,Washington Element,5
Chaily Derecskey,D1,Women,Division 1 Women,Pennsylvania Venus,5
Casey Thornton,D1,Men,Division 1 Men,Vermont Chill,5
Brynn Freeland,D1,Women,Division 1 Women,Victoria Vikes,5
Macy Vollbrecht,D1,Women,Division 1 Women,Stanford Superfly,7
Amelia Hawkins,D1,Women,Division 1 Women,Stanford Superfly,7
Abbie Gillach,D1,Women,Division 1 Women,Colorado Quandary,7
Sebastian Williamson,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Maxwell Caputo,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Maryanne Maxwell,D3,Women,Division 3 Women,Portland UPRoar,6
Vincent Su,D1,Men,Division 1 Men,Cal Ursa Major,5
Ryan Loui-Ying,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Leo Renzema,D1,Men,Division 1 Men,Oregon State Beavers,5
Harriet Dahlstrom,D3,Women,Division 3 Women,Middlebury Pranksters,5
Grace Maroon,D1,Women,Division 1 Women,Pennsylvania Venus,5
Genevieve Reyland-Slawson,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Edi Lam,D1,Women,Division 1 Women,Tufts EWO,5
Cice Kim,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Timothy Loftus,D3,Men,Division 3 Men,Rochester Piggies,6
Michiko Magnant,D1,Women,Division 1 Women,Oregon Fugue,6
Matthew Timoney,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Matthew Peterson,D3,Men,Division 3 Men,Berry Bucks,6
Grant Klebig,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Collin Hill,D3,Men,Division 3 Men,Berry Bucks,6
Ben Horrisberger,D1,Men,Division 1 Men,Oregon EGO,6
Thomas Preston,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Ryanne Barrett,D1,Women,Division 1 Women,Tufts EWO,5
Presten Berg,D3,Women,Division 3 Women,Lewis & Clark Artemis,5
Leilani Lepe,D3,Women,Division 3 Women,Davenport Panthers,5
Katrina McGuire,D1,Women,Division 1 Women,Michigan Flywheel,5
Griffin Yas,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Cameron Freeman,D1,Men,Division 1 Men,Washington University Contra,5
Austin Gin,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Aaron Barcio,D1,Men,Division 1 Men,Texas TUFF,5
Raekwon Adkins,D1,Men,Division 1 Men,Oregon EGO,6
Kennedy McCarthy,D1,Women,Division 1 Women,Vermont Ruckus,6
Joe Claramunt,D3,Men,Division 3 Men,Davenport Panthers,6
Isamu Masayoshi Sims,D3,Men,Division 3 Men,Claremont Braineaters,6
Ian VanOrder,D3,Men,Division 3 Men,Berry Bucks,6
Ella Monaghan,D1,Women,Division 1 Women,Vermont Ruckus,6
David Leder,D3,Men,Division 3 Men,Rochester Piggies,6
Casey Shaw-Merrigan,D3,Women,Division 3 Women,Colorado College Zenith,6
Caroline Stone,D1,Women,Division 1 Women,Vermont Ruckus,6
Calvin Ciorba,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Benjamin Bushley,D3,Men,Division 3 Men,Bates Orange Whip,6
Anthony Camastro,D3,Men,Division 3 Men,Franciscan Fatal,6
Amelia Platt,D3,Women,Division 3 Women,Wesleyan Vicious Circles,6
Seth Wells,D1,Men,Division 1 Men,Colorado Mambird,7
Nanda Min-Fink,D1,Men,Division 1 Men,Colorado Mambird,7
Max Gade,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Wilson Tryon,D1,Men,Division 1 Men,Washington University Contra,5
Wesley Fransen,D3,Men,Division 3 Men,Missouri S&T Miner Threat,6
Syris Linkfield,D1,Women,Division 1 Women,Oregon Fugue,6
Sebastian Brauer,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Sean Brown,D1,Men,Division 1 Men,Penn State Spank,5
Samuel Tremblay-Larochelle,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Parker Lin-Butler,D1,Men,Division 1 Men,Vermont Chill,5
Nadia Scoppettone,D1,Women,Division 1 Women,Vermont Ruckus,6
Malachi Raymond,D3,Men,Division 3 Men,Middlebury Pranksters,5
Leah Fulton,D1,Women,Division 1 Women,Victoria Vikes,5
Jonas Geere,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Jessica Wu,D1,Women,Division 1 Women,North Carolina Pleiades,7
Jamie Miller,D3,Men,Division 3 Men,Claremont Braineaters,6
Jake Powell,D1,Men,Division 1 Men,Georgia Jojah,5
Jacob Trokel,D3,Men,Division 3 Men,Rochester Piggies,6
Henri Lessard,D1,Men,Division 1 Men,NC State Alpha,6
Goodness Nwakudu,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Ethan Lavallee,D3,Men,Division 3 Men,Middlebury Pranksters,5
Emily Mulhern,D3,Women,Division 3 Women,St Olaf Vortex,5
Carter Lankford,D1,Men,Division 1 Men,Cal Ursa Major,5
Benjamin Payson,D1,Men,Division 1 Men,Vermont Chill,5
Avery Goldstein,D3,Women,Division 3 Women,Middlebury Pranksters,5
Adam Wright,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Rose Bransford,D1,Women,Division 1 Women,Colorado Quandary,7
Dora McCotter-Hulett,D1,Women,Division 1 Women,Stanford Superfly,7
Zoe Posner,D3,Women,Division 3 Women,Colorado College Zenith,6
Seth Fried,D1,Men,Division 1 Men,North Carolina Darkside,6
Reece Overholt,D3,Men,Division 3 Men,Williams WUFO,6
Max Fleming,D3,Men,Division 3 Men,Whitman Sweets,6
Joseph Duerr,D3,Men,Division 3 Men,Franciscan Fatal,6
Eva Taberski,D3,Women,Division 3 Women,Mount Holyoke Daisy Chain,6
Cade Ashland,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Amelie Marshall,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Mina Brown,D1,Women,Division 1 Women,Tufts EWO,5
Jeremy Long,D1,Men,Division 1 Men,Penn State Spank,5
Ian Mccosky,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Ericka Edgell,D1,Women,Division 1 Women,Victoria Vikes,5
Declan Kervick,D1,Men,Division 1 Men,Vermont Chill,5
Carly Atwell,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Caelan McSweeney,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Anthony Jirele,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Simone Pierotti,D1,Women,Division 1 Women,Colorado Quandary,7
Taylor Dunn,D3,Women,Division 3 Women,Mount Holyoke Daisy Chain,6
Tatum Cubrilovic,D1,Women,Division 1 Women,Vermont Ruckus,6
Sam Papin,D3,Men,Division 3 Men,Missouri S&T Miner Threat,6
Rutledge Smith,D1,Men,Division 1 Men,North Carolina Darkside,6
Nicholas Bollman,D3,Men,Division 3 Men,Williams WUFO,6
Nathan Wang,D3,Men,Division 3 Men,Carleton CHOP,6
Isabel Berman,D1,Women,Division 1 Women,Vermont Ruckus,6
Helena Tremblay,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Eric Treyz,D3,Men,Division 3 Men,Bates Orange Whip,6
Brian Trowbridge,D1,Men,Division 1 Men,North Carolina Darkside,6
Braque Pike,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Luca Duclos-Orsello,D1,Men,Division 1 Men,Brown Brownian Motion,8
Wyatt Kellman,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Viola Deszily,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Taylor Betonte,D1,Women,Division 1 Women,Victoria Vikes,5
Sophia Harvey,D1,Women,Division 1 Women,Michigan Flywheel,5
Peter Kotz,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Jonathan Sillivant,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
John Clyde,D1,Men,Division 1 Men,Texas TUFF,5
Jessie Chan,D1,Women,Division 1 Women,Tufts EWO,5
Isaac Kaplan,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Dagny Lott,D1,Women,Division 1 Women,Pennsylvania Venus,5
Cece Rhyneer,D3,Women,Division 3 Women,Middlebury Pranksters,5
Callahan Bosworth,D1,Men,Division 1 Men,Oregon State Beavers,5
Bennett Schwartz,D1,Men,Division 1 Men,Washington University Contra,5
Alex Mullen,D1,Men,Division 1 Men,Penn State Spank,5
Seamus Robinson,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Nicole lambert,D1,Women,Division 1 Women,Stanford Superfly,7
Macy Hudson,D1,Women,Division 1 Women,North Carolina Pleiades,7
Levi Tapper,D1,Men,Division 1 Men,Colorado Mambird,7
Kailyn Lowder,D1,Women,Division 1 Women,North Carolina Pleiades,7
Calvin Stoughton,D1,Men,Division 1 Men,Colorado Mambird,7
Zachary Marshall,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Sonia Nicholson,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Phoebe Hulbert,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Opal Burruss,D1,Women,Division 1 Women,Carleton Syzygy,6
Jason Tapper,D1,Men,Division 1 Men,Brown Brownian Motion,8
Isabel Cody,D3,Women,Division 3 Women,Colorado College Zenith,6
Cooper Andersen,D3,Men,Division 3 Men,Whitman Sweets,6
Chagall Gelfand,D1,Women,Division 1 Women,Carleton Syzygy,6
Cameron Dolbow,D3,Men,Division 3 Men,Carleton CHOP,6
Audrey Parrott,D1,Women,Division 1 Women,Carleton Syzygy,6
Adam Wulkan,D1,Men,Division 1 Men,Oregon EGO,6
Theresa Yu,D1,Women,Division 1 Women,North Carolina Pleiades,7
Sierra Petrash,D1,Women,Division 1 Women,Colorado Quandary,7
Ryan Shigley,D1,Men,Division 1 Men,Colorado Mambird,7
Kyle Lew,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Dexter Luecke,D1,Men,Division 1 Men,Colorado Mambird,7
Alex Yannelli,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Zachary Watson-Stevens,D1,Men,Division 1 Men,Vermont Chill,5
Tej Murthy,D1,Men,Division 1 Men,Carleton CUT,5
Sophia Palmer,D1,Women,Division 1 Women,Washington Element,5
Sophia Fitch,D1,Women,Division 1 Women,California - San Diego D-Co,5
Sam Green,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Saaketh Palchuru,D1,Men,Division 1 Men,Texas TUFF,5
Noah Stovitz,D1,Men,Division 1 Men,Washington University Contra,5
Nicholas Jeschke,D1,Men,Division 1 Men,Washington University Contra,5
Morgan Williams,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Max Rogers,D3,Men,Division 3 Men,Middlebury Pranksters,5
Liz Crawford,D3,Women,Division 3 Women,Middlebury Pranksters,5
Lilliana Werner,D1,Women,Division 1 Women,Western Washington Chaos,5
Lauren Goddu,D1,Women,Division 1 Women,Washington Element,5
Kenni Taylor,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Juliana Eno,D3,Women,Division 3 Women,St Olaf Vortex,5
Julia Hasbrook,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
James Baker Jr,D1,Men,Division 1 Men,Michigan Magnum,5
Isaiah Mason,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Grace Craig,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Doug Hoyer,D1,Men,Division 1 Men,Penn State Spank,5
Couper Kerns,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Cole Krucke,D1,Men,Division 1 Men,Georgia Jojah,5
Clara Margulius,D1,Women,Division 1 Women,Tufts EWO,5
Callahan Diercks,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Cade White,D1,Men,Division 1 Men,Texas TUFF,5
Arianna Edwards,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Antonio Rueda,D1,Men,Division 1 Men,Oregon State Beavers,5
Anna Pettis,D1,Women,Division 1 Women,Washington Element,5
Zayna Hopkins,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Thalia Tzetos,D1,Women,Division 1 Women,Oregon Fugue,6
Sydney Merrell,D1,Women,Division 1 Women,Carleton Syzygy,6
Sophie Diliberti,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Sean Wiles,D1,Men,Division 1 Men,NC State Alpha,6
Scout Noble,D3,Women,Division 3 Women,Wesleyan Vicious Circles,6
Raquel Alegria,D3,Women,Division 3 Women,Wellesley Whiptails,6
Matthew McKnight,D1,Men,Division 1 Men,North Carolina Darkside,6
Kai Kirsch,D3,Men,Division 3 Men,Whitman Sweets,6
Jude Schmiesing,D3,Men,Division 3 Men,Franciscan Fatal,6
Elizabeth Swanson,D3,Women,Division 3 Women,Carleton Eclipse,6
Charlie Wagner,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Annie Pozzy,D1,Women,Division 1 Women,Vermont Ruckus,6
Caroline Spencer,D1,Women,Division 1 Women,North Carolina Pleiades,7
Atkin Arnstein,D1,Men,Division 1 Men,Colorado Mambird,7
Zoe DeLuca,D1,Women,Division 1 Women,Georgia Athena,5
Zachary Loyd,D1,Men,Division 1 Men,Michigan Magnum,5
Timothy Chango Gasset,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Sarah Lang,D1,Women,Division 1 Women,Georgia Athena,5
Samuel Roberts,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Sam Rose,D1,Men,Division 1 Men,Georgia Jojah,5
Melissa Torchio,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Maggie Coutts,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Luca Harwood,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Kushal Khangaonkar,D1,Men,Division 1 Men,Cal Ursa Major,5
Josh Solomon,D1,Men,Division 1 Men,Michigan Magnum,5
Jada Himmelberg,D3,Women,Division 3 Women,St Olaf Vortex,5
Henry Everett,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Emery Goulet,D1,Men,Division 1 Men,Cal Ursa Major,5
Christopher Heron,D1,Men,Division 1 Men,Washington University Contra,5
Carter Hawkins,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Ben Tokarz,D1,Men,Division 1 Men,Penn State Spank,5
Arthur Aucoin,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Alex Hasenkamp,D1,Women,Division 1 Women,Colorado State Helle's Belles,5
Aiden Landis,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Zoey Hughes,D1,Women,Division 1 Women,Oregon Fugue,6
Wade Nichols,D3,Men,Division 3 Men,Whitman Sweets,6
Tanveer Singh Chabba,D3,Men,Division 3 Men,Claremont Braineaters,6
Sophie Roback,D3,Women,Division 3 Women,Colorado College Zenith,6
Simon Dowdy,D3,Men,Division 3 Men,Berry Bucks,6
Rowan Keller,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Naomi Fina,D1,Women,Division 1 Women,Carleton Syzygy,6
Mason Weybright,D1,Men,Division 1 Men,Oregon EGO,6
Mara Hindery-Glasinovic,D1,Women,Division 1 Women,Oregon Fugue,6
Madeleine Salunga,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Lauren Clayter,D1,Women,Division 1 Women,Vermont Ruckus,6
Kahlil Gould-Bayba,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Julie Lee,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Joniah Helperin-Lange,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
John Laney,D1,Men,Division 1 Men,NC State Alpha,6
Henry Groves,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Hayden Ashley,D3,Women,Division 3 Women,Portland UPRoar,6
Gavin Zielke,D3,Men,Division 3 Men,Berry Bucks,6
Gabriel Driscoll,D3,Men,Division 3 Men,Carleton CHOP,6
Eric Crosby Lehmann,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Elijah Hoshide,D3,Men,Division 3 Men,Berry Bucks,6
Alexander Hunkins,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Kiana Hu,D1,Women,Division 1 Women,Stanford Superfly,7
Emily Przykucki,D1,Women,Division 1 Women,North Carolina Pleiades,7
Dodger Middlebrook,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Carter Halstrom,D1,Men,Division 1 Men,Colorado Mambird,7
Henry Egan,D1,Men,Division 1 Men,Brown Brownian Motion,8
Yayla Tur,D1,Women,Division 1 Women,Tufts EWO,5
Thomas Clayton,D3,Men,Division 3 Men,Missouri S&T Miner Threat,6
Talon Balcom,D1,Men,Division 1 Men,Texas TUFF,5
Sebastien Kline,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Sarah Lester,D3,Women,Division 3 Women,St Olaf Vortex,5
Sarah Combs,D1,Women,Division 1 Women,North Carolina Pleiades,7
Roger Zeng,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Philip Acimovic,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Paka Ferrer,D1,Women,Division 1 Women,Washington Element,5
Oscar Low,D1,Men,Division 1 Men,Brown Brownian Motion,8
Olivia Davis,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Nubia Robles Santiago,D1,Women,Division 1 Women,Carleton Syzygy,6
Nicholas Gohar,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Morey Averill,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Molly Bingham,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Mikey Curtis,D3,Men,Division 3 Men,Berry Bucks,6
Maximilian Schmiesing,D3,Men,Division 3 Men,Franciscan Fatal,6
Mauricio Badillo Moorman,D1,Men,Division 1 Men,Carleton CUT,5
Marcus Beidler,D1,Men,Division 1 Men,Oregon EGO,6
Maddy Brown,D3,Women,Division 3 Women,Carleton Eclipse,6
Leo Gentile,D3,Men,Division 3 Men,Williams WUFO,6
Landon Hall,D3,Men,Division 3 Men,Davenport Panthers,6
Kevin Pignone,D1,Men,Division 1 Men,North Carolina Darkside,6
Keali Mccarter,D1,Men,Division 1 Men,Oregon EGO,6
Kayla Hickey,D1,Women,Division 1 Women,Washington Element,5
Kathleen Bourdon,D1,Women,Division 1 Women,Victoria Vikes,5
Kate Goodman,D3,Women,Division 3 Women,Middlebury Pranksters,5
Justin Wallace,D3,Men,Division 3 Men,Franciscan Fatal,6
Julian Saunt,D1,Men,Division 1 Men,Oregon EGO,6
Julia Mockert,D3,Women,Division 3 Women,St Olaf Vortex,5
Jolie Krebs,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
John Savage,D3,Men,Division 3 Men,Middlebury Pranksters,5
John Mogyordy,D3,Men,Division 3 Men,Rochester Piggies,6
James Whealan,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Jake Worthington,D1,Men,Division 1 Men,Texas TUFF,5
Jade Remacle,D3,Women,Division 3 Women,Davenport Panthers,5
Jack Ringel,D3,Men,Division 3 Men,Rochester Piggies,6
Jack Dinsmore,D1,Men,Division 1 Men,Cal Ursa Major,5
Ethan Pigeon,D1,Men,Division 1 Men,Penn State Spank,5
Emmett Forster,D3,Men,Division 3 Men,Carleton CHOP,6
Emily Cook,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Dominic Kenyon,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Cullen Baker,D1,Men,Division 1 Men,Carleton CUT,5
Conor Babcock O'Neill,D1,Men,Division 1 Men,Carleton CUT,5
Clara Gale,D1,Women,Division 1 Women,Carleton Syzygy,6
Christopher Kiepert,D1,Men,Division 1 Men,Vermont Chill,5
Chase Drinkwater,D1,Men,Division 1 Men,Vermont Chill,5
Benjamin Morse,D3,Men,Division 3 Men,Bates Orange Whip,6
Anna Matsui,D3,Women,Division 3 Women,Colorado College Zenith,6
alex santai,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Alex Hall-Witt,D1,Men,Division 1 Men,Oregon EGO,6
Akos Konkoly,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Addie New-Schmidt,D3,Women,Division 3 Women,Wellesley Whiptails,6
Nori Catalano,D1,Women,Division 1 Women,Colorado Quandary,7
Keaton Orser,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Harper Baer,D1,Women,Division 1 Women,Stanford Superfly,7
Erica Birdsong,D1,Women,Division 1 Women,North Carolina Pleiades,7
Aryanna Chartrand,D1,Women,Division 1 Women,Stanford Superfly,7
Anika Quon,D1,Women,Division 1 Women,Stanford Superfly,7
Toby Rivera,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Summers Filion,D3,Women,Division 3 Women,Portland UPRoar,6
Sean Rogers,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Pilar Andruet,D3,Women,Division 3 Women,Carleton Eclipse,6
Owen Lehmkuhl,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Max Sponseller,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Katie Craven,D3,Women,Division 3 Women,Colorado College Zenith,6
Joe Salitsky,D3,Men,Division 3 Men,Franciscan Fatal,6
Jayna Rogers,D1,Women,Division 1 Women,Oregon Fugue,6
Jacques Paradis,D3,Men,Division 3 Men,Claremont Braineaters,6
Jackson Heglie,D1,Men,Division 1 Men,Oregon EGO,6
Iris Guo,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Hazel DeHarpporte,D3,Women,Division 3 Women,Carleton Eclipse,6
Gavyn Jensen-Schneider,D3,Men,Division 3 Men,Carleton CHOP,6
Frances Magnuson,D3,Women,Division 3 Women,Portland UPRoar,6
Elijah Axt,D3,Men,Division 3 Men,Claremont Braineaters,6
Chander Boyd-Fliegel,D1,Men,Division 1 Men,Oregon EGO,6
Carter Schafer,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Cameron Lowe,D3,Men,Division 3 Men,Rochester Piggies,6
Bix Weissberg,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Aria Kischner,D1,Women,Division 1 Women,Carleton Syzygy,6
