points
42
26
22
33
27
33
37
32
26
30
31
48
34
25
40
41
51
31
31
27
39
37
21
24
32
31
32
25
50
34
29
52
35
31
54
27
40
32
27
39
31
33
33
29
40
35
22
45
41
25
35
21
32
39
31
30
26
32
36
35
37
28
32
36
28
29
45
24
29
28
21
25
30
18
35
23
28
