player,surface,winPct,matches
Guido Pella,Hard,0.3333333333333333,6
Hamad Medjedovic,Clay,0.42857142857142855,7
Hamad Medjedovic,Hard,0.8181818181818182,11
Holger Rune,Clay,0.8181818181818182,22
Holger Rune,Grass,0.7777777777777778,9
Holger Rune,Hard,0.5384615384615384,39
Hubert Hurkacz,Clay,0.5,10
Hubert Hurkacz,Grass,0.6666666666666666,9
Hubert Hurkacz,Hard,0.6938775510204082,49
Hugo Dellien,Clay,0.35714285714285715,14
Hugo Gaston,Clay,0.25,8
Hugo Gaston,Hard,0.5,6
Ilya Ivashka,Clay,0.3333333333333333,9
Ilya Ivashka,Hard,0.35714285714285715,14
J J Wolf,Clay,0.5,10
J J Wolf,Grass,0.5,6
J J Wolf,Hard,0.5142857142857142,35
Jack Draper,Clay,0.5,6
Jack Draper,Hard,0.64,25
Jan Lennard Struff,Clay,0.6428571428571429,14
Jan Lennard Struff,Grass,0.7142857142857143,7
Jan Lennard Struff,Hard,0.375,16
Jannik Sinner,Clay,0.6666666666666666,12
Jannik Sinner,Grass,0.7272727272727273,11
Jannik Sinner,Hard,0.819672131147541,61
Jason Kubler,Clay,0.5,10
Jason Kubler,Hard,0.5,14
Jaume Munar,Clay,0.5416666666666666,24
Jaume Munar,Hard,0.125,8
Jiri Lehecka,Clay,0.5714285714285714,14
Jiri Lehecka,Grass,0.625,8
Jiri Lehecka,Hard,0.5641025641025641,39
Joao Sousa,Clay,0.3,10
John Isner,Grass,0.6,5
John Isner,Hard,0.375,16
Jordan Thompson,Grass,0.6428571428571429,14
Jordan Thompson,Hard,0.4,25
Juan Manuel Cerundolo,Clay,0.2727272727272727,11
Juan Manuel Cerundolo,Hard,0.6666666666666666,6
Juan Pablo Varillas,Clay,0.5416666666666666,24
Juan Pablo Varillas,Hard,0.3333333333333333,12
Juncheng Shang,Hard,0.36363636363636365,11
Jurij Rodionov,Clay,0.3333333333333333,6
Jurij Rodionov,Hard,0.5,6
Karen Khachanov,Clay,0.6666666666666666,15
Karen Khachanov,Hard,0.6486486486486487,37
Laslo Djere,Clay,0.5925925925925926,27
Laslo Djere,Grass,0.5714285714285714,7
Laslo Djere,Hard,0.5714285714285714,28
Liam Broady,Grass,0.5,8
Lloyd Harris,Grass,0.5,6
Lloyd Harris,Hard,0.36363636363636365,11
Lorenzo Musetti,Clay,0.6071428571428571,28
Lorenzo Musetti,Grass,0.6666666666666666,9
Lorenzo Musetti,Hard,0.4,25
Lorenzo Sonego,Clay,0.5625,16
Lorenzo Sonego,Grass,0.3333333333333333,6
Lorenzo Sonego,Hard,0.5,36
Luca Van Assche,Clay,0.46153846153846156,13
Luca Van Assche,Hard,0.3333333333333333,15
Mackenzie Mcdonald,Clay,0,5
Mackenzie Mcdonald,Grass,0.5454545454545454,11
Mackenzie Mcdonald,Hard,0.6,45
Marc Andrea Huesler,Clay,0.1,10
Marc Andrea Huesler,Grass,0.4,5
Marc Andrea Huesler,Hard,0.4,20
Marco Cecchinato,Clay,0.5,20
Marcos Giron,Clay,0.5384615384615384,13
Marcos Giron,Grass,0.2,5
Marcos Giron,Hard,0.45714285714285713,35
Marton Fucsovics,Clay,0.4,10
Marton Fucsovics,Grass,0.7142857142857143,7
Marton Fucsovics,Hard,0.48148148148148145,27
Matteo Arnaldi,Clay,0.6,15
Matteo Arnaldi,Hard,0.5789473684210527,19
Matteo Berrettini,Grass,0.6,5
Matteo Berrettini,Hard,0.4375,16
Max Purcell,Clay,0.4,5
Max Purcell,Hard,0.36363636363636365,22
Maxime Cressy,Clay,0,5
Maxime Cressy,Grass,0.16666666666666666,6
Maxime Cressy,Hard,0.4444444444444444,18
Maximilian Marterer,Hard,0.5555555555555556,9
Michael Mmoh,Hard,0.6,20
Mikael Ymer,Grass,0.5,8
Mikael Ymer,Hard,0.4375,16
Miomir Kecmanovic,Clay,0.5,18
Miomir Kecmanovic,Grass,0.3333333333333333,6
Miomir Kecmanovic,Hard,0.48484848484848486,33
Nicolas Jarry,Clay,0.7407407407407407,27
Nicolas Jarry,Grass,0.5714285714285714,7
Nicolas Jarry,Hard,0.6,25
Novak Djokovic,Clay,0.8,15
Novak Djokovic,Grass,0.8571428571428571,7
Novak Djokovic,Hard,0.926829268292683,41
Nuno Borges,Clay,0.3333333333333333,9
Nuno Borges,Hard,0.375,16
Oscar Otte,Clay,0.4,5
Oscar Otte,Hard,0.2727272727272727,11
Pavel Kotov,Clay,0.5555555555555556,9
Pavel Kotov,Hard,0.5,18
Pedro Cachin,Clay,0.5384615384615384,26
Pedro Cachin,Hard,0.1111111111111111,9
Pedro Martinez,Clay,0.1111111111111111,9
Pedro Martinez,Hard,0.42857142857142855,7
Quentin Halys,Clay,0.5,8
Quentin Halys,Hard,0.4090909090909091,22
Radu Albot,Clay,0.4,5
Radu Albot,Hard,0.38461538461538464,13
Richard Gasquet,Clay,0.2,10
Richard Gasquet,Grass,0.3333333333333333,6
Richard Gasquet,Hard,0.4583333333333333,24
Rinky Hijikata,Grass,0.6666666666666666,6
Rinky Hijikata,Hard,0.4375,16
Roberto Bautista Agut,Clay,0.36363636363636365,11
Roberto Bautista Agut,Grass,0.6,5
Roberto Bautista Agut,Hard,0.45454545454545453,22
Roberto Carballes Baena,Clay,0.5384615384615384,26
Roberto Carballes Baena,Grass,0.4,5
Roberto Carballes Baena,Hard,0.25,12
Roman Safiullin,Clay,0.5714285714285714,7
Roman Safiullin,Grass,0.625,8
Roman Safiullin,Hard,0.4583333333333333,24
Sebastian Baez,Clay,0.625,32
Sebastian Baez,Hard,0.45454545454545453,22
Sebastian Korda,Grass,0.6,5
Sebastian Korda,Hard,0.6470588235294118,34
Sebastian Ofner,Clay,0.5,10
Sebastian Ofner,Hard,0.5,16
Soon Woo Kwon,Hard,0.4375,16
Stan Wawrinka,Clay,0.5625,16
Stan Wawrinka,Hard,0.5161290322580645,31
Stefanos Tsitsipas,Clay,0.7727272727272727,22
Stefanos Tsitsipas,Grass,0.5,8
Stefanos Tsitsipas,Hard,0.6590909090909091,44
Tallon Griekspoor,Clay,0.3333333333333333,9
Tallon Griekspoor,Grass,0.7777777777777778,9
Tallon Griekspoor,Hard,0.6136363636363636,44
Taro Daniel,Clay,0.3333333333333333,6
Taro Daniel,Hard,0.45,20
Taylor Fritz,Clay,0.6470588235294118,17
Taylor Fritz,Grass,0.42857142857142855,7
Taylor Fritz,Hard,0.7358490566037735,53
Thanasi Kokkinakis,Clay,0.5,6
Thanasi Kokkinakis,Hard,0.5,26
Thiago Monteiro,Clay,0.375,16
Thiago Monteiro,Hard,0.25,8
Thiago Seyboth Wild,Clay,0.5,6
Tomas Machac,Hard,0.45454545454545453,11
Tomas Martin Etcheverry,Clay,0.625,32
Tomas Martin Etcheverry,Hard,0.4090909090909091,22
Tommy Paul,Clay,0.2857142857142857,7
Tommy Paul,Grass,0.5833333333333334,12
Tommy Paul,Hard,0.6530612244897959,49
Ugo Humbert,Clay,0.16666666666666666,6
Ugo Humbert,Grass,0.42857142857142855,7
Ugo Humbert,Hard,0.6590909090909091,44
Yannick Hanfmann,Clay,0.6153846153846154,26
Yannick Hanfmann,Grass,0.5714285714285714,7
Yannick Hanfmann,Hard,0.25,12
Yibing Wu,Clay,0.375,8
Yibing Wu,Grass,0.2,5
Yibing Wu,Hard,0.6,15
Yoshihito Nishioka,Clay,0.5555555555555556,9
Yoshihito Nishioka,Hard,0.4838709677419355,31
Yosuke Watanuki,Hard,0.4166666666666667,12
Zhizhen Zhang,Clay,0.5882352941176471,17
Zhizhen Zhang,Grass,0.4,5
Zhizhen Zhang,Hard,0.5,14
Zizou Bergs,Hard,0.125,8
