tourney_name,surface,result,player,rank,hand,height,country,age,best_of,minutes,numAces,numDF,servePoints,first_serve_in,first_serve_won,second_serve_won,serve_games_won,break_points_saved,break_points_faced
United Cup,Hard,Winner,Cameron Norrie,14,L,188,GBR,27.3,3,NA,4,1,56,30,26,14,9,4,4
United Cup,Hard,Loser,Alex De Minaur,24,R,183,AUS,23.8,3,NA,3,1,55,28,19,14,9,6,9
United Cup,Hard,Winner,Jason Kubler,107,R,178,AUS,29.6,3,110,11,1,67,42,30,15,11,2,4
United Cup,Hard,Loser,Daniel Evans,27,R,175,GBR,32.6,3,110,3,2,64,36,26,13,10,1,4
United Cup,Hard,Winner,Matteo Berrettini,16,R,196,ITA,26.7,3,115,15,1,64,43,38,14,11,0,0
United Cup,Hard,Loser,Thiago Monteiro,71,L,183,BRA,28.5,3,115,4,2,72,43,31,20,11,1,2
United Cup,Hard,Winner,Lorenzo Musetti,23,R,185,ITA,20.8,3,NA,9,1,55,31,22,15,10,1,3
United Cup,Hard,Winner,Matteo Berrettini,16,R,196,ITA,26.7,3,86,10,2,60,40,35,9,10,2,2
United Cup,Hard,Loser,Casper Ruud,3,R,183,NOR,24,3,86,4,0,52,41,31,4,10,0,2
United Cup,Hard,Winner,Lorenzo Musetti,23,R,185,ITA,20.8,3,108,7,1,69,42,35,16,11,1,2
United Cup,Hard,Winner,Casper Ruud,3,R,183,NOR,24,3,71,8,1,49,36,24,8,9,2,4
United Cup,Hard,Loser,Thiago Monteiro,71,L,183,BRA,28.5,3,71,2,5,41,27,16,3,8,1,6
United Cup,Hard,Winner,Borna Coric,26,R,188,CRO,26.1,3,113,10,1,65,43,40,15,12,1,2
United Cup,Hard,Loser,Arthur Rinderknech,44,R,196,FRA,27.4,3,113,8,3,81,51,36,17,12,2,3
United Cup,Hard,Winner,Borna Gojo,144,R,196,CRO,24.8,3,170,14,4,110,72,57,17,16,1,4
United Cup,Hard,Loser,Adrian Mannarino,46,L,183,FRA,34.5,3,170,9,1,104,63,51,21,17,3,5
United Cup,Hard,Winner,Arthur Rinderknech,44,R,196,FRA,27.4,3,NA,2,1,64,43,30,11,9,0,0
United Cup,Hard,Loser,Francisco Cerundolo,30,R,185,ARG,24.3,3,NA,1,3,57,37,22,10,9,4,7
United Cup,Hard,Winner,Adrian Mannarino,46,L,183,FRA,34.5,3,62,6,0,44,30,23,7,7,2,3
United Cup,Hard,Loser,Federico Coria,75,R,180,ARG,30.8,3,62,2,2,56,37,16,5,6,4,10
United Cup,Hard,Winner,Borna Coric,26,R,188,CRO,26.1,3,128,4,2,81,51,37,12,11,8,10
United Cup,Hard,Loser,Francisco Cerundolo,30,R,185,ARG,24.3,3,128,2,1,70,50,31,8,11,5,9
United Cup,Hard,Winner,Borna Gojo,144,R,196,CRO,24.8,3,97,6,3,66,47,37,10,11,0,0
United Cup,Hard,Loser,Federico Coria,75,R,180,ARG,30.8,3,97,0,0,81,50,37,15,11,3,4
Adelaide 1,Hard,Winner,Novak Djokovic,5,R,188,SRB,35.6,3,189,7,4,99,62,53,25,17,1,2
Adelaide 1,Hard,Loser,Sebastian Korda,33,R,196,USA,22.4,3,189,15,4,129,76,59,27,17,5,7
Adelaide 1,Hard,Winner,Novak Djokovic,5,R,188,SRB,35.6,3,90,5,3,61,35,31,14,10,3,3
Adelaide 1,Hard,Loser,Daniil Medvedev,7,R,198,RUS,26.8,3,90,5,2,48,31,23,9,9,1,3
Adelaide 1,Hard,Winner,Sebastian Korda,33,R,196,USA,22.4,3,74,9,0,40,23,21,10,6,0,0
Adelaide 1,Hard,Loser,Yoshihito Nishioka,36,L,170,JPN,27.2,3,74,0,0,54,40,29,6,7,3,4
Adelaide 1,Hard,Winner,Novak Djokovic,5,R,188,SRB,35.6,3,115,4,3,70,40,31,16,10,3,4
Adelaide 1,Hard,Loser,Denis Shapovalov,18,L,185,CAN,23.7,3,115,6,7,72,38,25,14,9,5,8
Adelaide 1,Hard,Winner,Daniil Medvedev,7,R,198,RUS,26.8,3,77,6,5,51,33,29,7,9,2,3
Adelaide 1,Hard,Loser,Karen Khachanov,20,R,198,RUS,26.6,3,77,1,2,60,42,25,6,9,3,7
Adelaide 1,Hard,Winner,Sebastian Korda,33,R,196,USA,22.4,3,86,5,1,52,30,25,12,9,3,4
Adelaide 1,Hard,Loser,Jannik Sinner,15,R,188,ITA,21.3,3,86,8,3,53,34,23,6,10,4,9
Adelaide 1,Hard,Winner,Yoshihito Nishioka,36,L,170,JPN,27.2,3,166,2,1,106,75,57,19,16,2,4
Adelaide 1,Hard,Loser,Alexei Popyrin,120,R,196,AUS,23.4,3,166,27,4,103,68,56,12,16,6,10
Adelaide 1,Hard,Winner,Novak Djokovic,5,R,188,SRB,35.6,3,115,10,4,76,50,44,14,12,0,1
